article_names,index
35.玄德南漳逢隐沧 单福新野遇英主,35
107.魏主政归司马氏　姜维兵败牛头山 ,107
63.诸葛亮痛哭庞统 张翼德义释严颜,63
116.钟会分兵汉中道　武侯显圣定军山,116
34.蔡夫人隔屏听密语 刘皇叔跃马过檀溪,34
120.荐杜预老将献新谋　降孙皓三分归一统,120
12.陶恭祖三让徐州 曹孟穗大战吕布,12
42.张翼德大闹长坂桥 刘豫州败走汉津口,42
26.袁本初败兵折将 关云长挂印封金,26
14.曹孟德移驾幸许都 吕奉先乘夜袭徐郡,14
68.甘宁百骑劫魏营 左慈掷杯戏曹操,68
64.孔明定计捉张任 杨阜借兵破马超,64
74.庞令明抬榇决死战　关云长放水淹七军,74
110.文鸯单骑退雄兵　姜维背水破大敌 ,110
31. 曹操仓亭破本初 玄德荆州依刘表,31
41.刘玄德携民渡江 赵子龙单骑救主,41
18.贾文和料敌决胜 夏侯惇拨矢啖睛,18
27.美髯公千里走单骑 汉寿侯五关斩六将,27
91.祭泸水汉相班师　伐中原武侯上表,91
48.宴长江曹操赋诗 锁战船北军用武,48
88.渡泸水再缚番王　识诈降三擒孟获,88
67.曹操平定汉中地 张辽威震逍遥津,67
71.占对山黄忠逸待劳 据汉水赵云寡胜众,71
82.孙权降魏受九锡　先主征吴赏六军 ,82
70.猛张飞智取瓦口隘 老黄忠计夺天荡山,70
4.废汉帝陈留践位 谋董贼孟德献刀,4
86.难张温秦宓逞天辩　破曹丕徐盛用火攻 ,86
11.刘皇叔北海救孔融 吕温侯濮阳破曹操,11
103.上方谷司马受困　五丈原诸葛禳星,103
28.斩蔡阳兄弟释疑 会古城主臣聚义,28
13.李傕郭汜大交兵 杨奉董承双救驾,13
101.出陇上诸葛妆神　奔剑阁张郃中计 ,101
104.陨大星汉丞相归天　见木像魏都督丧胆 ,104
36.玄德用计袭樊城 元直走马荐诸葛,36
118.哭祖庙一王死孝　入西川二士争功 ,118
89.武乡侯四番用计　南蛮王五次遭擒,89
98.追汉军王双受诛　袭陈仓武侯取胜 ,98
49.七星坛诸葛祭风 三江口周瑜纵火,49
102.司马懿占北原渭桥　诸葛亮造木牛流马,102
23.祢正平裸衣骂贼 吉太医下毒遭刑,23
105.武侯预伏锦囊计　魏主拆取承露盘,105
39.荆州城公子三求计 博望坡军师初用兵,39
77.玉泉山关公显圣　洛阳城曹操感神 ,77
81.急兄仇张飞遇害　　雪弟恨先主兴兵 ,81
62.取涪关杨高授首 攻雒城黄魏争功,62
58.马孟起兴兵雪恨 曹阿瞒割须弃袍,58
20.曹阿瞒许田打围 董国舅内阁受诏,20
16.吕奉先射戟辕门 曹孟德败师淯水,16
119.假投降巧计成虚话　再受禅依样画葫芦 ,119
33.曹丕乘乱纳甄氏 郭嘉遗计定辽东,33
106.公孙渊兵败死襄平　司马懿诈病赚曹爽,106
52.诸葛亮智辞鲁肃 赵子龙计取桂阳,52
24.国贼行凶杀贵妃 皇叔败走投袁绍,24
73.玄德进位汉中王　云长攻拔襄阳郡,73
78.治风疾神医身死　传遗命奸雄数终 ,78
111.邓士载智败姜伯约　诸葛诞义讨司马昭 ,111
5.发矫诏诸镇应曹公 破关兵三英战吕布,5
