label1,node1,label2,node2,link_num
54,卢植,172,何进,3
54,卢植,268,皇甫嵩,7
172,何进,268,皇甫嵩,3
40,公孙瓒,54,卢植,2
40,公孙瓒,101,刘备,6
40,公孙瓒,155,杨修,2
54,卢植,101,刘备,25
54,卢植,155,杨修,2
101,刘备,155,杨修,6
101,刘备,108,刘焉,23
101,刘备,181,张飞,48
108,刘焉,181,张飞,9
101,刘备,118,关羽,23
118,关羽,181,张飞,16
108,刘焉,118,关羽,7
101,刘备,268,皇甫嵩,13
121,许劭,268,皇甫嵩,2
121,许劭,292,桥玄,2
121,许劭,344,曹嵩,4
121,许劭,348,曹操,3
268,皇甫嵩,292,桥玄,2
268,皇甫嵩,344,曹嵩,4
268,皇甫嵩,348,曹操,3
292,桥玄,344,曹嵩,4
292,桥玄,348,曹操,3
344,曹嵩,348,曹操,5
54,卢植,181,张飞,5
54,卢植,354,董卓,6
101,刘备,354,董卓,16
181,张飞,268,皇甫嵩,2
181,张飞,354,董卓,8
268,皇甫嵩,354,董卓,3
