label1,node1,label2,node2,link_num
15,马腾,348,曹操,2
16,王允,354,董卓,2
15,马腾,294,贾诩,13
15,马腾,366,韩遂,22
294,贾诩,366,韩遂,18
13,马超,15,马腾,17
13,马超,294,贾诩,11
13,马超,366,韩遂,19
38,毛玠,79,吕虔,3
38,毛玠,107,刘理,2
38,毛玠,250,荀攸,3
38,毛玠,252,荀彧,4
38,毛玠,283,袁绍,2
38,毛玠,294,贾诩,2
38,毛玠,319,郭嘉,4
38,毛玠,348,曹操,9
38,毛玠,366,韩遂,3
38,毛玠,371,程昱,3
38,毛玠,384,满宠,3
79,吕虔,107,刘理,3
79,吕虔,250,荀攸,4
79,吕虔,252,荀彧,5
79,吕虔,283,袁绍,3
79,吕虔,294,贾诩,3
79,吕虔,319,郭嘉,5
79,吕虔,348,曹操,10
79,吕虔,366,韩遂,4
79,吕虔,371,程昱,4
79,吕虔,384,满宠,4
107,刘理,250,荀攸,3
107,刘理,252,荀彧,4
107,刘理,283,袁绍,2
107,刘理,294,贾诩,2
107,刘理,319,郭嘉,4
107,刘理,348,曹操,9
107,刘理,366,韩遂,3
107,刘理,371,程昱,3
107,刘理,384,满宠,3
250,荀攸,252,荀彧,5
250,荀攸,283,袁绍,3
250,荀攸,294,贾诩,3
250,荀攸,319,郭嘉,5
250,荀攸,348,曹操,10
250,荀攸,366,韩遂,4
250,荀攸,371,程昱,4
250,荀攸,384,满宠,4
252,荀彧,283,袁绍,6
252,荀彧,294,贾诩,4
252,荀彧,319,郭嘉,6
252,荀彧,348,曹操,17
252,荀彧,366,韩遂,5
252,荀彧,371,程昱,7
252,荀彧,384,满宠,5
283,袁绍,294,贾诩,2
283,袁绍,319,郭嘉,4
283,袁绍,348,曹操,15
283,袁绍,366,韩遂,3
283,袁绍,371,程昱,5
283,袁绍,384,满宠,3
294,贾诩,319,郭嘉,4
294,贾诩,348,曹操,9
294,贾诩,371,程昱,3
294,贾诩,384,满宠,3
319,郭嘉,348,曹操,11
319,郭嘉,366,韩遂,5
319,郭嘉,371,程昱,5
319,郭嘉,384,满宠,5
348,曹操,366,韩遂,10
348,曹操,371,程昱,16
348,曹操,384,满宠,10
366,韩遂,371,程昱,4
366,韩遂,384,满宠,4
371,程昱,384,满宠,4
6,于禁,201,张邈,4
6,于禁,348,曹操,8
201,张邈,348,曹操,8
6,于禁,71,边让,2
6,于禁,177,应劭,4
6,于禁,211,陈宫,3
6,于禁,252,荀彧,2
6,于禁,283,袁绍,2
6,于禁,328,陶谦,13
6,于禁,344,曹嵩,8
6,于禁,371,程昱,2
71,边让,177,应劭,4
71,边让,201,张邈,2
71,边让,211,陈宫,3
71,边让,252,荀彧,2
71,边让,283,袁绍,2
71,边让,328,陶谦,13
71,边让,344,曹嵩,8
71,边让,348,曹操,6
71,边让,371,程昱,2
177,应劭,201,张邈,4
177,应劭,211,陈宫,5
177,应劭,252,荀彧,4
177,应劭,283,袁绍,4
177,应劭,328,陶谦,15
177,应劭,344,曹嵩,10
177,应劭,348,曹操,8
177,应劭,371,程昱,4
201,张邈,211,陈宫,3
201,张邈,252,荀彧,2
201,张邈,283,袁绍,2
201,张邈,328,陶谦,13
201,张邈,344,曹嵩,8
201,张邈,371,程昱,2
211,陈宫,252,荀彧,3
211,陈宫,283,袁绍,3
211,陈宫,328,陶谦,14
211,陈宫,344,曹嵩,9
211,陈宫,348,曹操,7
211,陈宫,371,程昱,3
252,荀彧,328,陶谦,13
252,荀彧,344,曹嵩,8
283,袁绍,328,陶谦,13
283,袁绍,344,曹嵩,8
328,陶谦,344,曹嵩,19
328,陶谦,348,曹操,26
328,陶谦,371,程昱,13
344,曹嵩,348,曹操,12
344,曹嵩,371,程昱,8
