label1,node1,label2,node2,link_num
70,司马懿,341,曹真,29
12,马忠,18,王平,7
12,马忠,70,司马懿,3
12,马忠,151,杜琼,2
12,马忠,200,张嶷,2
12,马忠,202,张翼,6
12,马忠,321,诸葛亮,15
12,马忠,341,曹真,10
12,马忠,391,廖化,7
12,马忠,403,魏延,5
18,王平,70,司马懿,3
18,王平,151,杜琼,2
18,王平,200,张嶷,2
18,王平,202,张翼,7
18,王平,321,诸葛亮,16
18,王平,341,曹真,11
18,王平,391,廖化,8
18,王平,403,魏延,6
70,司马懿,151,杜琼,3
70,司马懿,200,张嶷,3
70,司马懿,202,张翼,3
70,司马懿,321,诸葛亮,53
70,司马懿,391,廖化,6
70,司马懿,403,魏延,3
151,杜琼,200,张嶷,8
151,杜琼,202,张翼,2
151,杜琼,321,诸葛亮,17
151,杜琼,341,曹真,5
151,杜琼,391,廖化,2
151,杜琼,403,魏延,11
200,张嶷,202,张翼,2
200,张嶷,321,诸葛亮,17
200,张嶷,341,曹真,5
200,张嶷,391,廖化,2
200,张嶷,403,魏延,11
202,张翼,321,诸葛亮,15
202,张翼,341,曹真,10
202,张翼,391,廖化,7
202,张翼,403,魏延,5
321,诸葛亮,341,曹真,43
321,诸葛亮,391,廖化,16
321,诸葛亮,403,魏延,27
341,曹真,391,廖化,14
341,曹真,403,魏延,8
391,廖化,403,魏延,5
45,邓芝,151,杜琼,3
45,邓芝,200,张嶷,3
45,邓芝,321,诸葛亮,11
45,邓芝,403,魏延,8
12,马忠,45,邓芝,3
18,王平,45,邓芝,4
45,邓芝,202,张翼,3
45,邓芝,341,曹真,3
45,邓芝,391,廖化,3
70,司马懿,272,姜维,7
272,姜维,321,诸葛亮,8
272,姜维,341,曹真,3
153,杨仪,159,李严,3
153,杨仪,321,诸葛亮,14
153,杨仪,362,蒋琬,2
159,李严,321,诸葛亮,11
159,李严,362,蒋琬,3
321,诸葛亮,362,蒋琬,10
70,司马懿,153,杨仪,3
153,杨仪,272,姜维,2
