label1,node1,label2,node2,link_num
70,司马懿,153,杨仪,10
70,司马懿,159,李严,11
70,司马懿,188,张郃,19
70,司马懿,277,费祎,5
70,司马懿,318,郭淮,18
70,司马懿,321,诸葛亮,73
70,司马懿,341,曹真,5
70,司马懿,346,曹睿,5
70,司马懿,362,蒋琬,5
153,杨仪,159,李严,4
153,杨仪,188,张郃,5
153,杨仪,277,费祎,2
153,杨仪,318,郭淮,2
153,杨仪,321,诸葛亮,25
153,杨仪,341,曹真,2
153,杨仪,346,曹睿,2
153,杨仪,362,蒋琬,2
159,李严,188,张郃,5
159,李严,277,费祎,13
159,李严,318,郭淮,2
159,李严,321,诸葛亮,45
159,李严,341,曹真,2
159,李严,346,曹睿,2
159,李严,362,蒋琬,10
188,张郃,277,费祎,3
188,张郃,318,郭淮,5
188,张郃,321,诸葛亮,32
188,张郃,341,曹真,3
188,张郃,346,曹睿,3
188,张郃,362,蒋琬,3
277,费祎,318,郭淮,2
277,费祎,321,诸葛亮,25
277,费祎,341,曹真,2
277,费祎,346,曹睿,2
277,费祎,362,蒋琬,7
318,郭淮,321,诸葛亮,27
318,郭淮,341,曹真,2
318,郭淮,346,曹睿,2
318,郭淮,362,蒋琬,2
321,诸葛亮,341,曹真,12
321,诸葛亮,346,曹睿,12
321,诸葛亮,362,蒋琬,22
341,曹真,346,曹睿,2
341,曹真,362,蒋琬,2
346,曹睿,362,蒋琬,2
18,王平,70,司马懿,8
18,王平,188,张郃,4
18,王平,200,张嶷,6
18,王平,318,郭淮,2
18,王平,321,诸葛亮,20
70,司马懿,200,张嶷,8
188,张郃,200,张嶷,4
200,张嶷,318,郭淮,2
200,张嶷,321,诸葛亮,20
12,马忠,18,王平,2
12,马忠,70,司马懿,3
12,马忠,159,李严,2
12,马忠,200,张嶷,2
12,马忠,202,张翼,2
12,马忠,272,姜维,6
12,马忠,321,诸葛亮,15
12,马忠,403,魏延,8
18,王平,159,李严,4
18,王平,202,张翼,2
18,王平,272,姜维,2
18,王平,403,魏延,2
70,司马懿,202,张翼,3
70,司马懿,272,姜维,12
70,司马懿,403,魏延,10
159,李严,200,张嶷,4
159,李严,202,张翼,2
159,李严,272,姜维,2
159,李严,403,魏延,2
200,张嶷,202,张翼,2
200,张嶷,272,姜维,2
200,张嶷,403,魏延,2
202,张翼,272,姜维,2
202,张翼,321,诸葛亮,8
202,张翼,403,魏延,2
272,姜维,321,诸葛亮,36
272,姜维,403,魏延,10
321,诸葛亮,403,魏延,36
272,姜维,318,郭淮,5
318,郭淮,403,魏延,2
70,司马懿,125,孙礼,5
125,孙礼,272,姜维,3
125,孙礼,318,郭淮,4
125,孙礼,321,诸葛亮,5
125,孙礼,153,杨仪,2
18,王平,153,杨仪,2
153,杨仪,200,张嶷,2
12,马忠,153,杨仪,2
12,马忠,270,郤正,2
153,杨仪,270,郤正,2
153,杨仪,403,魏延,2
270,郤正,321,诸葛亮,2
270,郤正,403,魏延,2
188,张郃,403,魏延,11
159,李严,393,谯周,9
277,费祎,393,谯周,6
321,诸葛亮,393,谯周,11
362,蒋琬,393,谯周,3
