label1,node1,label2,node2,link_num
70,司马懿,321,诸葛亮,73
321,诸葛亮,393,谯周,5
162,李恢,272,姜维,2
162,李恢,321,诸葛亮,2
162,李恢,403,魏延,2
272,姜维,321,诸葛亮,39
272,姜维,403,魏延,16
321,诸葛亮,403,魏延,45
70,司马懿,298,夏侯和,4
70,司马懿,299,夏侯威,9
70,司马懿,301,夏侯渊,3
70,司马懿,302,夏侯惠,4
70,司马懿,304,夏侯霸,9
70,司马懿,346,曹睿,3
298,夏侯和,299,夏侯威,4
298,夏侯和,301,夏侯渊,3
298,夏侯和,302,夏侯惠,4
298,夏侯和,304,夏侯霸,4
298,夏侯和,321,诸葛亮,4
298,夏侯和,346,曹睿,3
299,夏侯威,301,夏侯渊,3
299,夏侯威,302,夏侯惠,4
299,夏侯威,304,夏侯霸,8
299,夏侯威,321,诸葛亮,9
299,夏侯威,346,曹睿,3
301,夏侯渊,302,夏侯惠,3
301,夏侯渊,304,夏侯霸,3
301,夏侯渊,321,诸葛亮,3
301,夏侯渊,346,曹睿,2
302,夏侯惠,304,夏侯霸,4
302,夏侯惠,321,诸葛亮,4
302,夏侯惠,346,曹睿,3
304,夏侯霸,321,诸葛亮,9
304,夏侯霸,346,曹睿,3
321,诸葛亮,346,曹睿,3
70,司马懿,270,郤正,2
270,郤正,299,夏侯威,2
270,郤正,304,夏侯霸,2
125,孙礼,318,郭淮,10
62,司马师,65,司马昭,2
62,司马师,70,司马懿,14
62,司马师,125,孙礼,3
62,司马师,299,夏侯威,2
62,司马师,304,夏侯霸,2
62,司马师,318,郭淮,3
62,司马师,321,诸葛亮,23
65,司马昭,70,司马懿,3
65,司马昭,125,孙礼,3
65,司马昭,299,夏侯威,2
65,司马昭,304,夏侯霸,2
65,司马昭,318,郭淮,3
65,司马昭,321,诸葛亮,5
70,司马懿,125,孙礼,7
70,司马懿,318,郭淮,16
125,孙礼,299,夏侯威,3
125,孙礼,304,夏侯霸,3
125,孙礼,321,诸葛亮,22
299,夏侯威,318,郭淮,3
304,夏侯霸,318,郭淮,3
318,郭淮,321,诸葛亮,22
12,马忠,18,王平,10
12,马忠,70,司马懿,17
12,马忠,125,孙礼,2
12,马忠,127,孙权,3
12,马忠,146,孙韶,2
12,马忠,189,张承,2
12,马忠,200,张嶷,13
12,马忠,202,张翼,4
12,马忠,206,陆逊,2
12,马忠,272,姜维,7
12,马忠,277,费祎,8
12,马忠,318,郭淮,2
12,马忠,321,诸葛亮,38
12,马忠,326,诸葛瑾,2
12,马忠,391,廖化,4
12,马忠,403,魏延,13
18,王平,70,司马懿,31
18,王平,125,孙礼,6
18,王平,127,孙权,7
18,王平,146,孙韶,6
18,王平,189,张承,6
18,王平,200,张嶷,14
18,王平,202,张翼,13
18,王平,206,陆逊,6
18,王平,272,姜维,16
18,王平,277,费祎,12
18,王平,318,郭淮,18
18,王平,321,诸葛亮,45
18,王平,326,诸葛瑾,6
18,王平,391,廖化,13
18,王平,403,魏延,22
70,司马懿,127,孙权,4
70,司马懿,146,孙韶,3
70,司马懿,189,张承,3
70,司马懿,200,张嶷,22
70,司马懿,202,张翼,9
70,司马懿,206,陆逊,3
70,司马懿,272,姜维,20
70,司马懿,277,费祎,9
70,司马懿,326,诸葛瑾,3
70,司马懿,391,廖化,9
70,司马懿,403,魏延,26
125,孙礼,127,孙权,3
125,孙礼,146,孙韶,2
125,孙礼,189,张承,2
125,孙礼,200,张嶷,6
125,孙礼,202,张翼,2
125,孙礼,206,陆逊,2
125,孙礼,272,姜维,2
125,孙礼,277,费祎,8
125,孙礼,326,诸葛瑾,2
125,孙礼,391,廖化,2
125,孙礼,403,魏延,7
127,孙权,146,孙韶,3
127,孙权,189,张承,3
127,孙权,200,张嶷,7
127,孙权,202,张翼,3
127,孙权,206,陆逊,3
127,孙权,272,姜维,3
127,孙权,277,费祎,9
127,孙权,318,郭淮,3
127,孙权,321,诸葛亮,17
127,孙权,326,诸葛瑾,3
127,孙权,391,廖化,3
127,孙权,403,魏延,8
146,孙韶,189,张承,2
146,孙韶,200,张嶷,6
146,孙韶,202,张翼,2
146,孙韶,206,陆逊,2
146,孙韶,272,姜维,2
146,孙韶,277,费祎,8
146,孙韶,318,郭淮,2
146,孙韶,321,诸葛亮,16
146,孙韶,326,诸葛瑾,2
146,孙韶,391,廖化,2
146,孙韶,403,魏延,7
189,张承,200,张嶷,6
189,张承,202,张翼,2
189,张承,206,陆逊,2
189,张承,272,姜维,2
189,张承,277,费祎,8
189,张承,318,郭淮,2
189,张承,321,诸葛亮,16
189,张承,326,诸葛瑾,2
189,张承,391,廖化,2
189,张承,403,魏延,7
200,张嶷,202,张翼,9
200,张嶷,206,陆逊,6
200,张嶷,272,姜维,12
200,张嶷,277,费祎,12
200,张嶷,318,郭淮,6
200,张嶷,321,诸葛亮,43
200,张嶷,326,诸葛瑾,6
200,张嶷,391,廖化,9
200,张嶷,403,魏延,18
202,张翼,206,陆逊,2
202,张翼,272,姜维,6
202,张翼,277,费祎,8
202,张翼,318,郭淮,9
202,张翼,321,诸葛亮,19
202,张翼,326,诸葛瑾,2
202,张翼,391,廖化,6
202,张翼,403,魏延,11
206,陆逊,272,姜维,2
206,陆逊,277,费祎,8
206,陆逊,318,郭淮,2
206,陆逊,321,诸葛亮,16
206,陆逊,326,诸葛瑾,2
206,陆逊,391,廖化,2
206,陆逊,403,魏延,7
272,姜维,277,费祎,8
272,姜维,318,郭淮,9
272,姜维,326,诸葛瑾,2
272,姜维,391,廖化,6
277,费祎,318,郭淮,8
277,费祎,321,诸葛亮,22
277,费祎,326,诸葛瑾,8
277,费祎,391,廖化,8
277,费祎,403,魏延,13
318,郭淮,326,诸葛瑾,2
318,郭淮,391,廖化,9
318,郭淮,403,魏延,14
321,诸葛亮,326,诸葛瑾,16
321,诸葛亮,391,廖化,19
326,诸葛瑾,391,廖化,2
326,诸葛瑾,403,魏延,7
391,廖化,403,魏延,11
12,马忠,62,司马师,3
12,马忠,280,秦朗,19
12,马忠,394,樊建,3
18,王平,62,司马师,3
18,王平,280,秦朗,19
18,王平,394,樊建,3
62,司马师,200,张嶷,3
62,司马师,272,姜维,2
62,司马师,280,秦朗,18
62,司马师,394,樊建,2
62,司马师,403,魏延,3
70,司马懿,280,秦朗,27
70,司马懿,394,樊建,11
200,张嶷,280,秦朗,19
200,张嶷,394,樊建,3
272,姜维,280,秦朗,18
272,姜维,394,樊建,2
280,秦朗,321,诸葛亮,34
280,秦朗,394,樊建,18
280,秦朗,403,魏延,19
321,诸葛亮,394,樊建,18
394,樊建,403,魏延,3
153,杨仪,321,诸葛亮,4
