label1,node1,label2,node2,link_num
70,司马懿,200,张嶷,3
70,司马懿,202,张翼,4
70,司马懿,272,姜维,16
70,司马懿,321,诸葛亮,78
70,司马懿,391,廖化,8
70,司马懿,403,魏延,36
200,张嶷,202,张翼,3
200,张嶷,272,姜维,2
200,张嶷,321,诸葛亮,3
200,张嶷,391,廖化,7
200,张嶷,403,魏延,2
202,张翼,272,姜维,3
202,张翼,321,诸葛亮,4
202,张翼,391,廖化,8
202,张翼,403,魏延,3
272,姜维,321,诸葛亮,29
272,姜维,391,廖化,7
272,姜维,403,魏延,8
321,诸葛亮,391,廖化,8
321,诸葛亮,403,魏延,35
391,廖化,403,魏延,7
58,田豫,98,刘劭,4
58,田豫,127,孙权,2
58,田豫,326,诸葛瑾,2
58,田豫,346,曹睿,4
58,田豫,384,满宠,8
98,刘劭,127,孙权,4
98,刘劭,326,诸葛瑾,5
98,刘劭,346,曹睿,7
98,刘劭,384,满宠,8
127,孙权,326,诸葛瑾,5
127,孙权,346,曹睿,5
127,孙权,384,满宠,5
326,诸葛瑾,346,曹睿,6
326,诸葛瑾,384,满宠,5
346,曹睿,384,满宠,8
98,刘劭,206,陆逊,10
127,孙权,206,陆逊,8
206,陆逊,326,诸葛瑾,9
206,陆逊,346,曹睿,11
62,司马师,70,司马懿,19
62,司马师,321,诸葛亮,16
62,司马师,403,魏延,12
70,司马懿,298,夏侯和,6
70,司马懿,302,夏侯惠,16
298,夏侯和,302,夏侯惠,7
298,夏侯和,321,诸葛亮,6
302,夏侯惠,321,诸葛亮,10
70,司马懿,81,吕蒙,12
81,吕蒙,298,夏侯和,3
81,吕蒙,302,夏侯惠,2
81,吕蒙,321,诸葛亮,13
62,司马师,65,司马昭,4
62,司马师,125,孙礼,4
62,司马师,302,夏侯惠,4
62,司马师,318,郭淮,4
65,司马昭,70,司马懿,11
65,司马昭,125,孙礼,2
65,司马昭,302,夏侯惠,2
65,司马昭,318,郭淮,2
65,司马昭,321,诸葛亮,5
65,司马昭,403,魏延,5
70,司马懿,125,孙礼,11
70,司马懿,318,郭淮,14
125,孙礼,302,夏侯惠,2
125,孙礼,318,郭淮,2
125,孙礼,321,诸葛亮,5
125,孙礼,403,魏延,5
302,夏侯惠,318,郭淮,2
302,夏侯惠,403,魏延,5
318,郭淮,321,诸葛亮,8
318,郭淮,403,魏延,5
70,司马懿,133,孙亮,10
70,司马懿,178,辛毗,14
70,司马懿,346,曹睿,11
81,吕蒙,133,孙亮,2
81,吕蒙,178,辛毗,6
81,吕蒙,272,姜维,2
81,吕蒙,346,曹睿,3
133,孙亮,178,辛毗,6
133,孙亮,272,姜维,2
133,孙亮,321,诸葛亮,11
133,孙亮,346,曹睿,3
178,辛毗,272,姜维,6
178,辛毗,321,诸葛亮,15
178,辛毗,346,曹睿,7
272,姜维,346,曹睿,3
321,诸葛亮,346,曹睿,16
58,田豫,206,陆逊,2
58,田豫,277,费祎,2
58,田豫,321,诸葛亮,4
98,刘劭,277,费祎,2
98,刘劭,321,诸葛亮,4
206,陆逊,277,费祎,2
206,陆逊,321,诸葛亮,4
206,陆逊,384,满宠,3
277,费祎,321,诸葛亮,4
277,费祎,346,曹睿,2
277,费祎,384,满宠,3
321,诸葛亮,384,满宠,5
70,司马懿,304,夏侯霸,2
272,姜维,304,夏侯霸,3
304,夏侯霸,321,诸葛亮,6
304,夏侯霸,403,魏延,5
