label1,node1,label2,node2,link_num
70,司马懿,272,姜维,16
70,司马懿,304,夏侯霸,9
70,司马懿,321,诸葛亮,33
70,司马懿,403,魏延,17
272,姜维,304,夏侯霸,6
272,姜维,321,诸葛亮,36
272,姜维,403,魏延,25
304,夏侯霸,321,诸葛亮,14
304,夏侯霸,403,魏延,7
321,诸葛亮,403,魏延,29
18,王平,70,司马懿,3
18,王平,153,杨仪,6
18,王平,164,李福,4
18,王平,200,张嶷,2
18,王平,202,张翼,2
18,王平,272,姜维,4
18,王平,321,诸葛亮,12
18,王平,391,廖化,2
18,王平,403,魏延,3
70,司马懿,153,杨仪,13
70,司马懿,164,李福,5
70,司马懿,200,张嶷,3
70,司马懿,202,张翼,3
70,司马懿,391,廖化,3
153,杨仪,164,李福,8
153,杨仪,200,张嶷,6
153,杨仪,202,张翼,6
153,杨仪,272,姜维,24
153,杨仪,321,诸葛亮,23
153,杨仪,391,廖化,6
153,杨仪,403,魏延,23
164,李福,200,张嶷,4
164,李福,202,张翼,4
164,李福,272,姜维,6
164,李福,321,诸葛亮,30
164,李福,391,廖化,4
164,李福,403,魏延,5
200,张嶷,202,张翼,2
200,张嶷,272,姜维,4
200,张嶷,321,诸葛亮,12
200,张嶷,391,廖化,2
200,张嶷,403,魏延,3
202,张翼,272,姜维,4
202,张翼,321,诸葛亮,12
202,张翼,391,廖化,2
202,张翼,403,魏延,3
272,姜维,391,廖化,4
321,诸葛亮,391,廖化,12
391,廖化,403,魏延,3
159,李严,164,李福,3
159,李严,277,费祎,3
159,李严,321,诸葛亮,15
159,李严,362,蒋琬,3
159,李严,392,廖立,2
164,李福,277,费祎,4
164,李福,362,蒋琬,4
164,李福,392,廖立,3
277,费祎,321,诸葛亮,18
277,费祎,362,蒋琬,4
277,费祎,392,廖立,3
321,诸葛亮,362,蒋琬,16
321,诸葛亮,392,廖立,15
362,蒋琬,392,廖立,3
70,司马懿,277,费祎,4
153,杨仪,277,费祎,10
272,姜维,277,费祎,7
277,费祎,403,魏延,10
62,司马师,65,司马昭,2
62,司马师,70,司马懿,3
62,司马师,272,姜维,2
62,司马师,302,夏侯惠,2
62,司马师,304,夏侯霸,4
62,司马师,321,诸葛亮,5
65,司马昭,70,司马懿,3
65,司马昭,272,姜维,2
65,司马昭,302,夏侯惠,2
65,司马昭,304,夏侯霸,4
65,司马昭,321,诸葛亮,5
70,司马懿,302,夏侯惠,3
272,姜维,302,夏侯惠,2
302,夏侯惠,304,夏侯霸,4
302,夏侯惠,321,诸葛亮,5
