label1,node1,label2,node2,link_num
153,杨仪,272,姜维,35
153,杨仪,277,费祎,26
153,杨仪,403,魏延,61
272,姜维,277,费祎,8
272,姜维,403,魏延,39
277,费祎,403,魏延,21
153,杨仪,164,李福,15
153,杨仪,321,诸葛亮,31
153,杨仪,353,董允,19
153,杨仪,362,蒋琬,22
153,杨仪,393,谯周,15
164,李福,272,姜维,2
164,李福,277,费祎,2
164,李福,321,诸葛亮,2
164,李福,353,董允,3
164,李福,362,蒋琬,3
164,李福,393,谯周,2
164,李福,403,魏延,15
272,姜维,321,诸葛亮,12
272,姜维,353,董允,5
272,姜维,362,蒋琬,7
272,姜维,393,谯周,2
277,费祎,321,诸葛亮,8
277,费祎,353,董允,3
277,费祎,362,蒋琬,9
277,费祎,393,谯周,2
321,诸葛亮,353,董允,5
321,诸葛亮,362,蒋琬,7
321,诸葛亮,393,谯周,2
321,诸葛亮,403,魏延,34
353,董允,362,蒋琬,4
353,董允,393,谯周,3
353,董允,403,魏延,18
362,蒋琬,393,谯周,3
362,蒋琬,403,魏延,16
393,谯周,403,魏延,15
153,杨仪,270,郤正,5
270,郤正,272,姜维,3
270,郤正,403,魏延,6
153,杨仪,327,诸葛瞻,3
272,姜维,327,诸葛瞻,2
321,诸葛亮,327,诸葛瞻,2
327,诸葛瞻,353,董允,2
327,诸葛瞻,403,魏延,2
18,王平,45,邓芝,2
18,王平,92,全琮,2
18,王平,127,孙权,2
18,王平,200,张嶷,2
18,王平,240,宗预,5
18,王平,362,蒋琬,2
45,邓芝,92,全琮,2
45,邓芝,127,孙权,2
45,邓芝,200,张嶷,2
45,邓芝,240,宗预,5
45,邓芝,362,蒋琬,2
92,全琮,127,孙权,2
92,全琮,200,张嶷,2
92,全琮,240,宗预,5
92,全琮,362,蒋琬,2
127,孙权,200,张嶷,2
127,孙权,240,宗预,5
127,孙权,362,蒋琬,2
200,张嶷,240,宗预,5
200,张嶷,362,蒋琬,2
240,宗预,362,蒋琬,10
153,杨仪,240,宗预,5
240,宗预,272,姜维,3
240,宗预,277,费祎,5
240,宗预,321,诸葛亮,3
70,司马懿,127,孙权,2
70,司马懿,346,曹睿,2
127,孙权,346,曹睿,2
186,张茂,192,张津,2
186,张茂,374,傅干,2
192,张津,374,傅干,2
