label1,node1,label2,node2,link_num
70,司马懿,342,曹爽,35
39,公孙度,70,司马懿,2
39,公孙度,127,孙权,2
39,公孙度,282,袁尚,2
39,公孙度,333,曹丕,2
39,公孙度,346,曹睿,3
39,公孙度,348,曹操,2
70,司马懿,127,孙权,2
70,司马懿,282,袁尚,2
70,司马懿,333,曹丕,2
70,司马懿,346,曹睿,10
70,司马懿,348,曹操,2
127,孙权,282,袁尚,2
127,孙权,333,曹丕,2
127,孙权,346,曹睿,3
127,孙权,348,曹操,2
282,袁尚,333,曹丕,2
282,袁尚,346,曹睿,3
282,袁尚,348,曹操,2
333,曹丕,346,曹睿,3
333,曹丕,348,曹操,2
346,曹睿,348,曹操,3
70,司马懿,299,夏侯威,8
70,司马懿,304,夏侯霸,10
70,司马懿,321,诸葛亮,9
299,夏侯威,304,夏侯霸,8
299,夏侯威,321,诸葛亮,3
304,夏侯霸,321,诸葛亮,5
218,陈群,242,孟达,4
62,司马师,65,司马昭,2
62,司马师,70,司马懿,3
62,司马师,102,刘放,3
62,司马师,136,孙资,3
62,司马师,299,夏侯威,2
62,司马师,304,夏侯霸,2
62,司马师,335,曹宇,2
62,司马师,336,曹芳,2
62,司马师,341,曹真,3
62,司马师,342,曹爽,4
65,司马昭,70,司马懿,3
65,司马昭,102,刘放,3
65,司马昭,136,孙资,3
65,司马昭,299,夏侯威,2
65,司马昭,304,夏侯霸,2
65,司马昭,335,曹宇,2
65,司马昭,336,曹芳,2
65,司马昭,341,曹真,3
65,司马昭,342,曹爽,4
70,司马懿,102,刘放,8
70,司马懿,136,孙资,8
70,司马懿,335,曹宇,3
70,司马懿,336,曹芳,25
70,司马懿,341,曹真,4
102,刘放,136,孙资,6
102,刘放,299,夏侯威,3
102,刘放,304,夏侯霸,3
102,刘放,335,曹宇,3
102,刘放,336,曹芳,6
102,刘放,341,曹真,4
102,刘放,342,曹爽,7
136,孙资,299,夏侯威,3
136,孙资,304,夏侯霸,3
136,孙资,335,曹宇,3
136,孙资,336,曹芳,6
136,孙资,341,曹真,4
136,孙资,342,曹爽,7
299,夏侯威,335,曹宇,2
299,夏侯威,336,曹芳,2
299,夏侯威,341,曹真,3
299,夏侯威,342,曹爽,4
304,夏侯霸,335,曹宇,2
304,夏侯霸,336,曹芳,2
304,夏侯霸,341,曹真,3
304,夏侯霸,342,曹爽,4
335,曹宇,336,曹芳,2
335,曹宇,341,曹真,3
335,曹宇,342,曹爽,4
336,曹芳,341,曹真,3
336,曹芳,342,曹爽,26
341,曹真,342,曹爽,5
5,丁廙,70,司马懿,4
5,丁廙,101,刘备,2
5,丁廙,102,刘放,2
5,丁廙,110,刘禅,2
5,丁廙,136,孙资,2
5,丁廙,321,诸葛亮,3
5,丁廙,336,曹芳,3
5,丁廙,342,曹爽,2
70,司马懿,101,刘备,4
70,司马懿,110,刘禅,4
101,刘备,102,刘放,2
101,刘备,110,刘禅,2
101,刘备,136,孙资,2
101,刘备,321,诸葛亮,3
101,刘备,336,曹芳,3
101,刘备,342,曹爽,2
102,刘放,110,刘禅,2
102,刘放,321,诸葛亮,3
110,刘禅,136,孙资,2
110,刘禅,321,诸葛亮,3
110,刘禅,336,曹芳,3
110,刘禅,342,曹爽,2
136,孙资,321,诸葛亮,3
321,诸葛亮,336,曹芳,4
321,诸葛亮,342,曹爽,3
4,丁谧,46,邓止飏,3
4,丁谧,70,司马懿,8
4,丁谧,74,毕轨,6
4,丁谧,161,李胜,6
4,丁谧,174,何晏,10
4,丁谧,291,桓范,4
4,丁谧,336,曹芳,7
4,丁谧,342,曹爽,8
46,邓止飏,70,司马懿,3
46,邓止飏,74,毕轨,3
46,邓止飏,161,李胜,3
46,邓止飏,174,何晏,3
46,邓止飏,291,桓范,3
46,邓止飏,336,曹芳,4
46,邓止飏,342,曹爽,4
70,司马懿,74,毕轨,8
70,司马懿,161,李胜,20
70,司马懿,174,何晏,20
70,司马懿,291,桓范,12
74,毕轨,161,李胜,6
74,毕轨,174,何晏,10
74,毕轨,291,桓范,4
74,毕轨,336,曹芳,7
74,毕轨,342,曹爽,8
161,李胜,174,何晏,18
161,李胜,291,桓范,12
161,李胜,336,曹芳,15
161,李胜,342,曹爽,22
174,何晏,291,桓范,8
174,何晏,336,曹芳,15
174,何晏,342,曹爽,22
291,桓范,336,曹芳,9
291,桓范,342,曹爽,15
