label1,node1,label2,node2,link_num
4,丁谧,21,王观,2
4,丁谧,65,司马昭,2
4,丁谧,70,司马懿,11
4,丁谧,74,毕轨,4
4,丁谧,161,李胜,4
4,丁谧,174,何晏,5
4,丁谧,314,高柔,2
4,丁谧,336,曹芳,2
4,丁谧,342,曹爽,11
4,丁谧,361,蒋济,2
21,王观,65,司马昭,2
21,王观,70,司马懿,5
21,王观,74,毕轨,2
21,王观,161,李胜,2
21,王观,174,何晏,2
21,王观,314,高柔,2
21,王观,336,曹芳,2
21,王观,342,曹爽,4
21,王观,361,蒋济,2
65,司马昭,70,司马懿,5
65,司马昭,74,毕轨,2
65,司马昭,161,李胜,2
65,司马昭,174,何晏,2
65,司马昭,314,高柔,2
65,司马昭,336,曹芳,2
65,司马昭,342,曹爽,4
65,司马昭,361,蒋济,2
70,司马懿,74,毕轨,11
70,司马懿,161,李胜,11
70,司马懿,174,何晏,12
70,司马懿,314,高柔,5
70,司马懿,336,曹芳,19
70,司马懿,342,曹爽,42
70,司马懿,361,蒋济,20
74,毕轨,161,李胜,4
74,毕轨,174,何晏,5
74,毕轨,314,高柔,2
74,毕轨,336,曹芳,2
74,毕轨,342,曹爽,11
74,毕轨,361,蒋济,2
161,李胜,174,何晏,5
161,李胜,314,高柔,2
161,李胜,336,曹芳,2
161,李胜,342,曹爽,11
161,李胜,361,蒋济,2
174,何晏,314,高柔,2
174,何晏,336,曹芳,2
174,何晏,342,曹爽,12
174,何晏,361,蒋济,2
314,高柔,336,曹芳,2
314,高柔,342,曹爽,4
314,高柔,361,蒋济,2
336,曹芳,342,曹爽,17
336,曹芳,361,蒋济,6
342,曹爽,361,蒋济,16
70,司马懿,119,许允,14
70,司马懿,179,辛敞,15
70,司马懿,212,陈泰,22
70,司马懿,291,桓范,19
70,司马懿,321,诸葛亮,7
70,司马懿,341,曹真,7
119,许允,179,辛敞,4
119,许允,212,陈泰,6
119,许允,291,桓范,11
119,许允,321,诸葛亮,3
119,许允,336,曹芳,3
119,许允,341,曹真,3
119,许允,342,曹爽,15
119,许允,361,蒋济,5
179,辛敞,212,陈泰,6
179,辛敞,291,桓范,7
179,辛敞,321,诸葛亮,3
179,辛敞,336,曹芳,5
179,辛敞,341,曹真,3
179,辛敞,342,曹爽,16
179,辛敞,361,蒋济,8
212,陈泰,291,桓范,11
212,陈泰,321,诸葛亮,3
212,陈泰,336,曹芳,5
212,陈泰,341,曹真,3
212,陈泰,342,曹爽,19
212,陈泰,361,蒋济,5
291,桓范,321,诸葛亮,6
291,桓范,336,曹芳,6
291,桓范,341,曹真,6
291,桓范,342,曹爽,20
291,桓范,361,蒋济,8
321,诸葛亮,336,曹芳,2
321,诸葛亮,341,曹真,2
321,诸葛亮,342,曹爽,7
321,诸葛亮,361,蒋济,4
336,曹芳,341,曹真,2
341,曹真,342,曹爽,7
341,曹真,361,蒋济,4
4,丁谧,119,许允,2
4,丁谧,212,陈泰,2
4,丁谧,291,桓范,4
74,毕轨,119,许允,2
74,毕轨,212,陈泰,2
74,毕轨,291,桓范,4
119,许允,161,李胜,2
119,许允,174,何晏,3
161,李胜,212,陈泰,2
161,李胜,291,桓范,4
174,何晏,212,陈泰,3
174,何晏,291,桓范,5
70,司马懿,296,夏侯玄,5
70,司马懿,304,夏侯霸,15
70,司马懿,318,郭淮,8
179,辛敞,296,夏侯玄,3
179,辛敞,304,夏侯霸,5
179,辛敞,318,郭淮,3
212,陈泰,296,夏侯玄,3
212,陈泰,304,夏侯霸,12
212,陈泰,318,郭淮,18
296,夏侯玄,304,夏侯霸,6
296,夏侯玄,318,郭淮,4
296,夏侯玄,336,曹芳,3
296,夏侯玄,342,曹爽,5
304,夏侯霸,318,郭淮,12
304,夏侯霸,336,曹芳,9
304,夏侯霸,342,曹爽,11
318,郭淮,336,曹芳,3
318,郭淮,342,曹爽,5
70,司马懿,263,种会,4
70,司马懿,265,钟繇,4
70,司马懿,272,姜维,13
263,种会,265,钟繇,2
263,种会,272,姜维,2
263,种会,361,蒋济,2
265,钟繇,272,姜维,2
265,钟繇,361,蒋济,2
272,姜维,361,蒋济,2
70,司马懿,192,张津,3
70,司马懿,277,费祎,3
70,司马懿,353,董允,3
70,司马懿,362,蒋琬,3
192,张津,272,姜维,4
192,张津,277,费祎,2
192,张津,304,夏侯霸,4
192,张津,336,曹芳,2
192,张津,342,曹爽,2
192,张津,353,董允,2
192,张津,362,蒋琬,2
272,姜维,277,费祎,4
272,姜维,304,夏侯霸,14
272,姜维,336,曹芳,4
272,姜维,342,曹爽,4
272,姜维,353,董允,4
272,姜维,362,蒋琬,4
277,费祎,304,夏侯霸,4
277,费祎,336,曹芳,2
277,费祎,342,曹爽,2
277,费祎,353,董允,2
277,费祎,362,蒋琬,2
304,夏侯霸,353,董允,4
304,夏侯霸,362,蒋琬,4
336,曹芳,353,董允,2
336,曹芳,362,蒋琬,2
342,曹爽,353,董允,2
342,曹爽,362,蒋琬,2
353,董允,362,蒋琬,2
212,陈泰,272,姜维,13
272,姜维,318,郭淮,12
62,司马师,70,司马懿,5
62,司马师,212,陈泰,7
62,司马师,272,姜维,7
62,司马师,304,夏侯霸,6
62,司马师,318,郭淮,6
