label1,node1,label2,node2,link_num
2,丁奉,135,孙峻,2
62,司马师,65,司马昭,13
62,司马师,70,司马懿,7
62,司马师,78,吕岱,6
62,司马师,127,孙权,10
62,司马师,131,孙和,6
62,司马师,133,孙亮,13
62,司马师,143,孙登,6
62,司马师,206,陆逊,6
62,司马师,272,姜维,13
62,司马师,318,郭淮,10
62,司马师,322,诸葛恪,20
62,司马师,326,诸葛瑾,8
62,司马师,336,曹芳,6
65,司马昭,70,司马懿,3
65,司马昭,78,吕岱,2
65,司马昭,127,孙权,6
65,司马昭,131,孙和,2
65,司马昭,133,孙亮,5
65,司马昭,143,孙登,2
65,司马昭,206,陆逊,2
65,司马昭,272,姜维,10
65,司马昭,318,郭淮,7
65,司马昭,322,诸葛恪,10
65,司马昭,326,诸葛瑾,2
65,司马昭,336,曹芳,2
70,司马懿,78,吕岱,3
70,司马懿,127,孙权,3
70,司马懿,131,孙和,3
70,司马懿,133,孙亮,3
70,司马懿,143,孙登,3
70,司马懿,206,陆逊,3
70,司马懿,272,姜维,6
70,司马懿,318,郭淮,4
70,司马懿,322,诸葛恪,4
70,司马懿,326,诸葛瑾,3
70,司马懿,336,曹芳,3
78,吕岱,127,孙权,2
78,吕岱,131,孙和,2
78,吕岱,133,孙亮,2
78,吕岱,143,孙登,2
78,吕岱,206,陆逊,2
78,吕岱,272,姜维,5
78,吕岱,318,郭淮,3
78,吕岱,322,诸葛恪,3
78,吕岱,326,诸葛瑾,2
78,吕岱,336,曹芳,2
127,孙权,131,孙和,2
127,孙权,133,孙亮,10
127,孙权,143,孙登,2
127,孙权,206,陆逊,2
127,孙权,272,姜维,5
127,孙权,318,郭淮,3
127,孙权,322,诸葛恪,11
127,孙权,326,诸葛瑾,2
127,孙权,336,曹芳,2
131,孙和,133,孙亮,2
131,孙和,143,孙登,2
131,孙和,206,陆逊,2
131,孙和,272,姜维,5
131,孙和,318,郭淮,3
131,孙和,322,诸葛恪,3
131,孙和,326,诸葛瑾,2
131,孙和,336,曹芳,2
133,孙亮,143,孙登,2
133,孙亮,206,陆逊,2
133,孙亮,272,姜维,5
133,孙亮,318,郭淮,3
133,孙亮,322,诸葛恪,20
133,孙亮,326,诸葛瑾,6
133,孙亮,336,曹芳,2
143,孙登,206,陆逊,2
143,孙登,272,姜维,5
143,孙登,318,郭淮,3
143,孙登,322,诸葛恪,3
143,孙登,326,诸葛瑾,2
143,孙登,336,曹芳,2
206,陆逊,272,姜维,5
206,陆逊,318,郭淮,3
206,陆逊,322,诸葛恪,3
206,陆逊,326,诸葛瑾,2
206,陆逊,336,曹芳,2
272,姜维,318,郭淮,9
272,姜维,322,诸葛恪,12
272,姜维,326,诸葛瑾,5
272,姜维,336,曹芳,5
318,郭淮,322,诸葛恪,7
318,郭淮,326,诸葛瑾,3
318,郭淮,336,曹芳,3
322,诸葛恪,326,诸葛瑾,10
322,诸葛恪,336,曹芳,3
326,诸葛瑾,336,曹芳,2
62,司马师,376,傅嘏,2
65,司马昭,376,傅嘏,2
127,孙权,376,傅嘏,4
133,孙亮,376,傅嘏,3
322,诸葛恪,376,傅嘏,2
2,丁奉,80,吕据,3
2,丁奉,311,留赞,3
2,丁奉,322,诸葛恪,10
80,吕据,311,留赞,2
80,吕据,322,诸葛恪,2
311,留赞,322,诸葛恪,2
2,丁奉,62,司马师,7
2,丁奉,65,司马昭,8
2,丁奉,193,张特,6
2,丁奉,272,姜维,7
2,丁奉,318,郭淮,6
62,司马师,193,张特,3
65,司马昭,193,张特,4
193,张特,272,姜维,3
193,张特,318,郭淮,2
193,张特,322,诸葛恪,7
120,许攸,127,孙权,2
120,许攸,130,孙坚,2
120,许攸,133,孙亮,3
120,许攸,135,孙峻,4
120,许攸,322,诸葛恪,4
120,许攸,395,滕胤,3
127,孙权,130,孙坚,2
127,孙权,135,孙峻,4
127,孙权,395,滕胤,3
130,孙坚,133,孙亮,3
130,孙坚,135,孙峻,4
130,孙坚,322,诸葛恪,4
130,孙坚,395,滕胤,3
133,孙亮,135,孙峻,14
133,孙亮,395,滕胤,4
135,孙峻,322,诸葛恪,18
135,孙峻,395,滕胤,9
322,诸葛恪,395,滕胤,5
62,司马师,135,孙峻,7
62,司马师,198,张缉,2
133,孙亮,198,张缉,4
135,孙峻,198,张缉,7
135,孙峻,326,诸葛瑾,7
198,张缉,322,诸葛恪,7
198,张缉,326,诸葛瑾,2
