label1,node1,label2,node2,link_num
200,张嶷,202,张翼,2
200,张嶷,270,郤正,2
200,张嶷,272,姜维,2
200,张嶷,304,夏侯霸,3
200,张嶷,391,廖化,2
202,张翼,270,郤正,2
202,张翼,272,姜维,6
202,张翼,304,夏侯霸,5
202,张翼,391,廖化,8
270,郤正,272,姜维,2
270,郤正,304,夏侯霸,3
270,郤正,391,廖化,2
272,姜维,304,夏侯霸,15
272,姜维,391,廖化,11
304,夏侯霸,391,廖化,7
62,司马师,65,司马昭,7
62,司马师,202,张翼,2
62,司马师,272,姜维,7
62,司马师,318,郭淮,7
62,司马师,391,廖化,2
65,司马昭,202,张翼,7
65,司马昭,272,姜维,19
65,司马昭,318,郭淮,16
65,司马昭,391,廖化,9
202,张翼,318,郭淮,2
272,姜维,318,郭淮,16
318,郭淮,391,廖化,2
65,司马昭,70,司马懿,4
65,司马昭,304,夏侯霸,8
70,司马懿,202,张翼,2
70,司马懿,272,姜维,4
70,司马懿,304,夏侯霸,2
70,司马懿,391,廖化,2
65,司马昭,212,陈泰,7
212,陈泰,272,姜维,7
212,陈泰,318,郭淮,13
62,司马师,304,夏侯霸,7
62,司马师,336,曹芳,6
65,司马昭,336,曹芳,3
272,姜维,336,曹芳,4
304,夏侯霸,318,郭淮,5
304,夏侯霸,336,曹芳,5
318,郭淮,336,曹芳,4
62,司马师,198,张缉,11
62,司马师,296,夏侯玄,11
198,张缉,296,夏侯玄,8
198,张缉,304,夏侯霸,4
198,张缉,336,曹芳,6
296,夏侯玄,304,夏侯霸,3
296,夏侯玄,336,曹芳,3
62,司马师,354,董卓,6
198,张缉,354,董卓,2
296,夏侯玄,354,董卓,3
25,王肃,62,司马师,6
25,王肃,345,曹髦,4
62,司马师,345,曹髦,8
41,文钦,62,司马师,2
