label1,node1,label2,node2,link_num
49,孔融,348,曹操,29
49,孔融,216,陈登,10
49,孔融,328,陶谦,38
216,陈登,328,陶谦,13
37,太史慈,49,孔融,31
37,太史慈,328,陶谦,11
37,太史慈,348,曹操,13
328,陶谦,348,曹操,21
37,太史慈,101,刘备,27
49,孔融,101,刘备,52
37,太史慈,118,关羽,10
37,太史慈,181,张飞,9
49,孔融,118,关羽,20
49,孔融,181,张飞,20
101,刘备,118,关羽,42
101,刘备,181,张飞,42
118,关羽,181,张飞,14
37,太史慈,40,公孙瓒,7
37,太史慈,114,刘繇,6
37,太史慈,246,赵云,7
37,太史慈,344,曹嵩,6
40,公孙瓒,49,孔融,9
40,公孙瓒,101,刘备,16
40,公孙瓒,114,刘繇,3
40,公孙瓒,118,关羽,4
40,公孙瓒,181,张飞,3
40,公孙瓒,246,赵云,4
40,公孙瓒,328,陶谦,4
40,公孙瓒,344,曹嵩,3
40,公孙瓒,348,曹操,5
49,孔融,114,刘繇,8
49,孔融,246,赵云,18
49,孔融,344,曹嵩,8
101,刘备,114,刘繇,15
101,刘备,246,赵云,37
101,刘备,328,陶谦,54
101,刘备,344,曹嵩,15
101,刘备,348,曹操,39
114,刘繇,118,关羽,3
114,刘繇,181,张飞,2
114,刘繇,246,赵云,3
114,刘繇,328,陶谦,3
114,刘繇,344,曹嵩,2
114,刘繇,348,曹操,4
118,关羽,246,赵云,12
118,关羽,328,陶谦,11
118,关羽,344,曹嵩,3
118,关羽,348,曹操,5
181,张飞,246,赵云,12
181,张飞,328,陶谦,9
181,张飞,344,曹嵩,2
181,张飞,348,曹操,4
246,赵云,328,陶谦,11
246,赵云,344,曹嵩,3
246,赵云,348,曹操,5
328,陶谦,344,曹嵩,3
344,曹嵩,348,曹操,4
101,刘备,216,陈登,16
216,陈登,348,曹操,2
6,于禁,49,孔融,4
6,于禁,101,刘备,7
6,于禁,118,关羽,5
6,于禁,181,张飞,7
6,于禁,246,赵云,5
101,刘备,319,郭嘉,7
101,刘备,354,董卓,4
319,郭嘉,328,陶谦,2
319,郭嘉,348,曹操,11
319,郭嘉,354,董卓,2
328,陶谦,354,董卓,2
348,曹操,354,董卓,3
75,吕布,101,刘备,10
75,吕布,201,张邈,12
75,吕布,211,陈宫,20
75,吕布,252,荀彧,15
75,吕布,281,袁术,9
75,吕布,283,袁绍,10
75,吕布,319,郭嘉,15
75,吕布,332,曹仁,16
75,吕布,348,曹操,40
75,吕布,371,程昱,15
101,刘备,201,张邈,6
101,刘备,211,陈宫,3
101,刘备,252,荀彧,3
101,刘备,281,袁术,18
101,刘备,283,袁绍,4
101,刘备,332,曹仁,3
101,刘备,371,程昱,3
201,张邈,211,陈宫,5
201,张邈,252,荀彧,5
201,张邈,281,袁术,5
201,张邈,283,袁绍,6
201,张邈,319,郭嘉,5
201,张邈,332,曹仁,5
201,张邈,348,曹操,5
201,张邈,371,程昱,5
211,陈宫,252,荀彧,7
211,陈宫,281,袁术,2
211,陈宫,283,袁绍,3
211,陈宫,319,郭嘉,7
211,陈宫,332,曹仁,8
211,陈宫,348,曹操,14
211,陈宫,371,程昱,7
252,荀彧,281,袁术,2
252,荀彧,283,袁绍,3
252,荀彧,319,郭嘉,4
252,荀彧,332,曹仁,5
252,荀彧,348,曹操,8
252,荀彧,371,程昱,4
281,袁术,283,袁绍,3
281,袁术,319,郭嘉,2
281,袁术,332,曹仁,2
281,袁术,348,曹操,2
281,袁术,371,程昱,2
283,袁绍,319,郭嘉,3
283,袁绍,332,曹仁,3
283,袁绍,348,曹操,3
283,袁绍,371,程昱,3
319,郭嘉,332,曹仁,5
319,郭嘉,371,程昱,4
332,曹仁,348,曹操,9
332,曹仁,371,程昱,5
348,曹操,371,程昱,8
49,孔融,281,袁术,6
118,关羽,216,陈登,3
118,关羽,281,袁术,4
181,张飞,216,陈登,2
181,张飞,281,袁术,3
216,陈登,246,赵云,3
216,陈登,281,袁术,3
246,赵云,281,袁术,4
281,袁术,328,陶谦,7
75,吕布,241,审配,6
211,陈宫,241,审配,5
241,审配,252,荀彧,2
241,审配,319,郭嘉,2
241,审配,332,曹仁,3
241,审配,348,曹操,6
241,审配,371,程昱,2
60,乐进,75,吕布,13
60,乐进,182,张辽,5
60,乐进,348,曹操,9
60,乐进,387,臧霸,6
75,吕布,182,张辽,12
75,吕布,387,臧霸,13
182,张辽,348,曹操,8
182,张辽,387,臧霸,5
348,曹操,387,臧霸,9
6,于禁,38,毛玠,3
6,于禁,75,吕布,8
6,于禁,79,吕虔,5
6,于禁,160,李典,3
6,于禁,340,曹洪,5
6,于禁,348,曹操,9
38,毛玠,75,吕布,2
38,毛玠,79,吕虔,2
38,毛玠,160,李典,2
38,毛玠,340,曹洪,2
38,毛玠,348,曹操,2
75,吕布,79,吕虔,7
75,吕布,160,李典,2
75,吕布,340,曹洪,7
79,吕虔,160,李典,2
79,吕虔,340,曹洪,4
79,吕虔,348,曹操,8
160,李典,340,曹洪,2
160,李典,348,曹操,2
340,曹洪,348,曹操,8
6,于禁,60,乐进,2
6,于禁,182,张辽,2
6,于禁,387,臧霸,2
60,乐进,79,吕虔,2
60,乐进,340,曹洪,2
79,吕虔,182,张辽,2
79,吕虔,387,臧霸,2
182,张辽,340,曹洪,2
340,曹洪,387,臧霸,2
