label1,node1,label2,node2,link_num
25,王肃,32,王基,4
25,王肃,41,文钦,4
25,王肃,51,母丘俭,2
25,王肃,62,司马师,10
25,王肃,65,司马昭,7
25,王肃,81,吕蒙,2
25,王肃,118,关羽,2
25,王肃,127,孙权,2
25,王肃,238,郑袤,2
25,王肃,320,诸葛诞,2
25,王肃,342,曹爽,3
25,王肃,347,曹彰,2
32,王基,41,文钦,12
32,王基,51,母丘俭,4
32,王基,62,司马师,13
32,王基,65,司马昭,8
32,王基,81,吕蒙,4
32,王基,118,关羽,4
32,王基,127,孙权,4
32,王基,238,郑袤,4
32,王基,320,诸葛诞,8
32,王基,342,曹爽,8
32,王基,347,曹彰,4
41,文钦,51,母丘俭,4
41,文钦,62,司马师,19
41,文钦,65,司马昭,10
41,文钦,81,吕蒙,4
41,文钦,118,关羽,4
41,文钦,127,孙权,4
41,文钦,238,郑袤,4
41,文钦,320,诸葛诞,10
41,文钦,342,曹爽,10
41,文钦,347,曹彰,7
51,母丘俭,62,司马师,7
51,母丘俭,65,司马昭,2
51,母丘俭,81,吕蒙,2
51,母丘俭,118,关羽,2
51,母丘俭,127,孙权,2
51,母丘俭,238,郑袤,2
51,母丘俭,320,诸葛诞,2
51,母丘俭,342,曹爽,3
51,母丘俭,347,曹彰,2
62,司马师,65,司马昭,15
62,司马师,81,吕蒙,7
62,司马师,118,关羽,7
62,司马师,127,孙权,7
62,司马师,238,郑袤,7
62,司马师,320,诸葛诞,11
62,司马师,342,曹爽,11
62,司马师,347,曹彰,10
65,司马昭,81,吕蒙,2
65,司马昭,118,关羽,2
65,司马昭,127,孙权,2
65,司马昭,238,郑袤,2
65,司马昭,320,诸葛诞,6
65,司马昭,342,曹爽,6
65,司马昭,347,曹彰,2
81,吕蒙,118,关羽,2
81,吕蒙,127,孙权,2
81,吕蒙,238,郑袤,2
81,吕蒙,320,诸葛诞,2
81,吕蒙,342,曹爽,3
81,吕蒙,347,曹彰,2
118,关羽,127,孙权,2
118,关羽,238,郑袤,2
118,关羽,320,诸葛诞,2
118,关羽,342,曹爽,3
118,关羽,347,曹彰,2
127,孙权,238,郑袤,2
127,孙权,320,诸葛诞,2
127,孙权,342,曹爽,3
127,孙权,347,曹彰,2
238,郑袤,320,诸葛诞,2
238,郑袤,342,曹爽,3
238,郑袤,347,曹彰,2
320,诸葛诞,342,曹爽,6
320,诸葛诞,347,曹彰,2
342,曹爽,347,曹彰,3
62,司马师,135,孙峻,5
44,邓艾,62,司马师,11
44,邓艾,376,傅嘏,3
62,司马师,376,傅嘏,2
41,文钦,44,邓艾,10
41,文钦,246,赵云,3
44,邓艾,246,赵云,3
44,邓艾,347,曹彰,3
62,司马师,246,赵云,3
246,赵云,347,曹彰,2
32,王基,44,邓艾,4
32,王基,70,司马懿,3
32,王基,135,孙峻,3
32,王基,198,张缉,3
32,王基,296,夏侯玄,3
32,王基,345,曹髦,3
41,文钦,70,司马懿,5
41,文钦,135,孙峻,5
41,文钦,198,张缉,5
41,文钦,296,夏侯玄,5
41,文钦,345,曹髦,5
44,邓艾,65,司马昭,4
44,邓艾,70,司马懿,3
44,邓艾,135,孙峻,3
44,邓艾,198,张缉,3
44,邓艾,296,夏侯玄,3
44,邓艾,320,诸葛诞,4
44,邓艾,342,曹爽,3
44,邓艾,345,曹髦,3
62,司马师,70,司马懿,3
62,司马师,198,张缉,3
62,司马师,296,夏侯玄,3
62,司马师,345,曹髦,3
65,司马昭,70,司马懿,3
65,司马昭,135,孙峻,3
65,司马昭,198,张缉,3
65,司马昭,296,夏侯玄,3
65,司马昭,345,曹髦,3
70,司马懿,135,孙峻,2
70,司马懿,198,张缉,2
70,司马懿,296,夏侯玄,2
70,司马懿,320,诸葛诞,3
70,司马懿,342,曹爽,2
70,司马懿,345,曹髦,2
135,孙峻,198,张缉,2
135,孙峻,296,夏侯玄,2
135,孙峻,320,诸葛诞,3
135,孙峻,342,曹爽,2
135,孙峻,345,曹髦,2
198,张缉,296,夏侯玄,2
198,张缉,320,诸葛诞,3
198,张缉,342,曹爽,2
198,张缉,345,曹髦,2
296,夏侯玄,320,诸葛诞,3
296,夏侯玄,342,曹爽,2
296,夏侯玄,345,曹髦,2
320,诸葛诞,345,曹髦,3
342,曹爽,345,曹髦,2
25,王肃,202,张翼,4
25,王肃,272,姜维,4
25,王肃,304,夏侯霸,3
62,司马师,202,张翼,6
62,司马师,272,姜维,8
62,司马师,304,夏侯霸,5
65,司马昭,202,张翼,5
65,司马昭,272,姜维,5
65,司马昭,304,夏侯霸,4
202,张翼,272,姜维,16
202,张翼,304,夏侯霸,14
272,姜维,304,夏侯霸,14
62,司马师,212,陈泰,2
202,张翼,212,陈泰,12
212,陈泰,272,姜维,12
212,陈泰,304,夏侯霸,11
44,邓艾,202,张翼,11
44,邓艾,212,陈泰,12
44,邓艾,272,姜维,9
44,邓艾,304,夏侯霸,10
