label1,node1,label2,node2,link_num
65,司马昭,272,姜维,2
65,司马昭,320,诸葛诞,20
272,姜维,320,诸葛诞,2
44,邓艾,212,陈泰,25
44,邓艾,272,姜维,27
44,邓艾,321,诸葛亮,6
44,邓艾,345,曹髦,9
212,陈泰,272,姜维,20
212,陈泰,321,诸葛亮,6
212,陈泰,345,曹髦,8
272,姜维,321,诸葛亮,3
272,姜维,345,曹髦,3
321,诸葛亮,345,曹髦,2
44,邓艾,304,夏侯霸,15
44,邓艾,394,樊建,3
272,姜维,304,夏侯霸,15
272,姜维,394,樊建,2
304,夏侯霸,394,樊建,3
212,陈泰,304,夏侯霸,7
44,邓艾,200,张嶷,4
200,张嶷,212,陈泰,4
200,张嶷,272,姜维,6
200,张嶷,304,夏侯霸,4
44,邓艾,65,司马昭,5
44,邓艾,293,贾充,5
44,邓艾,295,贾逵,3
44,邓艾,320,诸葛诞,5
65,司马昭,212,陈泰,4
65,司马昭,293,贾充,13
65,司马昭,295,贾逵,4
65,司马昭,345,曹髦,7
212,陈泰,293,贾充,4
212,陈泰,295,贾逵,2
212,陈泰,320,诸葛诞,4
293,贾充,295,贾逵,4
293,贾充,320,诸葛诞,13
293,贾充,345,曹髦,6
295,贾逵,320,诸葛诞,4
295,贾逵,345,曹髦,2
320,诸葛诞,345,曹髦,9
60,乐进,65,司马昭,4
60,乐进,293,贾充,2
60,乐进,320,诸葛诞,2
60,乐进,325,诸葛靓,2
65,司马昭,325,诸葛靓,8
293,贾充,325,诸葛靓,5
320,诸葛诞,325,诸葛靓,8
32,王基,41,文钦,5
32,王基,65,司马昭,6
32,王基,80,吕据,2
32,王基,133,孙亮,2
32,王基,135,孙峻,2
32,王基,141,孙綝,4
32,王基,217,陈骞,2
32,王基,293,贾充,2
32,王基,320,诸葛诞,8
32,王基,325,诸葛靓,3
32,王基,345,曹髦,2
32,王基,361,蒋济,2
32,王基,395,滕胤,2
41,文钦,65,司马昭,5
41,文钦,80,吕据,2
41,文钦,133,孙亮,2
41,文钦,135,孙峻,2
41,文钦,141,孙綝,4
41,文钦,217,陈骞,2
41,文钦,293,贾充,2
41,文钦,320,诸葛诞,7
41,文钦,325,诸葛靓,3
41,文钦,345,曹髦,2
41,文钦,361,蒋济,2
41,文钦,395,滕胤,2
65,司马昭,80,吕据,3
65,司马昭,133,孙亮,3
65,司马昭,135,孙峻,3
65,司马昭,141,孙綝,5
65,司马昭,217,陈骞,3
65,司马昭,361,蒋济,3
65,司马昭,395,滕胤,3
80,吕据,133,孙亮,2
80,吕据,135,孙峻,2
80,吕据,141,孙綝,4
80,吕据,217,陈骞,2
80,吕据,293,贾充,2
80,吕据,320,诸葛诞,5
80,吕据,325,诸葛靓,3
80,吕据,345,曹髦,2
80,吕据,361,蒋济,2
80,吕据,395,滕胤,2
133,孙亮,135,孙峻,2
133,孙亮,141,孙綝,4
133,孙亮,217,陈骞,2
133,孙亮,293,贾充,2
133,孙亮,320,诸葛诞,5
133,孙亮,325,诸葛靓,3
133,孙亮,345,曹髦,2
133,孙亮,361,蒋济,2
133,孙亮,395,滕胤,2
135,孙峻,141,孙綝,4
135,孙峻,217,陈骞,2
135,孙峻,293,贾充,2
135,孙峻,320,诸葛诞,5
135,孙峻,325,诸葛靓,3
135,孙峻,345,曹髦,2
135,孙峻,361,蒋济,2
135,孙峻,395,滕胤,2
141,孙綝,217,陈骞,4
141,孙綝,293,贾充,4
141,孙綝,320,诸葛诞,7
141,孙綝,325,诸葛靓,5
141,孙綝,345,曹髦,4
141,孙綝,361,蒋济,4
141,孙綝,395,滕胤,4
217,陈骞,293,贾充,2
217,陈骞,320,诸葛诞,5
217,陈骞,325,诸葛靓,3
217,陈骞,345,曹髦,2
217,陈骞,361,蒋济,2
217,陈骞,395,滕胤,2
293,贾充,361,蒋济,2
293,贾充,395,滕胤,2
320,诸葛诞,361,蒋济,5
320,诸葛诞,395,滕胤,5
325,诸葛靓,345,曹髦,3
325,诸葛靓,361,蒋济,3
325,诸葛靓,395,滕胤,3
345,曹髦,361,蒋济,2
345,曹髦,395,滕胤,2
361,蒋济,395,滕胤,2
32,王基,347,曹彰,3
41,文钦,347,曹彰,2
65,司马昭,347,曹彰,2
320,诸葛诞,347,曹彰,2
