label1,node1,label2,node2,link_num
32,王基,65,司马昭,8
32,王基,217,陈骞,9
32,王基,320,诸葛诞,10
32,王基,388,裴秀,2
65,司马昭,217,陈骞,7
65,司马昭,320,诸葛诞,22
65,司马昭,388,裴秀,5
217,陈骞,320,诸葛诞,9
217,陈骞,388,裴秀,2
320,诸葛诞,388,裴秀,5
32,王基,41,文钦,6
41,文钦,65,司马昭,10
41,文钦,217,陈骞,5
41,文钦,320,诸葛诞,10
17,王双,32,王基,4
17,王双,41,文钦,2
17,王双,65,司马昭,2
17,王双,141,孙綝,4
17,王双,217,陈骞,3
17,王双,320,诸葛诞,3
32,王基,141,孙綝,6
41,文钦,141,孙綝,9
65,司马昭,141,孙綝,15
141,孙綝,217,陈骞,5
141,孙綝,320,诸葛诞,14
32,王基,257,胡奋,2
65,司马昭,272,姜维,16
65,司马昭,393,谯周,3
141,孙綝,272,姜维,9
141,孙綝,388,裴秀,3
141,孙綝,393,谯周,3
272,姜维,320,诸葛诞,8
272,姜维,388,裴秀,6
272,姜维,393,谯周,6
320,诸葛诞,393,谯周,2
388,裴秀,393,谯周,2
65,司马昭,68,司马望,6
68,司马望,272,姜维,7
44,邓艾,65,司马昭,5
44,邓艾,68,司马望,5
44,邓艾,272,姜维,6
