label1,node1,label2,node2,link_num
2,丁奉,44,邓艾,2
2,丁奉,141,孙綝,12
2,丁奉,272,姜维,2
44,邓艾,141,孙綝,6
44,邓艾,272,姜维,38
141,孙綝,272,姜维,6
44,邓艾,65,司马昭,7
44,邓艾,133,孙亮,3
65,司马昭,133,孙亮,2
65,司马昭,141,孙綝,3
65,司马昭,272,姜维,7
133,孙亮,141,孙綝,13
133,孙亮,272,姜维,3
127,孙权,128,孙休,4
127,孙权,138,孙皓,2
127,孙权,141,孙綝,5
127,孙权,210,陈武,2
128,孙休,138,孙皓,4
128,孙休,141,孙綝,19
128,孙休,210,陈武,4
138,孙皓,141,孙綝,5
138,孙皓,210,陈武,2
141,孙綝,210,陈武,5
2,丁奉,128,孙休,8
2,丁奉,244,孟宗,2
128,孙休,244,孟宗,4
141,孙綝,244,孟宗,2
2,丁奉,80,吕据,4
2,丁奉,135,孙峻,3
2,丁奉,322,诸葛恪,3
2,丁奉,395,滕胤,4
80,吕据,128,孙休,4
80,吕据,135,孙峻,3
80,吕据,141,孙綝,8
80,吕据,322,诸葛恪,3
80,吕据,395,滕胤,4
128,孙休,135,孙峻,3
128,孙休,322,诸葛恪,3
128,孙休,395,滕胤,4
135,孙峻,141,孙綝,7
135,孙峻,322,诸葛恪,2
135,孙峻,395,滕胤,3
141,孙綝,322,诸葛恪,7
141,孙綝,395,滕胤,8
322,诸葛恪,395,滕胤,3
44,邓艾,110,刘禅,10
44,邓艾,128,孙休,4
44,邓艾,202,张翼,18
44,邓艾,259,胡济,4
44,邓艾,304,夏侯霸,5
44,邓艾,391,廖化,20
65,司马昭,110,刘禅,2
65,司马昭,128,孙休,2
65,司马昭,202,张翼,2
65,司马昭,259,胡济,2
65,司马昭,304,夏侯霸,3
65,司马昭,391,廖化,2
110,刘禅,128,孙休,2
110,刘禅,202,张翼,4
110,刘禅,259,胡济,2
110,刘禅,272,姜维,12
110,刘禅,304,夏侯霸,3
110,刘禅,391,廖化,5
128,孙休,202,张翼,2
128,孙休,259,胡济,2
128,孙休,272,姜维,4
128,孙休,304,夏侯霸,3
128,孙休,391,廖化,2
202,张翼,259,胡济,2
202,张翼,272,姜维,20
202,张翼,304,夏侯霸,3
202,张翼,391,廖化,8
259,胡济,272,姜维,4
259,胡济,304,夏侯霸,3
259,胡济,391,廖化,2
272,姜维,304,夏侯霸,5
272,姜维,391,廖化,22
304,夏侯霸,391,廖化,3
44,邓艾,68,司马望,16
44,邓艾,321,诸葛亮,8
68,司马望,202,张翼,6
68,司马望,272,姜维,18
68,司马望,321,诸葛亮,2
68,司马望,391,廖化,8
202,张翼,321,诸葛亮,2
272,姜维,321,诸葛亮,8
321,诸葛亮,391,廖化,3
68,司马望,110,刘禅,4
