label1,node1,label2,node2,link_num
272,姜维,345,曹髦,6
44,邓艾,202,张翼,12
44,邓艾,272,姜维,31
44,邓艾,391,廖化,12
202,张翼,272,姜维,14
202,张翼,391,廖化,8
272,姜维,391,廖化,14
24,王沈,44,邓艾,4
24,王沈,65,司马昭,8
24,王沈,68,司马望,4
24,王沈,293,贾充,5
24,王沈,336,曹芳,4
24,王沈,345,曹髦,4
24,王沈,404,糜芳,4
44,邓艾,65,司马昭,28
44,邓艾,68,司马望,2
44,邓艾,293,贾充,6
44,邓艾,336,曹芳,2
44,邓艾,345,曹髦,5
44,邓艾,404,糜芳,2
65,司马昭,68,司马望,6
65,司马昭,293,贾充,18
65,司马昭,336,曹芳,6
65,司马昭,345,曹髦,15
65,司马昭,404,糜芳,6
68,司马望,293,贾充,3
68,司马望,336,曹芳,2
68,司马望,345,曹髦,2
68,司马望,404,糜芳,2
293,贾充,336,曹芳,3
293,贾充,345,曹髦,11
293,贾充,404,糜芳,3
336,曹芳,345,曹髦,2
336,曹芳,404,糜芳,2
345,曹髦,404,糜芳,2
212,陈泰,256,荀顗,2
212,陈泰,270,郤正,2
212,陈泰,293,贾充,4
256,荀顗,270,郤正,2
256,荀顗,293,贾充,4
270,郤正,293,贾充,4
44,邓艾,64,司马炎,2
44,邓艾,335,曹宇,2
44,邓艾,337,曹奂,3
44,邓艾,348,曹操,8
64,司马炎,65,司马昭,6
64,司马炎,202,张翼,2
64,司马炎,272,姜维,3
64,司马炎,293,贾充,3
64,司马炎,335,曹宇,2
64,司马炎,337,曹奂,3
64,司马炎,345,曹髦,3
64,司马炎,348,曹操,2
64,司马炎,391,廖化,2
65,司马昭,202,张翼,9
65,司马昭,272,姜维,18
65,司马昭,335,曹宇,6
65,司马昭,337,曹奂,7
65,司马昭,348,曹操,9
65,司马昭,391,廖化,9
202,张翼,293,贾充,3
202,张翼,335,曹宇,2
202,张翼,337,曹奂,3
202,张翼,345,曹髦,3
202,张翼,348,曹操,4
272,姜维,293,贾充,4
272,姜维,335,曹宇,3
272,姜维,337,曹奂,4
272,姜维,348,曹操,7
293,贾充,335,曹宇,3
293,贾充,337,曹奂,4
293,贾充,348,曹操,3
293,贾充,391,廖化,3
335,曹宇,337,曹奂,3
335,曹宇,345,曹髦,3
335,曹宇,348,曹操,2
335,曹宇,391,廖化,2
337,曹奂,345,曹髦,4
337,曹奂,348,曹操,3
337,曹奂,391,廖化,3
345,曹髦,348,曹操,3
345,曹髦,391,廖化,3
348,曹操,391,廖化,4
44,邓艾,304,夏侯霸,17
65,司马昭,304,夏侯霸,7
202,张翼,304,夏侯霸,4
272,姜维,304,夏侯霸,12
304,夏侯霸,348,曹操,4
304,夏侯霸,391,廖化,4
