label1,node1,label2,node2,link_num
272,姜维,393,谯周,3
44,邓艾,68,司马望,11
44,邓艾,272,姜维,48
44,邓艾,391,廖化,5
68,司马望,272,姜维,13
68,司马望,391,廖化,4
272,姜维,391,廖化,6
44,邓艾,202,张翼,17
44,邓艾,304,夏侯霸,7
68,司马望,202,张翼,5
68,司马望,304,夏侯霸,7
202,张翼,272,姜维,20
202,张翼,304,夏侯霸,6
272,姜维,304,夏侯霸,8
44,邓艾,109,刘琰,8
44,邓艾,259,胡济,6
44,邓艾,270,郤正,8
44,邓艾,353,董允,6
109,刘琰,202,张翼,6
109,刘琰,259,胡济,4
109,刘琰,270,郤正,6
109,刘琰,272,姜维,11
109,刘琰,353,董允,4
202,张翼,259,胡济,4
202,张翼,270,郤正,6
202,张翼,353,董允,4
259,胡济,270,郤正,4
259,胡济,272,姜维,9
259,胡济,353,董允,2
270,郤正,272,姜维,11
270,郤正,353,董允,4
272,姜维,353,董允,9
44,邓艾,65,司马昭,6
44,邓艾,110,刘禅,6
44,邓艾,256,荀顗,4
44,邓艾,293,贾充,3
44,邓艾,321,诸葛亮,3
65,司马昭,110,刘禅,4
65,司马昭,256,荀顗,3
65,司马昭,272,姜维,9
65,司马昭,293,贾充,2
65,司马昭,321,诸葛亮,2
110,刘禅,256,荀顗,3
110,刘禅,272,姜维,9
110,刘禅,293,贾充,2
110,刘禅,321,诸葛亮,2
256,荀顗,272,姜维,6
256,荀顗,293,贾充,3
256,荀顗,321,诸葛亮,3
272,姜维,293,贾充,5
272,姜维,321,诸葛亮,5
293,贾充,321,诸葛亮,2
65,司马昭,220,邵悌,5
