label1,node1,label2,node2,link_num
65,司马昭,220,邵悌,3
9,卫瓘,123,许褚,2
9,卫瓘,260,胡烈,2
123,许褚,260,胡烈,2
29,王颀,30,王祥,4
29,王颀,44,邓艾,9
29,王颀,68,司马望,3
29,王颀,192,张津,3
29,王颀,272,姜维,9
30,王祥,44,邓艾,4
30,王祥,68,司马望,3
30,王祥,192,张津,3
30,王祥,272,姜维,4
44,邓艾,68,司马望,3
44,邓艾,192,张津,3
44,邓艾,272,姜维,22
68,司马望,192,张津,2
68,司马望,272,姜维,3
192,张津,272,姜维,3
44,邓艾,202,张翼,9
44,邓艾,391,廖化,9
202,张翼,272,姜维,15
202,张翼,391,廖化,6
272,姜维,391,廖化,15
123,许褚,295,贾逵,2
29,王颀,202,张翼,3
29,王颀,358,董厥,3
29,王颀,391,廖化,3
44,邓艾,358,董厥,4
202,张翼,358,董厥,2
272,姜维,358,董厥,4
358,董厥,391,廖化,2
