label1,node1,label2,node2,link_num
202,张翼,272,姜维,2
202,张翼,358,董厥,3
202,张翼,391,廖化,2
272,姜维,358,董厥,3
272,姜维,391,廖化,2
358,董厥,391,廖化,3
9,卫瓘,44,邓艾,2
9,卫瓘,81,吕蒙,2
9,卫瓘,133,孙亮,2
9,卫瓘,272,姜维,2
44,邓艾,81,吕蒙,2
44,邓艾,133,孙亮,2
44,邓艾,272,姜维,16
81,吕蒙,133,孙亮,2
81,吕蒙,272,姜维,2
133,孙亮,272,姜维,2
44,邓艾,65,司马昭,7
44,邓艾,270,郤正,7
65,司马昭,270,郤正,2
44,邓艾,110,刘禅,5
110,刘禅,272,姜维,3
44,邓艾,327,诸葛瞻,18
270,郤正,327,诸葛瞻,4
44,邓艾,321,诸葛亮,6
321,诸葛亮,327,诸葛瞻,6
2,丁奉,29,王颀,3
2,丁奉,44,邓艾,7
2,丁奉,128,孙休,3
2,丁奉,327,诸葛瞻,7
29,王颀,44,邓艾,6
29,王颀,128,孙休,2
29,王颀,327,诸葛瞻,6
44,邓艾,128,孙休,6
128,孙休,327,诸葛瞻,6
44,邓艾,113,刘璋,3
44,邓艾,268,皇甫嵩,3
65,司马昭,113,刘璋,2
65,司马昭,268,皇甫嵩,2
65,司马昭,327,诸葛瞻,2
113,刘璋,268,皇甫嵩,2
113,刘璋,327,诸葛瞻,2
268,皇甫嵩,327,诸葛瞻,2
