label1,node1,label2,node2,link_num
44,邓艾,272,姜维,28
44,邓艾,327,诸葛瞻,6
44,邓艾,393,谯周,12
272,姜维,327,诸葛瞻,4
272,姜维,393,谯周,10
327,诸葛瞻,393,谯周,8
118,关羽,272,姜维,2
202,张翼,272,姜维,5
202,张翼,358,董厥,2
202,张翼,391,廖化,2
272,姜维,358,董厥,5
272,姜维,391,廖化,5
358,董厥,391,廖化,2
9,卫瓘,29,王颀,3
9,卫瓘,44,邓艾,18
9,卫瓘,65,司马昭,9
9,卫瓘,110,刘禅,3
9,卫瓘,128,孙休,3
9,卫瓘,272,姜维,7
29,王颀,44,邓艾,8
29,王颀,65,司马昭,5
29,王颀,110,刘禅,2
29,王颀,128,孙休,2
29,王颀,272,姜维,2
44,邓艾,65,司马昭,22
44,邓艾,110,刘禅,8
44,邓艾,128,孙休,8
65,司马昭,110,刘禅,5
65,司马昭,128,孙休,5
65,司马昭,272,姜维,12
110,刘禅,128,孙休,2
110,刘禅,272,姜维,2
128,孙休,272,姜维,2
9,卫瓘,293,贾充,4
44,邓艾,293,贾充,12
65,司马昭,293,贾充,7
272,姜维,293,贾充,8
44,邓艾,220,邵悌,2
44,邓艾,337,曹奂,2
65,司马昭,220,邵悌,3
65,司马昭,337,曹奂,3
220,邵悌,272,姜维,3
220,邵悌,293,贾充,3
220,邵悌,337,曹奂,2
272,姜维,337,曹奂,3
293,贾充,337,曹奂,3
