label1,node1,label2,node2,link_num
9,卫瓘,44,邓艾,19
9,卫瓘,272,姜维,17
44,邓艾,272,姜维,28
44,邓艾,65,司马昭,4
44,邓艾,101,刘备,2
65,司马昭,101,刘备,4
65,司马昭,272,姜维,9
101,刘备,272,姜维,4
9,卫瓘,260,胡烈,6
9,卫瓘,261,胡渊,4
260,胡烈,261,胡渊,8
9,卫瓘,202,张翼,2
9,卫瓘,270,郤正,2
9,卫瓘,293,贾充,2
9,卫瓘,358,董厥,2
9,卫瓘,391,廖化,2
9,卫瓘,393,谯周,2
9,卫瓘,394,樊建,2
44,邓艾,202,张翼,2
44,邓艾,270,郤正,2
44,邓艾,293,贾充,2
44,邓艾,358,董厥,2
44,邓艾,391,廖化,2
44,邓艾,393,谯周,2
44,邓艾,394,樊建,2
202,张翼,270,郤正,2
202,张翼,272,姜维,2
202,张翼,293,贾充,2
202,张翼,358,董厥,2
202,张翼,391,廖化,2
202,张翼,393,谯周,2
202,张翼,394,樊建,2
270,郤正,272,姜维,7
270,郤正,293,贾充,7
270,郤正,358,董厥,2
270,郤正,391,廖化,2
270,郤正,393,谯周,7
270,郤正,394,樊建,7
272,姜维,293,贾充,4
272,姜维,358,董厥,2
272,姜维,391,廖化,2
272,姜维,393,谯周,4
272,姜维,394,樊建,4
293,贾充,358,董厥,2
293,贾充,391,廖化,2
293,贾充,393,谯周,4
293,贾充,394,樊建,4
358,董厥,391,廖化,2
358,董厥,393,谯周,2
358,董厥,394,樊建,2
391,廖化,393,谯周,2
391,廖化,394,樊建,2
393,谯周,394,樊建,4
2,丁奉,65,司马昭,3
2,丁奉,128,孙休,3
2,丁奉,204,陆抗,3
2,丁奉,206,陆逊,3
65,司马昭,128,孙休,2
65,司马昭,204,陆抗,2
65,司马昭,206,陆逊,2
128,孙休,204,陆抗,2
128,孙休,206,陆逊,2
204,陆抗,206,陆逊,2
65,司马昭,270,郤正,6
65,司马昭,293,贾充,9
65,司马昭,321,诸葛亮,3
65,司马昭,393,谯周,3
65,司马昭,394,樊建,3
270,郤正,321,诸葛亮,5
272,姜维,321,诸葛亮,2
293,贾充,321,诸葛亮,2
321,诸葛亮,393,谯周,2
321,诸葛亮,394,樊建,2
8,山涛,25,王肃,2
8,山涛,30,王祥,3
8,山涛,62,司马师,3
8,山涛,64,司马炎,5
8,山涛,65,司马昭,3
8,山涛,68,司马望,2
8,山涛,70,司马懿,2
8,山涛,175,何曾,5
8,山涛,217,陈骞,2
8,山涛,256,荀顗,3
8,山涛,293,贾充,5
8,山涛,333,曹丕,4
8,山涛,337,曹奂,3
8,山涛,348,曹操,4
