label1,node1,label2,node2,link_num
75,吕布,328,陶谦,10
75,吕布,241,审配,2
75,吕布,348,曹操,39
241,审配,348,曹操,2
75,吕布,105,刘晔,19
75,吕布,211,陈宫,26
105,刘晔,211,陈宫,10
105,刘晔,348,曹操,8
211,陈宫,348,曹操,12
60,乐进,160,李典,15
60,乐进,301,夏侯渊,9
60,乐进,340,曹洪,2
160,李典,301,夏侯渊,10
160,李典,340,曹洪,7
301,夏侯渊,340,曹洪,2
60,乐进,182,张辽,8
60,乐进,348,曹操,12
60,乐进,387,臧霸,8
160,李典,182,张辽,8
160,李典,348,曹操,16
160,李典,387,臧霸,8
182,张辽,348,曹操,8
182,张辽,387,臧霸,4
348,曹操,387,臧霸,8
75,吕布,301,夏侯渊,20
301,夏侯渊,348,曹操,16
75,吕布,319,郭嘉,3
319,郭嘉,348,曹操,2
75,吕布,101,刘备,19
75,吕布,137,孙乾,3
75,吕布,216,陈登,4
75,吕布,252,荀彧,3
101,刘备,137,孙乾,18
101,刘备,216,陈登,19
101,刘备,252,荀彧,18
101,刘备,328,陶谦,23
137,孙乾,216,陈登,3
137,孙乾,252,荀彧,2
137,孙乾,328,陶谦,7
216,陈登,252,荀彧,3
216,陈登,328,陶谦,8
252,荀彧,328,陶谦,7
123,许褚,160,李典,13
123,许褚,332,曹仁,9
123,许褚,340,曹洪,4
123,许褚,348,曹操,13
160,李典,332,曹仁,8
332,曹仁,340,曹洪,3
332,曹仁,348,曹操,8
340,曹洪,348,曹操,4
6,于禁,60,乐进,5
6,于禁,75,吕布,14
6,于禁,79,吕虔,3
6,于禁,105,刘晔,3
6,于禁,123,许褚,6
6,于禁,160,李典,5
6,于禁,182,张辽,2
6,于禁,201,张邈,3
6,于禁,211,陈宫,6
6,于禁,281,袁术,2
6,于禁,301,夏侯渊,4
6,于禁,332,曹仁,2
6,于禁,348,曹操,5
6,于禁,371,程昱,2
6,于禁,387,臧霸,2
60,乐进,75,吕布,17
60,乐进,79,吕虔,6
60,乐进,105,刘晔,6
60,乐进,123,许褚,9
60,乐进,201,张邈,6
60,乐进,211,陈宫,9
60,乐进,281,袁术,5
60,乐进,332,曹仁,5
60,乐进,371,程昱,5
75,吕布,79,吕虔,15
75,吕布,123,许褚,18
75,吕布,160,李典,17
75,吕布,182,张辽,14
75,吕布,201,张邈,15
75,吕布,281,袁术,14
75,吕布,332,曹仁,14
75,吕布,371,程昱,14
75,吕布,387,臧霸,14
79,吕虔,105,刘晔,4
79,吕虔,123,许褚,7
79,吕虔,160,李典,6
79,吕虔,182,张辽,3
79,吕虔,201,张邈,4
79,吕虔,211,陈宫,7
79,吕虔,281,袁术,3
79,吕虔,301,夏侯渊,5
79,吕虔,332,曹仁,3
79,吕虔,348,曹操,6
79,吕虔,371,程昱,3
79,吕虔,387,臧霸,3
105,刘晔,123,许褚,7
105,刘晔,160,李典,6
105,刘晔,182,张辽,3
105,刘晔,201,张邈,4
105,刘晔,281,袁术,3
105,刘晔,301,夏侯渊,5
105,刘晔,332,曹仁,3
105,刘晔,371,程昱,3
105,刘晔,387,臧霸,3
123,许褚,182,张辽,6
123,许褚,201,张邈,7
123,许褚,211,陈宫,10
123,许褚,281,袁术,6
123,许褚,301,夏侯渊,8
123,许褚,371,程昱,6
123,许褚,387,臧霸,6
160,李典,201,张邈,6
160,李典,211,陈宫,9
160,李典,281,袁术,5
160,李典,371,程昱,5
182,张辽,201,张邈,3
182,张辽,211,陈宫,6
182,张辽,281,袁术,2
182,张辽,301,夏侯渊,4
182,张辽,332,曹仁,2
182,张辽,371,程昱,2
201,张邈,211,陈宫,7
201,张邈,281,袁术,3
201,张邈,301,夏侯渊,5
201,张邈,332,曹仁,3
201,张邈,348,曹操,6
201,张邈,371,程昱,3
201,张邈,387,臧霸,3
211,陈宫,281,袁术,6
211,陈宫,301,夏侯渊,8
211,陈宫,332,曹仁,6
211,陈宫,371,程昱,6
211,陈宫,387,臧霸,6
281,袁术,301,夏侯渊,4
281,袁术,332,曹仁,2
281,袁术,348,曹操,5
281,袁术,371,程昱,2
281,袁术,387,臧霸,2
301,夏侯渊,332,曹仁,4
301,夏侯渊,371,程昱,4
301,夏侯渊,387,臧霸,4
332,曹仁,371,程昱,2
332,曹仁,387,臧霸,2
348,曹操,371,程昱,5
371,程昱,387,臧霸,2
