label1,node1,label2,node2,link_num
64,司马炎,128,孙休,2
64,司马炎,138,孙皓,11
128,孙休,138,孙皓,2
2,丁奉,127,孙权,2
2,丁奉,131,孙和,2
2,丁奉,205,陆凯,3
127,孙权,131,孙和,2
127,孙权,205,陆凯,3
131,孙和,205,陆凯,3
2,丁奉,64,司马炎,3
2,丁奉,117,羊祜,6
2,丁奉,138,孙皓,6
2,丁奉,204,陆抗,6
2,丁奉,293,贾充,2
64,司马炎,117,羊祜,15
64,司马炎,204,陆抗,7
64,司马炎,293,贾充,5
117,羊祜,138,孙皓,16
117,羊祜,204,陆抗,19
117,羊祜,293,贾充,10
138,孙皓,204,陆抗,12
138,孙皓,293,贾充,9
204,陆抗,293,贾充,6
64,司马炎,110,刘禅,4
64,司马炎,256,荀顗,2
64,司马炎,380,楼玄,2
110,刘禅,117,羊祜,6
110,刘禅,138,孙皓,8
110,刘禅,204,陆抗,2
110,刘禅,256,荀顗,2
110,刘禅,293,贾充,2
110,刘禅,380,楼玄,2
117,羊祜,256,荀顗,6
117,羊祜,380,楼玄,6
138,孙皓,256,荀顗,4
138,孙皓,380,楼玄,4
204,陆抗,256,荀顗,2
204,陆抗,380,楼玄,2
256,荀顗,293,贾充,2
256,荀顗,380,楼玄,2
293,贾充,380,楼玄,2
2,丁奉,20,王戎,2
2,丁奉,27,王浑,3
2,丁奉,184,张华,3
2,丁奉,257,胡奋,2
20,王戎,27,王浑,3
20,王戎,117,羊祜,2
20,王戎,138,孙皓,6
20,王戎,184,张华,3
20,王戎,204,陆抗,2
20,王戎,257,胡奋,2
27,王浑,117,羊祜,3
27,王浑,138,孙皓,5
27,王浑,184,张华,4
27,王浑,204,陆抗,3
27,王浑,257,胡奋,3
117,羊祜,184,张华,3
117,羊祜,257,胡奋,2
138,孙皓,184,张华,7
138,孙皓,257,胡奋,4
184,张华,204,陆抗,3
184,张华,257,胡奋,3
204,陆抗,257,胡奋,2
194,张悌,325,诸葛靓,11
184,张华,293,贾充,3
59,史涣,110,刘禅,2
59,史涣,138,孙皓,2
194,张悌,293,贾充,2
64,司马炎,337,曹奂,2
110,刘禅,337,曹奂,2
138,孙皓,337,曹奂,2
15,马腾,16,王允,2
15,马腾,40,公孙瓒,2
15,马腾,44,邓艾,2
15,马腾,99,刘表,2
15,马腾,101,刘备,2
15,马腾,108,刘焉,2
15,马腾,130,孙坚,2
15,马腾,142,孙策,2
15,马腾,172,何进,2
15,马腾,196,张鲁,2
15,马腾,272,姜维,2
15,马腾,281,袁术,2
15,马腾,283,袁绍,2
15,马腾,321,诸葛亮,2
15,马腾,328,陶谦,2
15,马腾,348,曹操,2
15,马腾,354,董卓,2
15,马腾,366,韩遂,2
16,王允,40,公孙瓒,2
16,王允,44,邓艾,2
16,王允,99,刘表,2
16,王允,101,刘备,2
16,王允,108,刘焉,2
16,王允,130,孙坚,2
16,王允,142,孙策,2
16,王允,172,何进,2
16,王允,196,张鲁,2
16,王允,272,姜维,2
16,王允,281,袁术,2
16,王允,283,袁绍,2
16,王允,321,诸葛亮,2
16,王允,328,陶谦,2
16,王允,348,曹操,2
16,王允,354,董卓,2
16,王允,366,韩遂,2
40,公孙瓒,44,邓艾,2
40,公孙瓒,99,刘表,2
40,公孙瓒,101,刘备,2
40,公孙瓒,108,刘焉,2
40,公孙瓒,130,孙坚,2
40,公孙瓒,142,孙策,2
40,公孙瓒,172,何进,2
40,公孙瓒,196,张鲁,2
40,公孙瓒,272,姜维,2
40,公孙瓒,281,袁术,2
40,公孙瓒,283,袁绍,2
40,公孙瓒,321,诸葛亮,2
40,公孙瓒,328,陶谦,2
40,公孙瓒,348,曹操,2
40,公孙瓒,354,董卓,2
40,公孙瓒,366,韩遂,2
44,邓艾,99,刘表,2
44,邓艾,101,刘备,2
44,邓艾,108,刘焉,2
44,邓艾,130,孙坚,2
44,邓艾,142,孙策,2
44,邓艾,172,何进,2
44,邓艾,196,张鲁,2
44,邓艾,272,姜维,2
44,邓艾,281,袁术,2
44,邓艾,283,袁绍,2
44,邓艾,321,诸葛亮,2
44,邓艾,328,陶谦,2
44,邓艾,348,曹操,2
44,邓艾,354,董卓,2
44,邓艾,366,韩遂,2
99,刘表,101,刘备,2
99,刘表,108,刘焉,2
99,刘表,130,孙坚,2
99,刘表,142,孙策,2
99,刘表,172,何进,2
99,刘表,196,张鲁,2
99,刘表,272,姜维,2
99,刘表,281,袁术,2
99,刘表,283,袁绍,2
99,刘表,321,诸葛亮,2
99,刘表,328,陶谦,2
99,刘表,348,曹操,2
99,刘表,354,董卓,2
99,刘表,366,韩遂,2
101,刘备,108,刘焉,2
101,刘备,130,孙坚,2
101,刘备,142,孙策,2
101,刘备,172,何进,2
101,刘备,196,张鲁,2
101,刘备,272,姜维,2
101,刘备,281,袁术,2
101,刘备,283,袁绍,2
101,刘备,321,诸葛亮,2
101,刘备,328,陶谦,2
101,刘备,348,曹操,2
101,刘备,354,董卓,2
101,刘备,366,韩遂,2
108,刘焉,130,孙坚,2
108,刘焉,142,孙策,2
108,刘焉,172,何进,2
108,刘焉,196,张鲁,2
108,刘焉,272,姜维,2
108,刘焉,281,袁术,2
108,刘焉,283,袁绍,2
108,刘焉,321,诸葛亮,2
108,刘焉,328,陶谦,2
108,刘焉,348,曹操,2
108,刘焉,354,董卓,2
108,刘焉,366,韩遂,2
130,孙坚,142,孙策,2
130,孙坚,172,何进,2
130,孙坚,196,张鲁,2
130,孙坚,272,姜维,2
130,孙坚,281,袁术,2
130,孙坚,283,袁绍,2
130,孙坚,321,诸葛亮,2
130,孙坚,328,陶谦,2
130,孙坚,348,曹操,2
130,孙坚,354,董卓,2
130,孙坚,366,韩遂,2
142,孙策,172,何进,2
142,孙策,196,张鲁,2
142,孙策,272,姜维,2
142,孙策,281,袁术,2
142,孙策,283,袁绍,2
142,孙策,321,诸葛亮,2
142,孙策,328,陶谦,2
142,孙策,348,曹操,2
142,孙策,354,董卓,2
142,孙策,366,韩遂,2
172,何进,196,张鲁,2
172,何进,272,姜维,2
172,何进,281,袁术,2
172,何进,283,袁绍,2
172,何进,321,诸葛亮,2
172,何进,328,陶谦,2
172,何进,348,曹操,2
172,何进,354,董卓,2
172,何进,366,韩遂,2
196,张鲁,272,姜维,2
196,张鲁,281,袁术,2
196,张鲁,283,袁绍,2
196,张鲁,321,诸葛亮,2
196,张鲁,328,陶谦,2
196,张鲁,348,曹操,2
196,张鲁,354,董卓,2
196,张鲁,366,韩遂,2
272,姜维,281,袁术,2
272,姜维,283,袁绍,2
272,姜维,321,诸葛亮,2
272,姜维,328,陶谦,2
272,姜维,348,曹操,2
272,姜维,354,董卓,2
272,姜维,366,韩遂,2
281,袁术,283,袁绍,2
281,袁术,321,诸葛亮,2
281,袁术,328,陶谦,2
281,袁术,348,曹操,2
281,袁术,354,董卓,2
281,袁术,366,韩遂,2
283,袁绍,321,诸葛亮,2
283,袁绍,328,陶谦,2
283,袁绍,348,曹操,2
283,袁绍,354,董卓,2
283,袁绍,366,韩遂,2
321,诸葛亮,328,陶谦,2
321,诸葛亮,348,曹操,2
321,诸葛亮,354,董卓,2
321,诸葛亮,366,韩遂,2
328,陶谦,348,曹操,2
328,陶谦,354,董卓,2
328,陶谦,366,韩遂,2
348,曹操,354,董卓,2
348,曹操,366,韩遂,2
354,董卓,366,韩遂,2
