label1,node1,label2,node2,link_num
75,吕布,101,刘备,36
75,吕布,181,张飞,18
75,吕布,211,陈宫,15
75,吕布,241,审配,6
75,吕布,283,袁绍,7
75,吕布,348,曹操,9
101,刘备,181,张飞,26
101,刘备,211,陈宫,21
101,刘备,241,审配,5
101,刘备,283,袁绍,6
101,刘备,348,曹操,8
181,张飞,211,陈宫,6
181,张飞,241,审配,2
181,张飞,283,袁绍,3
181,张飞,348,曹操,5
211,陈宫,241,审配,3
211,陈宫,283,袁绍,4
211,陈宫,348,曹操,6
241,审配,283,袁绍,3
241,审配,348,曹操,5
283,袁绍,348,曹操,6
75,吕布,328,陶谦,8
75,吕布,354,董卓,8
101,刘备,328,陶谦,15
101,刘备,354,董卓,15
181,张飞,328,陶谦,3
181,张飞,354,董卓,3
211,陈宫,328,陶谦,2
211,陈宫,354,董卓,2
328,陶谦,354,董卓,2
16,王允,157,杨彪,3
16,王允,172,何进,2
16,王允,294,贾诩,2
16,王允,348,曹操,4
157,杨彪,172,何进,3
157,杨彪,294,贾诩,3
157,杨彪,348,曹操,5
172,何进,294,贾诩,2
172,何进,348,曹操,4
294,贾诩,348,曹操,4
75,吕布,262,胡邈,4
75,吕布,294,贾诩,6
262,胡邈,294,贾诩,6
306,徐晃,390,管恪,4
102,刘放,157,杨彪,3
102,刘放,343,曹植,2
157,杨彪,343,曹植,3
