label1,node1,label2,node2,link_num
75,吕布,348,曹操,21
157,杨彪,252,荀彧,2
157,杨彪,306,徐晃,3
157,杨彪,348,曹操,5
252,荀彧,306,徐晃,6
252,荀彧,348,曹操,19
306,徐晃,348,曹操,24
60,乐进,123,许褚,4
60,乐进,160,李典,4
60,乐进,340,曹洪,5
60,乐进,348,曹操,7
123,许褚,160,李典,4
123,许褚,340,曹洪,5
123,许褚,348,曹操,19
160,李典,340,曹洪,5
160,李典,348,曹操,7
340,曹洪,348,曹操,8
123,许褚,294,贾诩,5
123,许褚,332,曹仁,7
294,贾诩,332,曹仁,4
294,贾诩,348,曹操,5
332,曹仁,348,曹操,10
252,荀彧,283,袁绍,2
252,荀彧,356,董昭,5
283,袁绍,348,曹操,2
283,袁绍,356,董昭,3
348,曹操,356,董昭,8
123,许褚,306,徐晃,9
123,许褚,384,满宠,5
306,徐晃,384,满宠,16
348,曹操,384,满宠,14
281,袁术,306,徐晃,4
281,袁术,348,曹操,12
281,袁术,384,满宠,4
6,于禁,38,毛玠,2
6,于禁,60,乐进,2
6,于禁,79,吕虔,2
6,于禁,86,任峻,2
6,于禁,105,刘晔,2
6,于禁,123,许褚,2
6,于禁,160,李典,2
6,于禁,250,荀攸,2
6,于禁,252,荀彧,2
6,于禁,301,夏侯渊,2
6,于禁,306,徐晃,3
6,于禁,319,郭嘉,2
6,于禁,332,曹仁,2
6,于禁,340,曹洪,2
6,于禁,348,曹操,5
6,于禁,356,董昭,2
6,于禁,371,程昱,2
6,于禁,384,满宠,3
38,毛玠,60,乐进,2
38,毛玠,79,吕虔,2
38,毛玠,86,任峻,2
38,毛玠,105,刘晔,2
38,毛玠,123,许褚,2
38,毛玠,160,李典,2
38,毛玠,250,荀攸,2
38,毛玠,252,荀彧,2
38,毛玠,301,夏侯渊,2
38,毛玠,306,徐晃,3
38,毛玠,319,郭嘉,2
38,毛玠,332,曹仁,2
38,毛玠,340,曹洪,2
38,毛玠,348,曹操,5
38,毛玠,356,董昭,2
38,毛玠,371,程昱,2
38,毛玠,384,满宠,3
60,乐进,79,吕虔,2
60,乐进,86,任峻,2
60,乐进,105,刘晔,2
60,乐进,250,荀攸,2
60,乐进,252,荀彧,2
60,乐进,301,夏侯渊,2
60,乐进,306,徐晃,3
60,乐进,319,郭嘉,2
60,乐进,332,曹仁,2
60,乐进,356,董昭,2
60,乐进,371,程昱,2
60,乐进,384,满宠,3
79,吕虔,86,任峻,2
79,吕虔,105,刘晔,2
79,吕虔,123,许褚,2
79,吕虔,160,李典,2
79,吕虔,250,荀攸,2
79,吕虔,252,荀彧,2
79,吕虔,301,夏侯渊,2
79,吕虔,306,徐晃,3
79,吕虔,319,郭嘉,2
79,吕虔,332,曹仁,2
79,吕虔,340,曹洪,2
79,吕虔,348,曹操,5
79,吕虔,356,董昭,2
