label1,node1,label2,node2,link_num
37,太史慈,142,孙策,82
75,吕布,101,刘备,34
75,吕布,181,张飞,16
101,刘备,181,张飞,24
75,吕布,211,陈宫,13
75,吕布,281,袁术,17
75,吕布,283,袁绍,13
101,刘备,211,陈宫,21
101,刘备,281,袁术,28
101,刘备,283,袁绍,21
181,张飞,211,陈宫,3
181,张飞,281,袁术,7
181,张飞,283,袁绍,3
211,陈宫,281,袁术,6
211,陈宫,283,袁绍,2
281,袁术,283,袁绍,6
142,孙策,208,陆康,4
142,孙策,281,袁术,37
142,孙策,328,陶谦,3
208,陆康,281,袁术,4
208,陆康,328,陶谦,3
281,袁术,328,陶谦,3
76,吕范,114,刘繇,6
76,吕范,130,孙坚,7
76,吕范,142,孙策,8
76,吕范,281,袁术,8
76,吕范,331,黄盖,4
76,吕范,363,韩当,4
76,吕范,372,程普,4
114,刘繇,130,孙坚,5
114,刘繇,142,孙策,70
114,刘繇,281,袁术,15
114,刘繇,331,黄盖,12
114,刘繇,363,韩当,11
114,刘繇,372,程普,27
130,孙坚,142,孙策,7
130,孙坚,281,袁术,7
130,孙坚,331,黄盖,3
130,孙坚,363,韩当,3
130,孙坚,372,程普,3
142,孙策,331,黄盖,25
142,孙策,363,韩当,14
142,孙策,372,程普,47
281,袁术,331,黄盖,9
281,袁术,363,韩当,8
281,袁术,372,程普,8
331,黄盖,363,韩当,5
331,黄盖,372,程普,9
363,韩当,372,程普,4
76,吕范,119,许允,2
76,吕范,185,张纮,4
76,吕范,191,张昭,4
76,吕范,232,周瑜,3
76,吕范,354,董卓,2
114,刘繇,119,许允,2
114,刘繇,185,张纮,4
114,刘繇,191,张昭,23
114,刘繇,232,周瑜,19
114,刘繇,354,董卓,2
119,许允,130,孙坚,2
119,许允,142,孙策,3
119,许允,185,张纮,4
119,许允,191,张昭,4
119,许允,232,周瑜,3
119,许允,354,董卓,2
130,孙坚,185,张纮,4
130,孙坚,191,张昭,4
130,孙坚,232,周瑜,3
130,孙坚,354,董卓,2
142,孙策,185,张纮,5
142,孙策,191,张昭,47
142,孙策,232,周瑜,51
142,孙策,354,董卓,3
185,张纮,191,张昭,6
185,张纮,232,周瑜,5
185,张纮,354,董卓,4
191,张昭,232,周瑜,12
191,张昭,354,董卓,4
232,周瑜,354,董卓,3
1,丁仪,37,太史慈,5
1,丁仪,100,刘岱,2
1,丁仪,103,刘宠,2
1,丁仪,114,刘繇,9
1,丁仪,142,孙策,11
1,丁仪,191,张昭,2
1,丁仪,230,周泰,3
1,丁仪,281,袁术,2
1,丁仪,331,黄盖,3
1,丁仪,360,蒋钦,3
1,丁仪,363,韩当,2
1,丁仪,372,程普,2
37,太史慈,100,刘岱,5
37,太史慈,103,刘宠,5
37,太史慈,114,刘繇,55
37,太史慈,191,张昭,18
37,太史慈,230,周泰,10
37,太史慈,281,袁术,5
37,太史慈,331,黄盖,11
37,太史慈,360,蒋钦,8
37,太史慈,363,韩当,5
37,太史慈,372,程普,29
100,刘岱,103,刘宠,2
100,刘岱,114,刘繇,9
100,刘岱,142,孙策,11
100,刘岱,191,张昭,2
100,刘岱,230,周泰,3
100,刘岱,281,袁术,2
100,刘岱,331,黄盖,3
100,刘岱,360,蒋钦,3
100,刘岱,363,韩当,2
100,刘岱,372,程普,2
103,刘宠,114,刘繇,9
103,刘宠,142,孙策,11
103,刘宠,191,张昭,2
103,刘宠,230,周泰,3
103,刘宠,281,袁术,2
103,刘宠,331,黄盖,3
103,刘宠,360,蒋钦,3
103,刘宠,363,韩当,2
103,刘宠,372,程普,2
114,刘繇,230,周泰,12
114,刘繇,360,蒋钦,16
142,孙策,230,周泰,32
142,孙策,360,蒋钦,21
191,张昭,230,周泰,8
191,张昭,281,袁术,5
191,张昭,331,黄盖,3
191,张昭,360,蒋钦,3
191,张昭,363,韩当,2
191,张昭,372,程普,10
230,周泰,281,袁术,9
230,周泰,331,黄盖,4
230,周泰,360,蒋钦,4
230,周泰,363,韩当,3
230,周泰,372,程普,3
281,袁术,360,蒋钦,3
331,黄盖,360,蒋钦,4
360,蒋钦,363,韩当,7
360,蒋钦,372,程普,3
37,太史慈,128,孙休,13
37,太史慈,210,陈武,28
37,太史慈,232,周瑜,31
114,刘繇,128,孙休,10
114,刘繇,210,陈武,21
128,孙休,142,孙策,17
128,孙休,191,张昭,2
128,孙休,210,陈武,3
128,孙休,232,周瑜,5
128,孙休,372,程普,8
142,孙策,210,陈武,32
191,张昭,210,陈武,3
210,陈武,232,周瑜,8
210,陈武,372,程普,9
232,周瑜,372,程普,14
37,太史慈,99,刘表,2
99,刘表,114,刘繇,6
99,刘表,142,孙策,9
99,刘表,210,陈武,3
99,刘表,360,蒋钦,2
210,陈武,360,蒋钦,5
37,太史慈,268,皇甫嵩,11
114,刘繇,268,皇甫嵩,3
142,孙策,268,皇甫嵩,4
210,陈武,268,皇甫嵩,2
232,周瑜,268,皇甫嵩,2
37,太史慈,127,孙权,4
114,刘繇,127,孙权,2
127,孙权,142,孙策,18
127,孙权,230,周泰,8
185,张纮,210,陈武,2
185,张纮,360,蒋钦,2
185,张纮,363,韩当,4
210,陈武,363,韩当,4
31,王朗,37,太史慈,8
31,王朗,142,孙策,31
31,王朗,232,周瑜,12
31,王朗,331,黄盖,7
31,王朗,372,程普,7
31,王朗,381,虞翻,15
37,太史慈,381,虞翻,4
142,孙策,381,虞翻,26
232,周瑜,331,黄盖,3
232,周瑜,381,虞翻,7
331,黄盖,381,虞翻,3
372,程普,381,虞翻,3
31,王朗,87,华陀,6
31,王朗,101,刘备,6
31,王朗,127,孙权,7
31,王朗,191,张昭,6
31,王朗,230,周泰,9
31,王朗,281,袁术,7
31,王朗,348,曹操,6
31,王朗,357,董袭,8
87,华陀,101,刘备,2
87,华陀,127,孙权,3
87,华陀,142,孙策,14
87,华陀,191,张昭,2
87,华陀,230,周泰,5
87,华陀,232,周瑜,2
87,华陀,281,袁术,3
87,华陀,348,曹操,2
87,华陀,357,董袭,4
87,华陀,381,虞翻,5
101,刘备,127,孙权,3
101,刘备,142,孙策,14
101,刘备,191,张昭,2
101,刘备,230,周泰,5
101,刘备,232,周瑜,2
101,刘备,348,曹操,2
101,刘备,357,董袭,4
101,刘备,381,虞翻,5
127,孙权,191,张昭,3
127,孙权,232,周瑜,3
127,孙权,281,袁术,4
127,孙权,348,曹操,3
127,孙权,357,董袭,5
127,孙权,381,虞翻,6
142,孙策,348,曹操,14
142,孙策,357,董袭,16
191,张昭,348,曹操,2
191,张昭,357,董袭,4
191,张昭,381,虞翻,5
230,周泰,232,周瑜,5
230,周泰,348,曹操,5
230,周泰,357,董袭,7
230,周泰,381,虞翻,8
232,周瑜,281,袁术,3
232,周瑜,348,曹操,2
232,周瑜,357,董袭,4
281,袁术,348,曹操,3
281,袁术,357,董袭,5
281,袁术,381,虞翻,6
348,曹操,357,董袭,4
348,曹操,381,虞翻,5
357,董袭,381,虞翻,7
