label1,node1,label2,node2,link_num
75,吕布,348,曹操,24
75,吕布,101,刘备,104
75,吕布,181,张飞,26
75,吕布,211,陈宫,23
75,吕布,281,袁术,46
101,刘备,181,张飞,44
101,刘备,211,陈宫,34
101,刘备,281,袁术,37
181,张飞,211,陈宫,11
181,张飞,281,袁术,7
211,陈宫,281,袁术,16
75,吕布,182,张辽,9
75,吕布,216,陈登,10
101,刘备,182,张辽,18
101,刘备,216,陈登,4
182,张辽,211,陈宫,4
182,张辽,216,陈登,2
182,张辽,281,袁术,4
211,陈宫,216,陈登,2
216,陈登,281,袁术,11
75,吕布,118,关羽,6
75,吕布,137,孙乾,15
101,刘备,118,关羽,14
101,刘备,137,孙乾,30
101,刘备,348,曹操,30
118,关羽,137,孙乾,3
118,关羽,181,张飞,8
118,关羽,182,张辽,2
118,关羽,211,陈宫,2
118,关羽,348,曹操,3
137,孙乾,181,张飞,9
137,孙乾,182,张辽,3
137,孙乾,211,陈宫,3
137,孙乾,348,曹操,8
181,张飞,182,张辽,8
181,张飞,348,曹操,9
182,张辽,348,曹操,3
211,陈宫,348,曹操,3
75,吕布,99,刘表,14
75,吕布,107,刘理,7
75,吕布,252,荀彧,9
75,吕布,294,贾诩,9
75,吕布,319,郭嘉,8
75,吕布,327,诸葛瞻,7
75,吕布,371,程昱,7
99,刘表,101,刘备,14
99,刘表,107,刘理,2
99,刘表,137,孙乾,3
99,刘表,252,荀彧,4
99,刘表,294,贾诩,4
99,刘表,319,郭嘉,3
99,刘表,327,诸葛瞻,2
99,刘表,348,曹操,7
99,刘表,371,程昱,2
101,刘备,107,刘理,14
101,刘备,252,荀彧,16
101,刘备,294,贾诩,16
101,刘备,319,郭嘉,15
101,刘备,327,诸葛瞻,14
101,刘备,371,程昱,14
107,刘理,137,孙乾,3
107,刘理,252,荀彧,4
107,刘理,294,贾诩,4
107,刘理,319,郭嘉,3
107,刘理,327,诸葛瞻,2
107,刘理,348,曹操,3
107,刘理,371,程昱,2
137,孙乾,252,荀彧,5
137,孙乾,294,贾诩,5
137,孙乾,319,郭嘉,4
137,孙乾,327,诸葛瞻,3
137,孙乾,371,程昱,3
252,荀彧,294,贾诩,6
252,荀彧,319,郭嘉,5
252,荀彧,327,诸葛瞻,4
252,荀彧,348,曹操,5
252,荀彧,371,程昱,4
294,贾诩,319,郭嘉,5
294,贾诩,327,诸葛瞻,4
294,贾诩,348,曹操,8
294,贾诩,371,程昱,4
319,郭嘉,327,诸葛瞻,3
319,郭嘉,348,曹操,4
319,郭嘉,371,程昱,3
327,诸葛瞻,348,曹操,3
327,诸葛瞻,371,程昱,2
348,曹操,371,程昱,3
294,贾诩,306,徐晃,3
294,贾诩,390,管恪,3
306,徐晃,348,曹操,2
306,徐晃,390,管恪,2
348,曹操,390,管恪,2
6,于禁,60,乐进,6
6,于禁,123,许褚,6
6,于禁,160,李典,6
6,于禁,339,曹昂,7
6,于禁,348,曹操,11
60,乐进,123,许褚,2
60,乐进,160,李典,2
60,乐进,339,曹昂,3
60,乐进,348,曹操,2
123,许褚,160,李典,2
123,许褚,339,曹昂,3
123,许褚,348,曹操,2
160,李典,339,曹昂,3
160,李典,348,曹操,2
339,曹昂,348,曹操,3
6,于禁,75,吕布,8
6,于禁,99,刘表,5
6,于禁,113,刘璋,4
6,于禁,142,孙策,4
6,于禁,196,张鲁,4
6,于禁,216,陈登,5
6,于禁,281,袁术,8
6,于禁,283,袁绍,4
75,吕布,113,刘璋,6
75,吕布,142,孙策,6
75,吕布,196,张鲁,6
75,吕布,283,袁绍,6
99,刘表,113,刘璋,3
99,刘表,142,孙策,3
99,刘表,196,张鲁,3
99,刘表,216,陈登,4
99,刘表,281,袁术,7
99,刘表,283,袁绍,3
113,刘璋,142,孙策,2
113,刘璋,196,张鲁,2
113,刘璋,216,陈登,3
113,刘璋,281,袁术,6
113,刘璋,283,袁绍,2
113,刘璋,348,曹操,3
142,孙策,196,张鲁,2
142,孙策,216,陈登,3
142,孙策,281,袁术,6
142,孙策,283,袁绍,2
142,孙策,348,曹操,3
196,张鲁,216,陈登,3
196,张鲁,281,袁术,6
196,张鲁,283,袁绍,2
196,张鲁,348,曹操,3
216,陈登,283,袁绍,3
216,陈登,348,曹操,4
281,袁术,283,袁绍,6
281,袁术,348,曹操,7
283,袁绍,348,曹操,3
