label1,node1,label2,node2,link_num
281,袁术,348,曹操,22
75,吕布,142,孙策,13
75,吕布,224,金尚,2
75,吕布,281,袁术,35
75,吕布,348,曹操,15
142,孙策,224,金尚,2
142,孙策,281,袁术,16
142,孙策,348,曹操,12
224,金尚,281,袁术,3
224,金尚,348,曹操,2
75,吕布,101,刘备,22
75,吕布,211,陈宫,10
75,吕布,216,陈登,19
101,刘备,211,陈宫,3
101,刘备,216,陈登,6
101,刘备,281,袁术,19
101,刘备,348,曹操,13
211,陈宫,216,陈登,7
211,陈宫,281,袁术,7
211,陈宫,348,曹操,3
216,陈登,281,袁术,15
216,陈登,348,曹操,6
75,吕布,182,张辽,4
75,吕布,387,臧霸,4
182,张辽,211,陈宫,2
182,张辽,387,臧霸,2
211,陈宫,387,臧霸,2
75,吕布,118,关羽,13
118,关羽,216,陈登,5
118,关羽,281,袁术,8
142,孙策,191,张昭,3
191,张昭,281,袁术,5
191,张昭,348,曹操,4
6,于禁,75,吕布,5
6,于禁,101,刘备,8
6,于禁,142,孙策,3
6,于禁,281,袁术,2
6,于禁,332,曹仁,2
6,于禁,348,曹操,2
75,吕布,332,曹仁,5
101,刘备,142,孙策,14
101,刘备,332,曹仁,8
142,孙策,332,曹仁,3
281,袁术,332,曹仁,2
332,曹仁,348,曹操,2
86,任峻,142,孙策,2
75,吕布,99,刘表,4
75,吕布,252,荀彧,3
75,吕布,340,曹洪,3
99,刘表,101,刘备,4
99,刘表,142,孙策,3
99,刘表,252,荀彧,3
99,刘表,281,袁术,3
99,刘表,340,曹洪,3
99,刘表,348,曹操,5
101,刘备,252,荀彧,3
101,刘备,340,曹洪,3
142,孙策,252,荀彧,2
142,孙策,340,曹洪,2
252,荀彧,281,袁术,2
252,荀彧,340,曹洪,2
252,荀彧,348,曹操,2
281,袁术,340,曹洪,2
340,曹洪,348,曹操,2
81,吕蒙,133,孙亮,2
81,吕蒙,252,荀彧,2
81,吕蒙,319,郭嘉,2
133,孙亮,252,荀彧,2
133,孙亮,319,郭嘉,2
252,荀彧,319,郭嘉,2
99,刘表,123,许褚,3
99,刘表,294,贾诩,2
123,许褚,294,贾诩,3
123,许褚,348,曹操,3
294,贾诩,348,曹操,2
