label1,node1,label2,node2,link_num
294,贾诩,348,曹操,15
6,于禁,79,吕虔,2
6,于禁,99,刘表,2
6,于禁,142,孙策,2
6,于禁,294,贾诩,3
6,于禁,348,曹操,4
6,于禁,378,蒯良,2
79,吕虔,99,刘表,5
79,吕虔,142,孙策,2
79,吕虔,294,贾诩,3
79,吕虔,348,曹操,7
79,吕虔,378,蒯良,2
99,刘表,142,孙策,13
99,刘表,294,贾诩,15
99,刘表,348,曹操,21
99,刘表,378,蒯良,2
142,孙策,294,贾诩,6
142,孙策,348,曹操,10
142,孙策,378,蒯良,2
294,贾诩,378,蒯良,3
348,曹操,378,蒯良,4
99,刘表,163,孝通,11
99,刘表,252,荀彧,12
99,刘表,283,袁绍,13
99,刘表,306,徐晃,11
99,刘表,339,曹昂,11
99,刘表,390,管恪,11
142,孙策,163,孝通,2
142,孙策,252,荀彧,3
142,孙策,283,袁绍,2
142,孙策,306,徐晃,2
142,孙策,339,曹昂,2
142,孙策,390,管恪,2
163,孝通,252,荀彧,3
163,孝通,283,袁绍,2
163,孝通,294,贾诩,3
163,孝通,306,徐晃,2
163,孝通,339,曹昂,2
163,孝通,348,曹操,6
163,孝通,390,管恪,2
252,荀彧,283,袁绍,9
252,荀彧,294,贾诩,4
252,荀彧,306,徐晃,3
252,荀彧,339,曹昂,3
252,荀彧,348,曹操,7
252,荀彧,390,管恪,3
283,袁绍,294,贾诩,3
283,袁绍,306,徐晃,2
283,袁绍,339,曹昂,2
283,袁绍,348,曹操,8
283,袁绍,390,管恪,2
294,贾诩,306,徐晃,3
294,贾诩,339,曹昂,3
294,贾诩,390,管恪,3
306,徐晃,339,曹昂,2
306,徐晃,348,曹操,6
306,徐晃,390,管恪,2
339,曹昂,348,曹操,6
339,曹昂,390,管恪,2
348,曹操,390,管恪,6
40,公孙瓒,75,吕布,7
40,公孙瓒,101,刘备,6
40,公孙瓒,107,刘理,5
40,公孙瓒,252,荀彧,8
40,公孙瓒,283,袁绍,6
40,公孙瓒,319,郭嘉,6
75,吕布,101,刘备,32
75,吕布,107,刘理,4
75,吕布,252,荀彧,7
75,吕布,283,袁绍,10
75,吕布,319,郭嘉,10
101,刘备,107,刘理,3
101,刘备,252,荀彧,6
101,刘备,283,袁绍,9
101,刘备,319,郭嘉,9
107,刘理,252,荀彧,5
107,刘理,283,袁绍,3
107,刘理,319,郭嘉,3
252,荀彧,319,郭嘉,6
283,袁绍,319,郭嘉,6
75,吕布,211,陈宫,8
75,吕布,348,曹操,13
101,刘备,211,陈宫,5
101,刘备,348,曹操,20
211,陈宫,348,曹操,3
75,吕布,129,孙观,2
75,吕布,182,张辽,11
75,吕布,387,臧霸,2
101,刘备,129,孙观,2
101,刘备,182,张辽,21
101,刘备,387,臧霸,2
129,孙观,182,张辽,2
129,孙观,211,陈宫,2
129,孙观,387,臧霸,2
182,张辽,211,陈宫,2
182,张辽,387,臧霸,2
211,陈宫,387,臧霸,2
75,吕布,118,关羽,4
75,吕布,137,孙乾,8
75,吕布,181,张飞,4
75,吕布,383,简雍,9
75,吕布,404,糜芳,7
101,刘备,118,关羽,14
101,刘备,137,孙乾,18
101,刘备,181,张飞,14
101,刘备,383,简雍,19
101,刘备,404,糜芳,17
118,关羽,137,孙乾,5
118,关羽,181,张飞,6
118,关羽,182,张辽,6
118,关羽,348,曹操,5
118,关羽,383,简雍,5
118,关羽,404,糜芳,4
137,孙乾,181,张飞,5
137,孙乾,182,张辽,7
137,孙乾,348,曹操,6
137,孙乾,383,简雍,7
137,孙乾,404,糜芳,5
181,张飞,182,张辽,6
181,张飞,348,曹操,5
181,张飞,383,简雍,5
181,张飞,404,糜芳,4
182,张辽,348,曹操,7
182,张辽,383,简雍,8
182,张辽,404,糜芳,6
348,曹操,383,简雍,7
348,曹操,404,糜芳,5
383,简雍,404,糜芳,6
75,吕布,79,吕虔,6
75,吕布,99,刘表,5
75,吕布,160,李典,6
75,吕布,250,荀攸,5
