label1,node1,label2,node2,link_num
75,吕布,348,曹操,52
75,吕布,101,刘备,73
75,吕布,137,孙乾,13
75,吕布,181,张飞,30
75,吕布,182,张辽,49
101,刘备,137,孙乾,31
101,刘备,181,张飞,28
101,刘备,182,张辽,41
137,孙乾,181,张飞,4
137,孙乾,182,张辽,3
181,张飞,182,张辽,12
101,刘备,348,曹操,49
137,孙乾,348,曹操,14
75,吕布,123,许褚,12
75,吕布,129,孙观,22
75,吕布,211,陈宫,56
75,吕布,270,郤正,5
75,吕布,301,夏侯渊,13
75,吕布,332,曹仁,16
75,吕布,387,臧霸,10
101,刘备,123,许褚,7
101,刘备,129,孙观,10
101,刘备,211,陈宫,31
101,刘备,270,郤正,2
101,刘备,301,夏侯渊,4
101,刘备,332,曹仁,2
101,刘备,387,臧霸,10
123,许褚,129,孙观,3
123,许褚,211,陈宫,3
123,许褚,270,郤正,3
123,许褚,301,夏侯渊,3
123,许褚,332,曹仁,3
123,许褚,387,臧霸,3
129,孙观,211,陈宫,18
129,孙观,270,郤正,2
129,孙观,301,夏侯渊,2
129,孙观,332,曹仁,5
129,孙观,387,臧霸,4
211,陈宫,270,郤正,2
211,陈宫,301,夏侯渊,4
211,陈宫,332,曹仁,10
211,陈宫,387,臧霸,9
270,郤正,301,夏侯渊,2
270,郤正,332,曹仁,2
270,郤正,387,臧霸,2
301,夏侯渊,332,曹仁,2
301,夏侯渊,387,臧霸,2
332,曹仁,387,臧霸,2
75,吕布,118,关羽,19
75,吕布,216,陈登,19
75,吕布,254,荀勖,11
118,关羽,129,孙观,5
118,关羽,181,张飞,9
118,关羽,182,张辽,6
118,关羽,211,陈宫,15
118,关羽,216,陈登,10
118,关羽,254,荀勖,2
118,关羽,332,曹仁,2
118,关羽,348,曹操,15
129,孙观,181,张飞,6
129,孙观,182,张辽,3
129,孙观,216,陈登,11
129,孙观,254,荀勖,3
129,孙观,348,曹操,12
181,张飞,211,陈宫,16
181,张飞,216,陈登,11
181,张飞,254,荀勖,3
181,张飞,332,曹仁,3
181,张飞,348,曹操,18
182,张辽,211,陈宫,16
182,张辽,216,陈登,10
182,张辽,254,荀勖,2
