label1,node1,label2,node2,link_num
75,吕布,101,刘备,5
75,吕布,118,关羽,4
75,吕布,129,孙观,4
75,吕布,182,张辽,4
75,吕布,348,曹操,3
75,吕布,387,臧霸,5
101,刘备,118,关羽,19
101,刘备,129,孙观,5
101,刘备,182,张辽,5
101,刘备,348,曹操,29
101,刘备,387,臧霸,6
118,关羽,129,孙观,4
118,关羽,182,张辽,4
118,关羽,348,曹操,11
118,关羽,387,臧霸,5
129,孙观,182,张辽,4
129,孙观,348,曹操,3
129,孙观,387,臧霸,5
182,张辽,348,曹操,3
182,张辽,387,臧霸,5
348,曹操,387,臧霸,4
49,孔融,101,刘备,12
49,孔融,118,关羽,4
49,孔融,157,杨彪,2
49,孔融,245,孟建,2
49,孔融,252,荀彧,2
49,孔融,281,袁术,3
49,孔融,348,曹操,6
49,孔融,354,董卓,2
49,孔融,371,程昱,2
49,孔融,384,满宠,2
101,刘备,157,杨彪,12
101,刘备,245,孟建,12
101,刘备,252,荀彧,12
101,刘备,281,袁术,13
101,刘备,354,董卓,12
101,刘备,371,程昱,12
101,刘备,384,满宠,12
118,关羽,157,杨彪,4
118,关羽,245,孟建,4
118,关羽,252,荀彧,4
118,关羽,281,袁术,5
118,关羽,354,董卓,4
118,关羽,371,程昱,4
118,关羽,384,满宠,4
157,杨彪,245,孟建,2
157,杨彪,252,荀彧,2
157,杨彪,281,袁术,3
157,杨彪,348,曹操,6
157,杨彪,354,董卓,2
157,杨彪,371,程昱,2
157,杨彪,384,满宠,2
245,孟建,252,荀彧,2
245,孟建,281,袁术,3
245,孟建,348,曹操,6
245,孟建,354,董卓,2
245,孟建,371,程昱,2
245,孟建,384,满宠,2
252,荀彧,281,袁术,3
252,荀彧,348,曹操,6
252,荀彧,354,董卓,2
252,荀彧,371,程昱,2
252,荀彧,384,满宠,2
281,袁术,348,曹操,7
281,袁术,354,董卓,3
281,袁术,371,程昱,3
281,袁术,384,满宠,3
348,曹操,354,董卓,6
348,曹操,371,程昱,6
348,曹操,384,满宠,6
354,董卓,371,程昱,2
354,董卓,384,满宠,2
371,程昱,384,满宠,2
15,马腾,398,潘浚,4
