label1,node1,label2,node2,link_num
15,马腾,101,刘备,37
15,马腾,118,关羽,6
15,马腾,348,曹操,10
101,刘备,118,关羽,44
101,刘备,348,曹操,66
118,关羽,348,曹操,18
99,刘表,101,刘备,28
99,刘表,113,刘璋,4
99,刘表,123,许褚,4
99,刘表,142,孙策,4
99,刘表,182,张辽,3
99,刘表,196,张鲁,3
99,刘表,281,袁术,3
99,刘表,283,袁绍,4
99,刘表,366,韩遂,3
101,刘备,113,刘璋,28
101,刘备,123,许褚,59
101,刘备,142,孙策,28
101,刘备,182,张辽,34
101,刘备,196,张鲁,27
101,刘备,281,袁术,64
101,刘备,283,袁绍,58
101,刘备,366,韩遂,27
113,刘璋,123,许褚,4
113,刘璋,142,孙策,4
113,刘璋,182,张辽,3
113,刘璋,196,张鲁,3
113,刘璋,281,袁术,3
113,刘璋,283,袁绍,4
113,刘璋,366,韩遂,3
123,许褚,142,孙策,4
123,许褚,182,张辽,5
123,许褚,196,张鲁,3
123,许褚,281,袁术,15
123,许褚,283,袁绍,7
123,许褚,366,韩遂,3
142,孙策,182,张辽,3
142,孙策,196,张鲁,3
142,孙策,281,袁术,3
142,孙策,283,袁绍,4
142,孙策,366,韩遂,3
182,张辽,196,张鲁,2
182,张辽,281,袁术,2
182,张辽,283,袁绍,3
182,张辽,366,韩遂,2
196,张鲁,281,袁术,2
196,张鲁,283,袁绍,3
196,张鲁,366,韩遂,2
281,袁术,283,袁绍,19
281,袁术,366,韩遂,2
283,袁绍,366,韩遂,3
118,关羽,123,许褚,3
118,关羽,182,张辽,3
40,公孙瓒,101,刘备,8
40,公孙瓒,246,赵云,3
40,公孙瓒,281,袁术,3
40,公孙瓒,283,袁绍,9
40,公孙瓒,384,满宠,3
101,刘备,246,赵云,7
101,刘备,384,满宠,7
246,赵云,281,袁术,2
246,赵云,283,袁绍,8
246,赵云,384,满宠,2
281,袁术,384,满宠,2
283,袁绍,384,满宠,8
101,刘备,319,郭嘉,23
101,刘备,371,程昱,23
123,许褚,319,郭嘉,7
123,许褚,348,曹操,7
123,许褚,371,程昱,7
281,袁术,319,郭嘉,11
281,袁术,348,曹操,13
281,袁术,371,程昱,11
319,郭嘉,348,曹操,6
319,郭嘉,371,程昱,6
348,曹操,371,程昱,6
15,马腾,123,许褚,3
15,马腾,137,孙乾,2
15,马腾,181,张飞,3
15,马腾,281,袁术,8
15,马腾,283,袁绍,2
15,马腾,309,徐璆,3
15,马腾,319,郭嘉,2
15,马腾,371,程昱,2
101,刘备,137,孙乾,17
101,刘备,181,张飞,32
101,刘备,309,徐璆,18
123,许褚,137,孙乾,3
123,许褚,181,张飞,4
123,许褚,309,徐璆,4
137,孙乾,181,张飞,3
137,孙乾,281,袁术,8
137,孙乾,283,袁绍,2
137,孙乾,309,徐璆,3
137,孙乾,319,郭嘉,2
137,孙乾,348,曹操,3
137,孙乾,371,程昱,2
181,张飞,281,袁术,9
181,张飞,283,袁绍,3
181,张飞,309,徐璆,4
181,张飞,319,郭嘉,3
181,张飞,348,曹操,13
181,张飞,371,程昱,3
281,袁术,309,徐璆,9
283,袁绍,309,徐璆,3
283,袁绍,319,郭嘉,2
283,袁绍,348,曹操,3
283,袁绍,371,程昱,2
309,徐璆,319,郭嘉,3
309,徐璆,348,曹操,4
309,徐璆,371,程昱,3
101,刘备,216,陈登,17
101,刘备,252,荀彧,12
118,关羽,181,张飞,8
118,关羽,216,陈登,11
118,关羽,252,荀彧,6
181,张飞,216,陈登,9
181,张飞,252,荀彧,4
216,陈登,252,荀彧,7
216,陈登,348,曹操,12
252,荀彧,348,曹操,7
