label1,node1,label2,node2,link_num
5,丁廙,28,王路,3
5,丁廙,40,公孙瓒,3
5,丁廙,56,田丰,4
5,丁廙,101,刘备,14
5,丁廙,120,许攸,4
5,丁廙,137,孙乾,4
5,丁廙,172,何进,3
5,丁廙,214,陈琳,4
5,丁廙,216,陈登,4
5,丁廙,241,审配,4
5,丁廙,255,荀谌,4
5,丁廙,283,袁绍,5
5,丁廙,348,曹操,8
5,丁廙,354,董卓,3
28,王路,40,公孙瓒,2
28,王路,56,田丰,3
28,王路,101,刘备,13
28,王路,120,许攸,3
28,王路,137,孙乾,3
28,王路,172,何进,2
28,王路,214,陈琳,3
28,王路,216,陈登,3
28,王路,241,审配,3
28,王路,255,荀谌,3
28,王路,283,袁绍,4
28,王路,348,曹操,7
28,王路,354,董卓,2
40,公孙瓒,56,田丰,3
40,公孙瓒,101,刘备,13
40,公孙瓒,120,许攸,3
40,公孙瓒,137,孙乾,3
40,公孙瓒,172,何进,2
40,公孙瓒,214,陈琳,3
40,公孙瓒,216,陈登,3
40,公孙瓒,241,审配,3
40,公孙瓒,255,荀谌,3
40,公孙瓒,283,袁绍,4
40,公孙瓒,348,曹操,7
40,公孙瓒,354,董卓,2
56,田丰,101,刘备,18
56,田丰,120,许攸,8
56,田丰,137,孙乾,4
56,田丰,172,何进,3
56,田丰,214,陈琳,8
56,田丰,216,陈登,4
56,田丰,241,审配,8
56,田丰,255,荀谌,4
56,田丰,283,袁绍,12
56,田丰,348,曹操,11
56,田丰,354,董卓,3
101,刘备,120,许攸,18
101,刘备,137,孙乾,21
101,刘备,172,何进,13
101,刘备,214,陈琳,18
101,刘备,216,陈登,19
101,刘备,241,审配,18
101,刘备,255,荀谌,14
101,刘备,283,袁绍,27
101,刘备,348,曹操,39
101,刘备,354,董卓,21
120,许攸,137,孙乾,4
120,许攸,172,何进,3
120,许攸,214,陈琳,8
120,许攸,216,陈登,4
120,许攸,241,审配,10
120,许攸,255,荀谌,4
120,许攸,283,袁绍,14
120,许攸,348,曹操,13
120,许攸,354,董卓,3
137,孙乾,172,何进,3
137,孙乾,214,陈琳,4
137,孙乾,216,陈登,4
137,孙乾,241,审配,4
137,孙乾,255,荀谌,4
137,孙乾,283,袁绍,5
137,孙乾,348,曹操,14
137,孙乾,354,董卓,3
172,何进,214,陈琳,3
172,何进,216,陈登,3
172,何进,241,审配,3
172,何进,255,荀谌,3
172,何进,283,袁绍,4
172,何进,348,曹操,7
172,何进,354,董卓,2
214,陈琳,216,陈登,4
214,陈琳,241,审配,8
214,陈琳,255,荀谌,4
214,陈琳,283,袁绍,12
214,陈琳,348,曹操,11
214,陈琳,354,董卓,3
216,陈登,241,审配,4
216,陈登,255,荀谌,4
216,陈登,283,袁绍,7
216,陈登,348,曹操,11
216,陈登,354,董卓,3
241,审配,255,荀谌,4
241,审配,283,袁绍,14
241,审配,348,曹操,13
241,审配,354,董卓,3
255,荀谌,283,袁绍,5
255,荀谌,348,曹操,8
255,荀谌,354,董卓,3
283,袁绍,348,曹操,20
283,袁绍,354,董卓,4
348,曹操,354,董卓,7
49,孔融,56,田丰,4
49,孔融,100,刘岱,6
49,孔融,101,刘备,4
49,孔融,120,许攸,4
49,孔融,188,张郃,3
49,孔融,214,陈琳,4
49,孔融,241,审配,4
49,孔融,252,荀彧,4
49,孔融,283,袁绍,7
49,孔融,340,曹洪,3
49,孔融,348,曹操,3
49,孔融,351,淳于琼,3
49,孔融,371,程昱,3
56,田丰,100,刘岱,6
56,田丰,188,张郃,3
56,田丰,252,荀彧,4
56,田丰,340,曹洪,3
56,田丰,351,淳于琼,3
56,田丰,371,程昱,3
100,刘岱,101,刘备,43
100,刘岱,120,许攸,6
100,刘岱,188,张郃,5
100,刘岱,214,陈琳,6
100,刘岱,241,审配,6
100,刘岱,252,荀彧,6
100,刘岱,283,袁绍,9
100,刘岱,340,曹洪,5
100,刘岱,348,曹操,19
100,刘岱,351,淳于琼,5
100,刘岱,371,程昱,5
101,刘备,188,张郃,3
101,刘备,252,荀彧,4
101,刘备,340,曹洪,3
101,刘备,351,淳于琼,3
101,刘备,371,程昱,3
120,许攸,188,张郃,3
120,许攸,252,荀彧,4
120,许攸,340,曹洪,3
120,许攸,351,淳于琼,3
120,许攸,371,程昱,3
188,张郃,214,陈琳,3
188,张郃,241,审配,3
188,张郃,252,荀彧,3
188,张郃,283,袁绍,6
188,张郃,340,曹洪,2
188,张郃,348,曹操,2
188,张郃,351,淳于琼,2
188,张郃,371,程昱,2
214,陈琳,252,荀彧,4
214,陈琳,340,曹洪,3
214,陈琳,351,淳于琼,3
214,陈琳,371,程昱,3
241,审配,252,荀彧,4
241,审配,340,曹洪,3
241,审配,351,淳于琼,3
241,审配,371,程昱,3
252,荀彧,283,袁绍,7
252,荀彧,340,曹洪,3
252,荀彧,348,曹操,3
252,荀彧,351,淳于琼,3
252,荀彧,371,程昱,3
283,袁绍,340,曹洪,6
283,袁绍,351,淳于琼,6
283,袁绍,371,程昱,6
340,曹洪,348,曹操,2
340,曹洪,351,淳于琼,2
340,曹洪,371,程昱,2
348,曹操,351,淳于琼,2
348,曹操,371,程昱,2
351,淳于琼,371,程昱,2
6,于禁,75,吕布,2
6,于禁,120,许攸,2
6,于禁,160,李典,2
6,于禁,241,审配,2
6,于禁,283,袁绍,2
6,于禁,332,曹仁,2
6,于禁,348,曹操,2
6,于禁,387,臧霸,2
75,吕布,120,许攸,2
75,吕布,160,李典,2
75,吕布,241,审配,2
75,吕布,283,袁绍,2
75,吕布,332,曹仁,2
75,吕布,348,曹操,2
75,吕布,387,臧霸,2
120,许攸,160,李典,2
120,许攸,332,曹仁,2
120,许攸,387,臧霸,2
160,李典,241,审配,2
160,李典,283,袁绍,2
160,李典,332,曹仁,2
160,李典,348,曹操,2
160,李典,387,臧霸,2
241,审配,332,曹仁,2
241,审配,387,臧霸,2
283,袁绍,332,曹仁,2
283,袁绍,387,臧霸,2
332,曹仁,348,曹操,2
332,曹仁,387,臧霸,2
348,曹操,387,臧霸,2
101,刘备,118,关羽,29
101,刘备,181,张飞,37
118,关羽,181,张飞,26
118,关羽,216,陈登,4
118,关羽,283,袁绍,4
118,关羽,348,曹操,14
181,张飞,216,陈登,2
181,张飞,283,袁绍,2
181,张飞,348,曹操,11
100,刘岱,118,关羽,23
100,刘岱,181,张飞,32
100,刘岱,354,董卓,4
118,关羽,354,董卓,3
181,张飞,354,董卓,3
100,刘岱,137,孙乾,8
100,刘岱,383,简雍,7
100,刘岱,404,糜芳,7
101,刘备,383,简雍,6
101,刘备,404,糜芳,6
118,关羽,137,孙乾,7
118,关羽,383,简雍,6
118,关羽,404,糜芳,6
137,孙乾,181,张飞,6
137,孙乾,383,简雍,3
137,孙乾,404,糜芳,3
181,张飞,383,简雍,5
181,张飞,404,糜芳,5
348,曹操,383,简雍,5
348,曹操,404,糜芳,5
383,简雍,404,糜芳,2
