label1,node1,label2,node2,link_num
49,孔融,99,刘表,13
49,孔融,100,刘岱,3
49,孔融,101,刘备,7
49,孔融,105,刘晔,4
49,孔融,283,袁绍,7
49,孔融,294,贾诩,6
49,孔融,348,曹操,9
99,刘表,100,刘岱,3
99,刘表,101,刘备,8
99,刘表,105,刘晔,4
99,刘表,283,袁绍,14
99,刘表,294,贾诩,6
99,刘表,348,曹操,17
100,刘岱,101,刘备,3
100,刘岱,105,刘晔,3
100,刘岱,283,袁绍,3
100,刘岱,294,贾诩,2
100,刘岱,348,曹操,3
101,刘备,105,刘晔,4
101,刘备,283,袁绍,8
101,刘备,294,贾诩,3
101,刘备,348,曹操,12
105,刘晔,283,袁绍,6
105,刘晔,294,贾诩,6
105,刘晔,348,曹操,6
283,袁绍,294,贾诩,6
283,袁绍,348,曹操,18
294,贾诩,348,曹操,8
81,吕蒙,105,刘晔,2
81,吕蒙,133,孙亮,2
81,吕蒙,283,袁绍,2
81,吕蒙,294,贾诩,3
81,吕蒙,348,曹操,2
105,刘晔,133,孙亮,2
133,孙亮,283,袁绍,2
133,孙亮,294,贾诩,3
133,孙亮,348,曹操,2
6,于禁,49,孔融,4
6,于禁,60,乐进,4
6,于禁,64,司马炎,3
6,于禁,79,吕虔,4
6,于禁,99,刘表,4
6,于禁,123,许褚,4
6,于禁,131,孙和,4
6,于禁,160,李典,4
6,于禁,182,张辽,5
6,于禁,250,荀攸,5
6,于禁,252,荀彧,4
6,于禁,275,祢衡,8
6,于禁,294,贾诩,3
6,于禁,306,徐晃,4
6,于禁,319,郭嘉,4
6,于禁,332,曹仁,4
6,于禁,348,曹操,3
6,于禁,371,程昱,4
6,于禁,382,路粹,3
6,于禁,384,满宠,4
49,孔融,60,乐进,4
49,孔融,64,司马炎,3
49,孔融,79,吕虔,4
49,孔融,123,许褚,4
49,孔融,131,孙和,4
49,孔融,160,李典,4
49,孔融,182,张辽,5
49,孔融,250,荀攸,5
49,孔融,252,荀彧,10
49,孔融,275,祢衡,16
49,孔融,306,徐晃,4
49,孔融,319,郭嘉,4
49,孔融,332,曹仁,4
49,孔融,371,程昱,4
49,孔融,382,路粹,3
49,孔融,384,满宠,4
60,乐进,64,司马炎,3
