label1,node1,label2,node2,link_num
348,曹操,371,程昱,8
340,曹洪,348,曹操,3
340,曹洪,354,董卓,3
348,曹操,354,董卓,4
15,马腾,56,田丰,4
15,马腾,101,刘备,12
15,马腾,137,孙乾,7
15,马腾,283,袁绍,6
15,马腾,319,郭嘉,3
15,马腾,348,曹操,3
15,马腾,371,程昱,3
56,田丰,101,刘备,12
56,田丰,137,孙乾,7
56,田丰,283,袁绍,6
56,田丰,319,郭嘉,3
56,田丰,348,曹操,3
56,田丰,371,程昱,3
101,刘备,137,孙乾,21
101,刘备,283,袁绍,34
101,刘备,319,郭嘉,22
101,刘备,348,曹操,32
101,刘备,371,程昱,22
137,孙乾,283,袁绍,9
137,孙乾,319,郭嘉,6
137,孙乾,348,曹操,10
137,孙乾,371,程昱,6
283,袁绍,319,郭嘉,10
283,袁绍,348,曹操,12
283,袁绍,371,程昱,10
319,郭嘉,348,曹操,6
319,郭嘉,371,程昱,4
100,刘岱,101,刘备,4
100,刘岱,137,孙乾,2
100,刘岱,181,张飞,2
100,刘岱,348,曹操,2
101,刘备,181,张飞,8
137,孙乾,181,张飞,6
181,张飞,348,曹操,6
38,毛玠,101,刘备,3
38,毛玠,252,荀彧,3
38,毛玠,348,曹操,3
101,刘备,252,荀彧,13
252,荀彧,348,曹操,6
6,于禁,60,乐进,3
6,于禁,101,刘备,2
6,于禁,123,许褚,2
6,于禁,137,孙乾,2
6,于禁,160,李典,2
6,于禁,181,张飞,4
6,于禁,182,张辽,2
6,于禁,241,审配,2
6,于禁,301,夏侯渊,2
6,于禁,306,徐晃,3
6,于禁,348,曹操,2
60,乐进,101,刘备,3
60,乐进,123,许褚,3
60,乐进,137,孙乾,3
60,乐进,160,李典,3
60,乐进,181,张飞,5
60,乐进,182,张辽,3
60,乐进,241,审配,3
60,乐进,301,夏侯渊,3
60,乐进,306,徐晃,4
60,乐进,348,曹操,3
101,刘备,123,许褚,2
101,刘备,160,李典,9
101,刘备,182,张辽,13
101,刘备,241,审配,2
101,刘备,301,夏侯渊,8
101,刘备,306,徐晃,3
123,许褚,137,孙乾,2
123,许褚,160,李典,2
123,许褚,181,张飞,4
123,许褚,182,张辽,2
123,许褚,241,审配,2
123,许褚,301,夏侯渊,2
123,许褚,306,徐晃,3
123,许褚,348,曹操,2
137,孙乾,160,李典,2
137,孙乾,182,张辽,2
137,孙乾,241,审配,2
137,孙乾,301,夏侯渊,2
137,孙乾,306,徐晃,3
160,李典,181,张飞,4
160,李典,182,张辽,2
160,李典,241,审配,2
160,李典,301,夏侯渊,5
160,李典,306,徐晃,3
160,李典,348,曹操,2
181,张飞,182,张辽,4
181,张飞,241,审配,4
181,张飞,301,夏侯渊,4
181,张飞,306,徐晃,5
182,张辽,241,审配,2
182,张辽,301,夏侯渊,2
182,张辽,306,徐晃,3
182,张辽,348,曹操,6
241,审配,301,夏侯渊,2
241,审配,306,徐晃,3
241,审配,348,曹操,2
301,夏侯渊,306,徐晃,3
301,夏侯渊,348,曹操,2
306,徐晃,348,曹操,3
160,李典,283,袁绍,3
283,袁绍,301,夏侯渊,2
101,刘备,118,关羽,14
101,刘备,216,陈登,11
101,刘备,288,袁谭,11
101,刘备,383,简雍,11
118,关羽,182,张辽,5
118,关羽,216,陈登,5
118,关羽,252,荀彧,5
118,关羽,283,袁绍,8
118,关羽,288,袁谭,5
118,关羽,319,郭嘉,5
118,关羽,348,曹操,7
118,关羽,371,程昱,5
118,关羽,383,简雍,5
182,张辽,216,陈登,2
182,张辽,252,荀彧,2
182,张辽,283,袁绍,5
182,张辽,288,袁谭,2
182,张辽,319,郭嘉,2
182,张辽,371,程昱,2
182,张辽,383,简雍,2
216,陈登,252,荀彧,2
216,陈登,283,袁绍,5
216,陈登,288,袁谭,2
216,陈登,319,郭嘉,2
216,陈登,348,曹操,4
216,陈登,371,程昱,2
216,陈登,383,简雍,2
252,荀彧,283,袁绍,5
252,荀彧,288,袁谭,2
252,荀彧,319,郭嘉,2
252,荀彧,371,程昱,2
252,荀彧,383,简雍,2
283,袁绍,288,袁谭,5
283,袁绍,383,简雍,5
288,袁谭,319,郭嘉,2
288,袁谭,348,曹操,4
288,袁谭,371,程昱,2
288,袁谭,383,简雍,2
319,郭嘉,383,简雍,2
348,曹操,383,简雍,4
371,程昱,383,简雍,2
