label1,node1,label2,node2,link_num
101,刘备,118,关羽,33
101,刘备,371,程昱,5
118,关羽,371,程昱,8
123,许褚,306,徐晃,4
123,许褚,348,曹操,3
306,徐晃,348,曹操,6
101,刘备,181,张飞,7
101,刘备,182,张辽,23
181,张飞,182,张辽,6
12,马忠,101,刘备,3
12,马忠,118,关羽,5
12,马忠,182,张辽,5
12,马忠,252,荀彧,2
12,马忠,348,曹操,6
101,刘备,252,荀彧,13
101,刘备,348,曹操,24
118,关羽,182,张辽,17
118,关羽,252,荀彧,8
118,关羽,348,曹操,24
182,张辽,252,荀彧,7
182,张辽,348,曹操,15
252,荀彧,348,曹操,9
56,田丰,75,吕布,6
56,田丰,101,刘备,14
56,田丰,118,关羽,7
56,田丰,182,张辽,6
56,田丰,252,荀彧,6
56,田丰,283,袁绍,6
56,田丰,348,曹操,7
75,吕布,101,刘备,10
75,吕布,118,关羽,3
75,吕布,182,张辽,2
75,吕布,252,荀彧,2
75,吕布,283,袁绍,2
75,吕布,348,曹操,7
101,刘备,283,袁绍,19
118,关羽,283,袁绍,12
182,张辽,283,袁绍,5
252,荀彧,283,袁绍,2
283,袁绍,348,曹操,7
75,吕布,306,徐晃,3
101,刘备,202,张翼,4
118,关羽,181,张飞,7
118,关羽,202,张翼,7
181,张飞,202,张翼,4
181,张飞,283,袁绍,4
181,张飞,348,曹操,4
181,张飞,371,程昱,3
182,张辽,202,张翼,3
182,张辽,371,程昱,2
202,张翼,283,袁绍,4
202,张翼,348,曹操,4
202,张翼,371,程昱,3
283,袁绍,371,程昱,3
348,曹操,371,程昱,3
