label1,node1,label2,node2,link_num
118,关羽,283,袁绍,37
101,刘备,118,关羽,42
101,刘备,283,袁绍,43
79,吕虔,118,关羽,13
79,吕虔,182,张辽,5
79,吕虔,250,荀攸,5
79,吕虔,283,袁绍,8
79,吕虔,306,徐晃,4
79,吕虔,348,曹操,8
118,关羽,182,张辽,8
118,关羽,250,荀攸,14
118,关羽,306,徐晃,5
118,关羽,348,曹操,34
182,张辽,250,荀攸,6
182,张辽,283,袁绍,7
182,张辽,306,徐晃,7
182,张辽,348,曹操,15
250,荀攸,283,袁绍,9
250,荀攸,306,徐晃,5
250,荀攸,348,曹操,9
283,袁绍,306,徐晃,4
283,袁绍,348,曹操,30
306,徐晃,348,曹操,5
6,于禁,60,乐进,2
6,于禁,79,吕虔,2
6,于禁,101,刘备,21
6,于禁,118,关羽,10
6,于禁,241,审配,2
6,于禁,250,荀攸,2
6,于禁,252,荀彧,2
6,于禁,283,袁绍,6
6,于禁,340,曹洪,2
6,于禁,348,曹操,8
60,乐进,79,吕虔,2
60,乐进,101,刘备,15
60,乐进,118,关羽,10
60,乐进,241,审配,2
60,乐进,250,荀攸,2
60,乐进,252,荀彧,2
60,乐进,283,袁绍,6
60,乐进,340,曹洪,2
60,乐进,348,曹操,5
79,吕虔,101,刘备,15
79,吕虔,241,审配,2
79,吕虔,252,荀彧,2
79,吕虔,340,曹洪,2
101,刘备,241,审配,15
101,刘备,250,荀攸,15
101,刘备,252,荀彧,15
101,刘备,340,曹洪,15
101,刘备,348,曹操,37
118,关羽,241,审配,10
118,关羽,252,荀彧,10
118,关羽,340,曹洪,10
241,审配,250,荀攸,2
241,审配,252,荀彧,2
241,审配,283,袁绍,6
241,审配,340,曹洪,2
241,审配,348,曹操,5
250,荀攸,252,荀彧,2
250,荀攸,340,曹洪,2
252,荀彧,283,袁绍,6
252,荀彧,340,曹洪,2
252,荀彧,348,曹操,5
283,袁绍,340,曹洪,6
340,曹洪,348,曹操,5
101,刘备,137,孙乾,5
118,关羽,137,孙乾,7
137,孙乾,283,袁绍,8
137,孙乾,348,曹操,7
6,于禁,182,张辽,4
101,刘备,182,张辽,8
101,刘备,219,陈震,4
219,陈震,283,袁绍,3
219,陈震,348,曹操,4
