label1,node1,label2,node2,link_num
118,关羽,182,张辽,12
118,关羽,283,袁绍,14
118,关羽,306,徐晃,10
118,关羽,348,曹操,18
118,关羽,371,程昱,3
182,张辽,283,袁绍,4
182,张辽,306,徐晃,6
182,张辽,348,曹操,8
182,张辽,371,程昱,4
283,袁绍,306,徐晃,2
283,袁绍,348,曹操,6
283,袁绍,371,程昱,2
306,徐晃,348,曹操,6
306,徐晃,371,程昱,2
348,曹操,371,程昱,3
6,于禁,118,关羽,7
6,于禁,123,许褚,3
6,于禁,160,李典,2
6,于禁,182,张辽,2
6,于禁,306,徐晃,2
6,于禁,348,曹操,3
118,关羽,123,许褚,8
118,关羽,160,李典,7
123,许褚,160,李典,3
123,许褚,182,张辽,3
123,许褚,306,徐晃,3
123,许褚,348,曹操,4
160,李典,182,张辽,2
160,李典,306,徐晃,2
160,李典,348,曹操,3
101,刘备,118,关羽,8
101,刘备,283,袁绍,11
101,刘备,348,曹操,3
101,刘备,391,廖化,10
118,关羽,391,廖化,13
283,袁绍,391,廖化,10
348,曹操,391,廖化,11
348,曹操,368,韩暨,2
56,田丰,101,刘备,2
56,田丰,118,关羽,3
56,田丰,137,孙乾,4
56,田丰,241,审配,2
56,田丰,283,袁绍,5
101,刘备,137,孙乾,4
101,刘备,241,审配,2
118,关羽,137,孙乾,5
118,关羽,241,审配,3
137,孙乾,241,审配,4
137,孙乾,283,袁绍,7
241,审配,283,袁绍,5
