label1,node1,label2,node2,link_num
101,刘备,118,关羽,46
101,刘备,182,张辽,5
101,刘备,283,袁绍,50
101,刘备,300,夏侯敦,2
118,关羽,182,张辽,9
118,关羽,283,袁绍,20
118,关羽,300,夏侯敦,6
182,张辽,283,袁绍,5
182,张辽,300,夏侯敦,5
283,袁绍,300,夏侯敦,2
118,关羽,137,孙乾,21
101,刘备,137,孙乾,48
101,刘备,181,张飞,47
101,刘备,348,曹操,43
118,关羽,181,张飞,22
118,关羽,348,曹操,15
137,孙乾,181,张飞,30
137,孙乾,283,袁绍,23
137,孙乾,348,曹操,16
181,张飞,283,袁绍,22
181,张飞,348,曹操,19
283,袁绍,348,曹操,16
118,关羽,383,简雍,16
118,关羽,404,糜芳,10
137,孙乾,383,简雍,16
137,孙乾,404,糜芳,10
181,张飞,383,简雍,15
181,张飞,404,糜芳,9
348,曹操,383,简雍,14
348,曹操,404,糜芳,8
383,简雍,404,糜芳,12
40,公孙瓒,99,刘表,5
40,公孙瓒,101,刘备,33
40,公孙瓒,118,关羽,5
40,公孙瓒,137,孙乾,7
40,公孙瓒,181,张飞,3
40,公孙瓒,246,赵云,6
40,公孙瓒,283,袁绍,8
40,公孙瓒,306,徐晃,2
40,公孙瓒,348,曹操,5
40,公孙瓒,383,简雍,9
40,公孙瓒,390,管恪,2
40,公孙瓒,404,糜芳,3
99,刘表,101,刘备,39
99,刘表,118,关羽,8
99,刘表,137,孙乾,10
99,刘表,181,张飞,6
99,刘表,246,赵云,9
99,刘表,283,袁绍,13
99,刘表,306,徐晃,5
99,刘表,348,曹操,11
99,刘表,383,简雍,12
99,刘表,390,管恪,5
99,刘表,404,糜芳,6
101,刘备,246,赵云,37
101,刘备,306,徐晃,33
101,刘备,383,简雍,40
101,刘备,390,管恪,33
101,刘备,404,糜芳,34
118,关羽,246,赵云,9
118,关羽,306,徐晃,5
118,关羽,390,管恪,5
137,孙乾,246,赵云,11
137,孙乾,306,徐晃,7
137,孙乾,390,管恪,7
181,张飞,246,赵云,7
181,张飞,306,徐晃,3
181,张飞,390,管恪,3
246,赵云,283,袁绍,12
246,赵云,306,徐晃,6
246,赵云,348,曹操,9
246,赵云,383,简雍,13
246,赵云,390,管恪,6
246,赵云,404,糜芳,7
283,袁绍,306,徐晃,8
283,袁绍,383,简雍,15
283,袁绍,390,管恪,8
283,袁绍,404,糜芳,9
306,徐晃,348,曹操,5
306,徐晃,383,简雍,9
306,徐晃,390,管恪,2
306,徐晃,404,糜芳,3
348,曹操,390,管恪,5
383,简雍,390,管恪,9
390,管恪,404,糜芳,3
99,刘表,142,孙策,3
99,刘表,219,陈震,2
101,刘备,142,孙策,4
101,刘备,219,陈震,3
142,孙策,219,陈震,3
142,孙策,283,袁绍,3
142,孙策,348,曹操,4
219,陈震,283,袁绍,2
219,陈震,348,曹操,3
