label1,node1,label2,node2,link_num
88,华歆,104,刘勋,2
88,华歆,126,孙匡,2
88,华歆,142,孙策,14
88,华歆,185,张纮,4
88,华歆,191,张昭,2
88,华歆,219,陈震,3
88,华歆,283,袁绍,3
88,华歆,319,郭嘉,4
88,华歆,332,曹仁,2
88,华歆,348,曹操,7
88,华歆,363,韩当,2
88,华歆,372,程普,3
88,华歆,381,虞翻,2
104,刘勋,126,孙匡,2
104,刘勋,142,孙策,14
104,刘勋,185,张纮,4
104,刘勋,191,张昭,2
104,刘勋,219,陈震,3
104,刘勋,283,袁绍,3
104,刘勋,319,郭嘉,4
104,刘勋,332,曹仁,2
104,刘勋,348,曹操,7
104,刘勋,363,韩当,2
104,刘勋,372,程普,3
104,刘勋,381,虞翻,2
126,孙匡,142,孙策,14
126,孙匡,185,张纮,4
126,孙匡,191,张昭,2
126,孙匡,219,陈震,3
126,孙匡,283,袁绍,3
126,孙匡,319,郭嘉,4
126,孙匡,332,曹仁,2
126,孙匡,348,曹操,7
126,孙匡,363,韩当,2
126,孙匡,372,程普,3
126,孙匡,381,虞翻,2
142,孙策,185,张纮,22
142,孙策,191,张昭,30
142,孙策,219,陈震,24
142,孙策,283,袁绍,23
142,孙策,319,郭嘉,16
142,孙策,332,曹仁,14
142,孙策,348,曹操,26
142,孙策,363,韩当,14
142,孙策,372,程普,15
142,孙策,381,虞翻,14
185,张纮,191,张昭,9
185,张纮,219,陈震,11
185,张纮,283,袁绍,13
185,张纮,319,郭嘉,6
185,张纮,332,曹仁,4
185,张纮,348,曹操,16
185,张纮,363,韩当,4
185,张纮,372,程普,5
185,张纮,381,虞翻,4
191,张昭,219,陈震,10
191,张昭,283,袁绍,8
191,张昭,319,郭嘉,4
191,张昭,332,曹仁,2
191,张昭,348,曹操,11
191,张昭,363,韩当,2
191,张昭,372,程普,3
191,张昭,381,虞翻,2
219,陈震,283,袁绍,10
219,陈震,319,郭嘉,5
219,陈震,332,曹仁,3
219,陈震,348,曹操,13
219,陈震,363,韩当,3
219,陈震,372,程普,4
219,陈震,381,虞翻,3
283,袁绍,319,郭嘉,5
283,袁绍,332,曹仁,3
283,袁绍,348,曹操,17
283,袁绍,363,韩当,3
283,袁绍,372,程普,4
283,袁绍,381,虞翻,3
319,郭嘉,332,曹仁,4
319,郭嘉,348,曹操,9
319,郭嘉,363,韩当,4
319,郭嘉,372,程普,5
319,郭嘉,381,虞翻,4
332,曹仁,348,曹操,7
332,曹仁,363,韩当,2
332,曹仁,372,程普,3
332,曹仁,381,虞翻,2
348,曹操,363,韩当,7
348,曹操,372,程普,8
348,曹操,381,虞翻,7
363,韩当,372,程普,3
363,韩当,381,虞翻,2
372,程普,381,虞翻,3
142,孙策,192,张津,4
191,张昭,192,张津,3
192,张津,219,陈震,3
76,吕范,142,孙策,3
142,孙策,175,何曾,2
127,孙权,191,张昭,23
127,孙权,232,周瑜,16
191,张昭,232,周瑜,14
127,孙权,142,孙策,18
105,刘晔,127,孙权,5
105,刘晔,142,孙策,4
105,刘晔,191,张昭,3
105,刘晔,232,周瑜,8
105,刘晔,377,鲁肃,3
127,孙权,377,鲁肃,7
142,孙策,232,周瑜,10
142,孙策,377,鲁肃,5
191,张昭,377,鲁肃,4
232,周瑜,377,鲁肃,12
99,刘表,127,孙权,2
99,刘表,232,周瑜,2
99,刘表,348,曹操,3
99,刘表,377,鲁肃,3
127,孙权,348,曹操,12
232,周瑜,348,曹操,3
348,曹操,377,鲁肃,4
55,申耽,127,孙权,7
55,申耽,142,孙策,3
55,申耽,185,张纮,5
55,申耽,191,张昭,2
55,申耽,219,陈震,3
55,申耽,283,袁绍,5
55,申耽,305,顾雍,2
55,申耽,326,诸葛瑾,2
55,申耽,348,曹操,4
55,申耽,385,蔡邕,2
127,孙权,185,张纮,10
127,孙权,219,陈震,8
127,孙权,283,袁绍,10
127,孙权,305,顾雍,7
127,孙权,326,诸葛瑾,7
127,孙权,385,蔡邕,7
142,孙策,305,顾雍,3
142,孙策,326,诸葛瑾,3
142,孙策,385,蔡邕,3
185,张纮,305,顾雍,5
185,张纮,326,诸葛瑾,5
185,张纮,385,蔡邕,5
191,张昭,305,顾雍,2
191,张昭,326,诸葛瑾,2
191,张昭,385,蔡邕,2
219,陈震,305,顾雍,3
219,陈震,326,诸葛瑾,3
219,陈震,385,蔡邕,3
283,袁绍,305,顾雍,5
283,袁绍,326,诸葛瑾,5
283,袁绍,385,蔡邕,5
305,顾雍,326,诸葛瑾,2
305,顾雍,348,曹操,4
305,顾雍,385,蔡邕,2
326,诸葛瑾,348,曹操,4
326,诸葛瑾,385,蔡邕,2
348,曹操,385,蔡邕,4
