label1,node1,label2,node2,link_num
3,丁原,75,吕布,26
3,丁原,354,董卓,15
75,吕布,354,董卓,15
172,何进,348,曹操,14
54,卢植,172,何进,8
54,卢植,237,郑泰,4
54,卢植,354,董卓,11
172,何进,237,郑泰,3
172,何进,354,董卓,9
237,郑泰,354,董卓,5
172,何进,214,陈琳,2
172,何进,281,袁术,8
172,何进,283,袁绍,14
214,陈琳,281,袁术,3
214,陈琳,283,袁绍,5
214,陈琳,348,曹操,4
281,袁术,283,袁绍,10
281,袁术,348,曹操,8
283,袁绍,348,曹操,12
54,卢植,281,袁术,2
54,卢植,283,袁绍,4
54,卢植,348,曹操,3
16,王允,157,杨彪,2
16,王允,283,袁绍,4
16,王允,351,淳于琼,2
157,杨彪,283,袁绍,2
157,杨彪,351,淳于琼,2
283,袁绍,351,淳于琼,2
283,袁绍,354,董卓,8
16,王允,172,何进,2
16,王允,354,董卓,11
3,丁原,16,王允,9
3,丁原,54,卢植,9
3,丁原,385,蔡邕,9
16,王允,54,卢植,2
16,王允,75,吕布,9
16,王允,385,蔡邕,2
54,卢植,75,吕布,9
54,卢植,385,蔡邕,2
75,吕布,385,蔡邕,9
354,董卓,385,蔡邕,6
3,丁原,283,袁绍,9
3,丁原,285,袁隗,6
75,吕布,283,袁绍,7
75,吕布,285,袁隗,4
283,袁绍,285,袁隗,5
