label1,node1,label2,node2,link_num
283,袁绍,348,曹操,77
56,田丰,252,荀彧,6
56,田丰,283,袁绍,6
56,田丰,348,曹操,7
252,荀彧,283,袁绍,23
252,荀彧,348,曹操,20
123,许褚,160,李典,4
123,许褚,182,张辽,14
123,许褚,188,张郃,5
123,许褚,241,审配,5
123,许褚,250,荀攸,6
123,许褚,283,袁绍,27
123,许褚,306,徐晃,16
123,许褚,340,曹洪,4
123,许褚,348,曹操,24
123,许褚,351,淳于琼,9
160,李典,182,张辽,6
160,李典,188,张郃,2
160,李典,241,审配,5
160,李典,250,荀攸,4
160,李典,283,袁绍,18
160,李典,306,徐晃,4
160,李典,340,曹洪,4
160,李典,348,曹操,13
160,李典,351,淳于琼,6
182,张辽,188,张郃,7
182,张辽,241,审配,6
182,张辽,250,荀攸,9
182,张辽,283,袁绍,31
182,张辽,306,徐晃,19
182,张辽,340,曹洪,6
182,张辽,348,曹操,28
182,张辽,351,淳于琼,12
188,张郃,241,审配,5
188,张郃,250,荀攸,2
188,张郃,283,袁绍,13
188,张郃,306,徐晃,2
188,张郃,340,曹洪,4
188,张郃,348,曹操,19
188,张郃,351,淳于琼,9
241,审配,250,荀攸,5
241,审配,283,袁绍,17
241,审配,306,徐晃,5
241,审配,340,曹洪,5
241,审配,348,曹操,26
241,审配,351,淳于琼,11
250,荀攸,283,袁绍,22
250,荀攸,306,徐晃,14
250,荀攸,340,曹洪,4
250,荀攸,348,曹操,18
250,荀攸,351,淳于琼,6
283,袁绍,306,徐晃,32
283,袁绍,340,曹洪,22
283,袁绍,351,淳于琼,36
306,徐晃,340,曹洪,4
306,徐晃,348,曹操,26
306,徐晃,351,淳于琼,6
340,曹洪,348,曹操,17
340,曹洪,351,淳于琼,9
348,曹操,351,淳于琼,37
105,刘晔,241,审配,3
105,刘晔,348,曹操,4
59,史涣,123,许褚,5
59,史涣,182,张辽,6
59,史涣,250,荀攸,5
59,史涣,283,袁绍,5
59,史涣,306,徐晃,13
59,史涣,348,曹操,6
120,许攸,135,孙峻,24
120,许攸,241,审配,12
120,许攸,252,荀彧,22
120,许攸,283,袁绍,40
120,许攸,348,曹操,35
120,许攸,351,淳于琼,25
135,孙峻,241,审配,5
135,孙峻,252,荀彧,6
135,孙峻,283,袁绍,21
135,孙峻,348,曹操,16
135,孙峻,351,淳于琼,9
241,审配,252,荀彧,5
252,荀彧,351,淳于琼,7
6,于禁,120,许攸,13
6,于禁,123,许褚,4
6,于禁,135,孙峻,4
6,于禁,160,李典,2
6,于禁,182,张辽,5
6,于禁,250,荀攸,2
6,于禁,252,荀彧,2
6,于禁,283,袁绍,17
6,于禁,294,贾诩,2
6,于禁,301,夏侯渊,2
6,于禁,306,徐晃,4
6,于禁,332,曹仁,2
6,于禁,340,曹洪,2
6,于禁,348,曹操,7
6,于禁,351,淳于琼,4
120,许攸,123,许褚,13
120,许攸,160,李典,13
120,许攸,182,张辽,14
120,许攸,250,荀攸,13
120,许攸,294,贾诩,13
120,许攸,301,夏侯渊,13
120,许攸,306,徐晃,13
120,许攸,332,曹仁,13
120,许攸,340,曹洪,13
123,许褚,135,孙峻,4
123,许褚,252,荀彧,2
123,许褚,294,贾诩,2
123,许褚,301,夏侯渊,2
123,许褚,332,曹仁,2
135,孙峻,160,李典,4
135,孙峻,182,张辽,5
135,孙峻,250,荀攸,4
135,孙峻,294,贾诩,4
135,孙峻,301,夏侯渊,4
135,孙峻,306,徐晃,4
135,孙峻,332,曹仁,4
135,孙峻,340,曹洪,4
160,李典,252,荀彧,2
160,李典,294,贾诩,2
160,李典,301,夏侯渊,2
160,李典,332,曹仁,2
182,张辽,252,荀彧,3
182,张辽,294,贾诩,3
182,张辽,301,夏侯渊,3
182,张辽,332,曹仁,3
250,荀攸,252,荀彧,2
250,荀攸,294,贾诩,2
250,荀攸,301,夏侯渊,2
250,荀攸,332,曹仁,2
252,荀彧,294,贾诩,2
252,荀彧,301,夏侯渊,2
252,荀彧,306,徐晃,2
252,荀彧,332,曹仁,2
252,荀彧,340,曹洪,2
283,袁绍,294,贾诩,13
283,袁绍,301,夏侯渊,13
283,袁绍,332,曹仁,17
294,贾诩,301,夏侯渊,2
294,贾诩,306,徐晃,2
294,贾诩,332,曹仁,2
294,贾诩,340,曹洪,2
294,贾诩,348,曹操,5
294,贾诩,351,淳于琼,4
301,夏侯渊,306,徐晃,2
301,夏侯渊,332,曹仁,2
301,夏侯渊,340,曹洪,2
301,夏侯渊,348,曹操,5
301,夏侯渊,351,淳于琼,4
306,徐晃,332,曹仁,2
332,曹仁,340,曹洪,4
332,曹仁,348,曹操,9
332,曹仁,351,淳于琼,7
188,张郃,332,曹仁,2
250,荀攸,288,袁谭,2
283,袁绍,288,袁谭,2
288,袁谭,348,曹操,2
6,于禁,282,袁尚,2
123,许褚,282,袁尚,2
182,张辽,282,袁尚,2
282,袁尚,283,袁绍,4
282,袁尚,306,徐晃,2
282,袁尚,348,曹操,2
