label1,node1,label2,node2,link_num
99,刘表,101,刘备,29
99,刘表,283,袁绍,17
99,刘表,348,曹操,18
101,刘备,283,袁绍,44
101,刘备,348,曹操,42
283,袁绍,348,曹操,40
56,田丰,283,袁绍,13
56,田丰,348,曹操,5
59,史涣,65,司马昭,4
59,史涣,241,审配,4
59,史涣,282,袁尚,9
59,史涣,283,袁绍,12
59,史涣,287,袁熙,6
59,史涣,288,袁谭,7
59,史涣,306,徐晃,4
59,史涣,313,高干,4
59,史涣,348,曹操,4
65,司马昭,241,审配,2
65,司马昭,282,袁尚,7
65,司马昭,283,袁绍,10
65,司马昭,287,袁熙,4
65,司马昭,288,袁谭,5
65,司马昭,306,徐晃,2
65,司马昭,313,高干,2
65,司马昭,348,曹操,2
241,审配,282,袁尚,15
241,审配,283,袁绍,28
241,审配,287,袁熙,13
241,审配,288,袁谭,13
241,审配,306,徐晃,8
241,审配,313,高干,11
241,审配,348,曹操,18
282,袁尚,283,袁绍,31
282,袁尚,287,袁熙,16
282,袁尚,288,袁谭,16
282,袁尚,306,徐晃,11
282,袁尚,313,高干,14
282,袁尚,348,曹操,21
283,袁绍,287,袁熙,29
283,袁绍,288,袁谭,29
283,袁绍,306,徐晃,19
283,袁绍,313,高干,27
287,袁熙,288,袁谭,14
287,袁熙,306,徐晃,9
287,袁熙,313,高干,12
287,袁熙,348,曹操,19
288,袁谭,306,徐晃,9
288,袁谭,313,高干,12
288,袁谭,348,曹操,19
306,徐晃,313,高干,7
306,徐晃,348,曹操,8
313,高干,348,曹操,17
6,于禁,60,乐进,4
6,于禁,101,刘备,27
6,于禁,118,关羽,7
6,于禁,123,许褚,10
6,于禁,160,李典,6
6,于禁,181,张飞,8
6,于禁,182,张辽,4
6,于禁,188,张郃,4
6,于禁,241,审配,6
6,于禁,246,赵云,10
6,于禁,252,荀彧,3
6,于禁,282,袁尚,4
6,于禁,283,袁绍,9
6,于禁,287,袁熙,5
6,于禁,288,袁谭,4
6,于禁,301,夏侯渊,4
6,于禁,306,徐晃,4
6,于禁,313,高干,5
6,于禁,340,曹洪,5
6,于禁,348,曹操,6
6,于禁,371,程昱,3
60,乐进,101,刘备,19
60,乐进,118,关羽,9
60,乐进,123,许褚,7
60,乐进,160,李典,4
60,乐进,181,张飞,8
60,乐进,182,张辽,4
