label1,node1,label2,node2,link_num
120,许攸,282,袁尚,6
59,史涣,182,张辽,3
59,史涣,282,袁尚,4
59,史涣,288,袁谭,2
182,张辽,282,袁尚,11
182,张辽,288,袁谭,3
282,袁尚,288,袁谭,42
241,审配,282,袁尚,50
241,审配,283,袁绍,10
241,审配,288,袁谭,29
282,袁尚,283,袁绍,9
283,袁绍,288,袁谭,7
60,乐进,160,李典,2
60,乐进,241,审配,5
60,乐进,282,袁尚,3
60,乐进,288,袁谭,2
60,乐进,306,徐晃,3
60,乐进,348,曹操,2
160,李典,241,审配,5
160,李典,282,袁尚,3
160,李典,288,袁谭,2
160,李典,306,徐晃,3
160,李典,348,曹操,2
241,审配,306,徐晃,19
241,审配,348,曹操,24
282,袁尚,306,徐晃,13
282,袁尚,348,曹操,28
288,袁谭,306,徐晃,3
288,袁谭,348,曹操,13
306,徐晃,348,曹操,12
99,刘表,282,袁尚,8
99,刘表,287,袁熙,3
99,刘表,288,袁谭,9
99,刘表,294,贾诩,2
99,刘表,313,高干,3
99,刘表,319,郭嘉,2
99,刘表,340,曹洪,2
282,袁尚,287,袁熙,8
282,袁尚,294,贾诩,2
282,袁尚,313,高干,8
282,袁尚,319,郭嘉,2
282,袁尚,340,曹洪,8
287,袁熙,288,袁谭,7
287,袁熙,294,贾诩,3
287,袁熙,313,高干,6
287,袁熙,319,郭嘉,3
287,袁熙,340,曹洪,3
288,袁谭,294,贾诩,2
288,袁谭,313,高干,7
288,袁谭,319,郭嘉,2
288,袁谭,340,曹洪,2
294,贾诩,313,高干,3
294,贾诩,319,郭嘉,2
294,贾诩,340,曹洪,2
313,高干,319,郭嘉,3
313,高干,340,曹洪,3
319,郭嘉,340,曹洪,2
26,王修,241,审配,4
26,王修,282,袁尚,6
26,王修,287,袁熙,3
26,王修,288,袁谭,5
26,王修,313,高干,3
241,审配,287,袁熙,3
241,审配,313,高干,3
79,吕虔,99,刘表,3
79,吕虔,101,刘备,3
79,吕虔,178,辛毗,8
79,吕虔,241,审配,2
79,吕虔,250,荀攸,2
79,吕虔,282,袁尚,5
79,吕虔,288,袁谭,6
79,吕虔,338,曹纯,2
79,吕虔,348,曹操,3
79,吕虔,371,程昱,2
79,吕虔,384,满宠,2
99,刘表,101,刘备,4
99,刘表,178,辛毗,9
99,刘表,241,审配,3
99,刘表,250,荀攸,3
99,刘表,338,曹纯,3
99,刘表,348,曹操,4
99,刘表,371,程昱,3
99,刘表,384,满宠,3
101,刘备,178,辛毗,9
101,刘备,241,审配,3
101,刘备,250,荀攸,3
101,刘备,282,袁尚,6
101,刘备,288,袁谭,7
101,刘备,338,曹纯,3
101,刘备,348,曹操,4
101,刘备,371,程昱,3
101,刘备,384,满宠,3
178,辛毗,241,审配,25
178,辛毗,250,荀攸,8
178,辛毗,282,袁尚,24
178,辛毗,288,袁谭,12
178,辛毗,338,曹纯,8
178,辛毗,348,曹操,22
178,辛毗,371,程昱,8
178,辛毗,384,满宠,8
241,审配,250,荀攸,2
241,审配,338,曹纯,2
241,审配,371,程昱,2
241,审配,384,满宠,2
250,荀攸,282,袁尚,5
250,荀攸,288,袁谭,6
250,荀攸,338,曹纯,2
250,荀攸,348,曹操,3
250,荀攸,371,程昱,2
250,荀攸,384,满宠,2
282,袁尚,338,曹纯,5
282,袁尚,371,程昱,5
282,袁尚,384,满宠,5
288,袁谭,338,曹纯,6
288,袁谭,371,程昱,6
288,袁谭,384,满宠,6
338,曹纯,348,曹操,3
338,曹纯,371,程昱,2
338,曹纯,384,满宠,2
348,曹操,371,程昱,3
348,曹操,384,满宠,3
371,程昱,384,满宠,2
214,陈琳,241,审配,3
214,陈琳,282,袁尚,3
214,陈琳,288,袁谭,3
120,许攸,123,许褚,4
120,许攸,182,张辽,6
120,许攸,340,曹洪,2
123,许褚,182,张辽,4
123,许褚,340,曹洪,4
182,张辽,340,曹洪,2
241,审配,340,曹洪,4
340,曹洪,348,曹操,4
120,许攸,178,辛毗,11
120,许攸,241,审配,8
120,许攸,306,徐晃,7
120,许攸,348,曹操,4
178,辛毗,182,张辽,13
178,辛毗,306,徐晃,16
182,张辽,241,审配,10
182,张辽,306,徐晃,9
182,张辽,348,曹操,6
214,陈琳,283,袁绍,2
214,陈琳,348,曹操,2
283,袁绍,348,曹操,2
283,袁绍,333,曹丕,3
