label1,node1,label2,node2,link_num
319,郭嘉,333,曹丕,2
287,袁熙,333,曹丕,2
120,许攸,348,曹操,7
120,许攸,123,许褚,6
120,许攸,135,孙峻,5
120,许攸,283,袁绍,5
120,许攸,350,崔琰,5
123,许褚,135,孙峻,3
123,许褚,283,袁绍,3
123,许褚,348,曹操,5
123,许褚,350,崔琰,3
135,孙峻,283,袁绍,2
135,孙峻,348,曹操,2
135,孙峻,350,崔琰,2
283,袁绍,348,曹操,6
283,袁绍,350,崔琰,2
348,曹操,350,崔琰,2
99,刘表,101,刘备,8
99,刘表,282,袁尚,14
99,刘表,287,袁熙,13
99,刘表,288,袁谭,2
99,刘表,348,曹操,11
101,刘备,282,袁尚,8
101,刘备,287,袁熙,7
101,刘备,288,袁谭,4
101,刘备,348,曹操,4
282,袁尚,287,袁熙,28
282,袁尚,288,袁谭,8
282,袁尚,348,曹操,16
287,袁熙,288,袁谭,8
287,袁熙,348,曹操,15
288,袁谭,348,曹操,6
178,辛毗,288,袁谭,3
178,辛毗,306,徐晃,2
178,辛毗,348,曹操,3
288,袁谭,306,徐晃,3
306,徐晃,348,曹操,5
26,王修,60,乐进,3
26,王修,160,李典,2
26,王修,190,张南,4
26,王修,282,袁尚,3
26,王修,287,袁熙,4
26,王修,288,袁谭,4
26,王修,313,高干,2
26,王修,319,郭嘉,2
26,王修,340,曹洪,3
26,王修,364,韩珩,3
60,乐进,160,李典,7
60,乐进,190,张南,5
60,乐进,282,袁尚,4
60,乐进,287,袁熙,5
60,乐进,288,袁谭,5
60,乐进,313,高干,10
60,乐进,319,郭嘉,3
60,乐进,340,曹洪,4
60,乐进,364,韩珩,4
160,李典,190,张南,4
160,李典,282,袁尚,3
160,李典,287,袁熙,4
160,李典,288,袁谭,4
160,李典,313,高干,9
160,李典,319,郭嘉,2
160,李典,340,曹洪,3
160,李典,364,韩珩,3
190,张南,282,袁尚,5
190,张南,287,袁熙,6
190,张南,288,袁谭,6
190,张南,313,高干,4
190,张南,319,郭嘉,4
190,张南,340,曹洪,5
190,张南,364,韩珩,5
282,袁尚,313,高干,3
282,袁尚,319,郭嘉,23
282,袁尚,340,曹洪,6
282,袁尚,364,韩珩,4
287,袁熙,313,高干,4
287,袁熙,319,郭嘉,24
287,袁熙,340,曹洪,7
287,袁熙,364,韩珩,5
288,袁谭,313,高干,4
288,袁谭,319,郭嘉,4
288,袁谭,340,曹洪,5
288,袁谭,364,韩珩,5
313,高干,319,郭嘉,2
313,高干,340,曹洪,3
313,高干,364,韩珩,3
319,郭嘉,340,曹洪,7
319,郭嘉,364,韩珩,3
340,曹洪,364,韩珩,4
60,乐进,99,刘表,3
60,乐进,250,荀攸,3
60,乐进,348,曹操,6
99,刘表,160,李典,3
99,刘表,250,荀攸,2
99,刘表,313,高干,6
160,李典,250,荀攸,3
160,李典,348,曹操,6
250,荀攸,313,高干,6
250,荀攸,348,曹操,5
313,高干,348,曹操,9
99,刘表,107,刘理,9
99,刘表,283,袁绍,5
99,刘表,319,郭嘉,15
99,刘表,340,曹洪,3
101,刘备,107,刘理,3
101,刘备,283,袁绍,3
101,刘备,319,郭嘉,5
101,刘备,340,曹洪,3
107,刘理,282,袁尚,14
107,刘理,283,袁绍,8
107,刘理,287,袁熙,14
107,刘理,319,郭嘉,18
107,刘理,340,曹洪,2
282,袁尚,283,袁绍,10
283,袁绍,287,袁熙,10
283,袁绍,319,郭嘉,16
283,袁绍,340,曹洪,2
57,田畴,182,张辽,8
57,田畴,283,袁绍,3
57,田畴,319,郭嘉,3
182,张辽,283,袁绍,4
182,张辽,319,郭嘉,12
6,于禁,57,田畴,3
6,于禁,123,许褚,2
6,于禁,182,张辽,4
6,于禁,282,袁尚,3
6,于禁,287,袁熙,3
6,于禁,306,徐晃,2
6,于禁,348,曹操,2
57,田畴,123,许褚,3
57,田畴,282,袁尚,4
57,田畴,287,袁熙,4
57,田畴,306,徐晃,3
57,田畴,348,曹操,3
123,许褚,182,张辽,4
123,许褚,282,袁尚,3
123,许褚,287,袁熙,3
123,许褚,306,徐晃,2
182,张辽,282,袁尚,13
182,张辽,287,袁熙,13
182,张辽,306,徐晃,4
182,张辽,348,曹操,8
282,袁尚,306,徐晃,3
287,袁熙,306,徐晃,3
39,公孙度,99,刘表,2
39,公孙度,107,刘理,6
39,公孙度,182,张辽,2
39,公孙度,282,袁尚,8
39,公孙度,283,袁绍,2
39,公孙度,287,袁熙,8
39,公孙度,319,郭嘉,10
39,公孙度,348,曹操,4
99,刘表,182,张辽,2
107,刘理,182,张辽,6
107,刘理,348,曹操,8
319,郭嘉,348,曹操,12
250,荀攸,371,程昱,2
