label1,node1,label2,node2,link_num
99,刘表,127,孙权,6
99,刘表,250,荀攸,3
99,刘表,252,荀彧,3
99,刘表,283,袁绍,3
99,刘表,319,郭嘉,3
99,刘表,333,曹丕,3
99,刘表,343,曹植,4
99,刘表,348,曹操,13
127,孙权,250,荀攸,2
127,孙权,252,荀彧,2
127,孙权,283,袁绍,2
127,孙权,319,郭嘉,2
127,孙权,333,曹丕,2
127,孙权,343,曹植,3
127,孙权,348,曹操,4
250,荀攸,252,荀彧,2
250,荀攸,283,袁绍,2
250,荀攸,319,郭嘉,2
250,荀攸,333,曹丕,2
250,荀攸,343,曹植,3
250,荀攸,348,曹操,4
252,荀彧,283,袁绍,2
252,荀彧,319,郭嘉,2
252,荀彧,333,曹丕,2
252,荀彧,343,曹植,3
252,荀彧,348,曹操,4
283,袁绍,319,郭嘉,2
283,袁绍,333,曹丕,2
283,袁绍,343,曹植,3
283,袁绍,348,曹操,4
319,郭嘉,333,曹丕,2
319,郭嘉,343,曹植,3
319,郭嘉,348,曹操,4
333,曹丕,343,曹植,3
333,曹丕,348,曹操,4
343,曹植,348,曹操,5
99,刘表,101,刘备,61
99,刘表,118,关羽,2
99,刘表,181,张飞,3
99,刘表,196,张鲁,3
99,刘表,246,赵云,5
101,刘备,118,关羽,15
101,刘备,127,孙权,10
101,刘备,181,张飞,15
101,刘备,196,张鲁,10
101,刘备,246,赵云,51
118,关羽,127,孙权,3
118,关羽,181,张飞,6
118,关羽,196,张鲁,3
118,关羽,246,赵云,8
127,孙权,181,张飞,4
127,孙权,196,张鲁,4
127,孙权,246,赵云,6
181,张飞,196,张鲁,4
181,张飞,246,赵云,8
196,张鲁,246,赵云,6
99,刘表,378,蒯良,4
99,刘表,379,蒯越,9
101,刘备,378,蒯良,10
101,刘备,379,蒯越,36
378,蒯良,379,蒯越,2
90,伊籍,99,刘表,12
90,伊籍,101,刘备,49
90,伊籍,110,刘禅,3
90,伊籍,348,曹操,6
90,伊籍,379,蒯越,3
99,刘表,110,刘禅,5
101,刘备,110,刘禅,19
101,刘备,348,曹操,33
110,刘禅,348,曹操,5
110,刘禅,379,蒯越,2
348,曹操,379,蒯越,5
101,刘备,137,孙乾,5
118,关羽,137,孙乾,3
137,孙乾,181,张飞,2
137,孙乾,246,赵云,2
42,文聘,101,刘备,19
42,文聘,246,赵云,8
42,文聘,379,蒯越,2
246,赵云,379,蒯越,5
42,文聘,90,伊籍,3
90,伊籍,246,赵云,4
