label1,node1,label2,node2,link_num
101,刘备,308,徐庶,74
101,刘备,160,李典,37
101,刘备,246,赵云,28
101,刘备,332,曹仁,45
160,李典,246,赵云,16
160,李典,332,曹仁,32
246,赵云,332,曹仁,23
101,刘备,118,关羽,17
101,刘备,181,张飞,14
118,关羽,160,李典,6
118,关羽,181,张飞,7
118,关羽,246,赵云,7
118,关羽,332,曹仁,13
160,李典,181,张飞,3
181,张飞,246,赵云,4
181,张飞,332,曹仁,10
69,司马徽,101,刘备,13
69,司马徽,160,李典,2
69,司马徽,308,徐庶,14
69,司马徽,332,曹仁,3
69,司马徽,348,曹操,2
69,司马徽,371,程昱,2
101,刘备,348,曹操,36
101,刘备,371,程昱,18
160,李典,308,徐庶,7
160,李典,348,曹操,2
160,李典,371,程昱,2
308,徐庶,332,曹仁,8
308,徐庶,348,曹操,35
308,徐庶,371,程昱,26
332,曹仁,348,曹操,3
332,曹仁,371,程昱,3
348,曹操,371,程昱,10
99,刘表,101,刘备,22
99,刘表,137,孙乾,2
99,刘表,308,徐庶,23
99,刘表,348,曹操,5
99,刘表,371,程昱,5
101,刘备,137,孙乾,12
137,孙乾,308,徐庶,16
137,孙乾,348,曹操,5
137,孙乾,371,程昱,5
69,司马徽,99,刘表,2
69,司马徽,234,庞统,2
69,司马徽,321,诸葛亮,5
69,司马徽,323,诸葛珪,2
99,刘表,234,庞统,2
99,刘表,321,诸葛亮,5
99,刘表,323,诸葛珪,2
101,刘备,234,庞统,10
101,刘备,321,诸葛亮,20
101,刘备,323,诸葛珪,10
234,庞统,308,徐庶,7
234,庞统,321,诸葛亮,5
234,庞统,323,诸葛珪,2
308,徐庶,321,诸葛亮,15
308,徐庶,323,诸葛珪,7
321,诸葛亮,323,诸葛珪,5
321,诸葛亮,348,曹操,5
