label1,node1,label2,node2,link_num
69,司马徽,101,刘备,13
101,刘备,252,荀彧,4
101,刘备,308,徐庶,40
101,刘备,348,曹操,20
101,刘备,371,程昱,4
252,荀彧,308,徐庶,6
252,荀彧,348,曹操,6
252,荀彧,371,程昱,2
308,徐庶,348,曹操,17
308,徐庶,371,程昱,6
348,曹操,371,程昱,6
252,荀彧,260,胡烈,2
69,司马徽,118,关羽,3
69,司马徽,245,孟建,2
69,司马徽,308,徐庶,6
69,司马徽,321,诸葛亮,9
69,司马徽,348,曹操,3
101,刘备,118,关羽,38
101,刘备,245,孟建,17
101,刘备,321,诸葛亮,85
118,关羽,245,孟建,3
118,关羽,308,徐庶,7
118,关羽,321,诸葛亮,18
118,关羽,348,曹操,4
245,孟建,308,徐庶,6
245,孟建,321,诸葛亮,9
245,孟建,348,曹操,3
308,徐庶,321,诸葛亮,15
321,诸葛亮,348,曹操,10
101,刘备,181,张飞,53
101,刘备,398,潘浚,26
118,关羽,181,张飞,3
118,关羽,398,潘浚,2
181,张飞,321,诸葛亮,18
181,张飞,398,潘浚,3
321,诸葛亮,398,潘浚,8
101,刘备,192,张津,7
181,张飞,192,张津,3
192,张津,321,诸葛亮,5
101,刘备,127,孙权,17
101,刘备,326,诸葛瑾,17
127,孙权,181,张飞,3
127,孙权,308,徐庶,2
127,孙权,321,诸葛亮,2
127,孙权,326,诸葛瑾,2
181,张飞,308,徐庶,3
181,张飞,326,诸葛瑾,3
308,徐庶,326,诸葛瑾,2
321,诸葛亮,326,诸葛瑾,2
