label1,node1,label2,node2,link_num
101,刘备,118,关羽,19
101,刘备,181,张飞,19
101,刘备,321,诸葛亮,56
118,关羽,181,张飞,6
118,关羽,321,诸葛亮,8
181,张飞,321,诸葛亮,8
69,司马徽,99,刘表,4
69,司马徽,101,刘备,16
69,司马徽,113,刘璋,5
69,司马徽,127,孙权,5
69,司马徽,283,袁绍,3
69,司马徽,308,徐庶,4
69,司马徽,321,诸葛亮,15
69,司马徽,348,曹操,4
69,司马徽,354,董卓,3
99,刘表,101,刘备,16
99,刘表,113,刘璋,5
99,刘表,127,孙权,10
99,刘表,283,袁绍,3
99,刘表,308,徐庶,4
99,刘表,321,诸葛亮,15
99,刘表,348,曹操,7
99,刘表,354,董卓,3
101,刘备,113,刘璋,17
101,刘备,127,孙权,17
101,刘备,283,袁绍,15
101,刘备,308,徐庶,19
101,刘备,348,曹操,22
101,刘备,354,董卓,15
113,刘璋,127,孙权,6
113,刘璋,283,袁绍,4
113,刘璋,308,徐庶,5
113,刘璋,321,诸葛亮,16
113,刘璋,348,曹操,5
113,刘璋,354,董卓,4
127,孙权,283,袁绍,6
127,孙权,308,徐庶,5
127,孙权,321,诸葛亮,16
127,孙权,348,曹操,12
127,孙权,354,董卓,4
283,袁绍,308,徐庶,3
283,袁绍,321,诸葛亮,14
283,袁绍,348,曹操,6
283,袁绍,354,董卓,2
308,徐庶,321,诸葛亮,18
308,徐庶,348,曹操,6
308,徐庶,354,董卓,3
321,诸葛亮,348,曹操,21
321,诸葛亮,354,董卓,14
348,曹操,354,董卓,3
101,刘备,260,胡烈,3
260,胡烈,321,诸葛亮,3
260,胡烈,348,曹操,2
2,丁奉,5,丁廙,3
2,丁奉,47,孔伷,3
2,丁奉,81,吕蒙,4
2,丁奉,127,孙权,4
2,丁奉,133,孙亮,3
2,丁奉,142,孙策,3
2,丁奉,148,严畯,4
2,丁奉,166,吾粲,4
2,丁奉,185,张纮,3
2,丁奉,197,张温,4
2,丁奉,206,陆逊,4
2,丁奉,209,陆绩,4
2,丁奉,278,骆统,4
2,丁奉,305,顾雍,3
2,丁奉,307,徐盛,4
2,丁奉,370,程秉,4
2,丁奉,396,圆泽,3
2,丁奉,397,潘璋,3
2,丁奉,400,薛综,4
5,丁廙,47,孔伷,2
5,丁廙,81,吕蒙,3
5,丁廙,127,孙权,3
5,丁廙,133,孙亮,2
5,丁廙,142,孙策,2
5,丁廙,148,严畯,3
5,丁廙,166,吾粲,3
5,丁廙,185,张纮,2
5,丁廙,197,张温,3
5,丁廙,206,陆逊,3
5,丁廙,209,陆绩,3
5,丁廙,278,骆统,3
5,丁廙,305,顾雍,2
5,丁廙,307,徐盛,3
5,丁廙,370,程秉,3
5,丁廙,396,圆泽,2
5,丁廙,397,潘璋,2
5,丁廙,400,薛综,3
47,孔伷,81,吕蒙,3
47,孔伷,127,孙权,3
47,孔伷,133,孙亮,2
47,孔伷,142,孙策,2
47,孔伷,148,严畯,3
47,孔伷,166,吾粲,3
47,孔伷,185,张纮,2
47,孔伷,197,张温,3
47,孔伷,206,陆逊,3
47,孔伷,209,陆绩,3
47,孔伷,278,骆统,3
47,孔伷,305,顾雍,2
47,孔伷,307,徐盛,3
47,孔伷,370,程秉,3
47,孔伷,396,圆泽,2
47,孔伷,397,潘璋,2
47,孔伷,400,薛综,3
81,吕蒙,127,孙权,13
81,吕蒙,133,孙亮,3
81,吕蒙,142,孙策,3
81,吕蒙,148,严畯,4
81,吕蒙,166,吾粲,4
81,吕蒙,185,张纮,3
81,吕蒙,197,张温,4
81,吕蒙,206,陆逊,4
81,吕蒙,209,陆绩,4
81,吕蒙,278,骆统,4
81,吕蒙,305,顾雍,3
81,吕蒙,307,徐盛,4
81,吕蒙,370,程秉,4
81,吕蒙,396,圆泽,3
81,吕蒙,397,潘璋,6
81,吕蒙,400,薛综,4
127,孙权,133,孙亮,3
127,孙权,142,孙策,3
127,孙权,148,严畯,4
127,孙权,166,吾粲,4
127,孙权,185,张纮,3
127,孙权,197,张温,4
127,孙权,206,陆逊,4
127,孙权,209,陆绩,4
127,孙权,278,骆统,4
127,孙权,305,顾雍,3
127,孙权,307,徐盛,4
127,孙权,370,程秉,4
127,孙权,396,圆泽,3
127,孙权,397,潘璋,5
127,孙权,400,薛综,4
133,孙亮,142,孙策,2
133,孙亮,148,严畯,3
133,孙亮,166,吾粲,3
133,孙亮,185,张纮,2
133,孙亮,197,张温,3
133,孙亮,206,陆逊,3
133,孙亮,209,陆绩,3
133,孙亮,278,骆统,3
133,孙亮,305,顾雍,2
133,孙亮,307,徐盛,3
133,孙亮,370,程秉,3
133,孙亮,396,圆泽,2
133,孙亮,397,潘璋,2
133,孙亮,400,薛综,3
142,孙策,148,严畯,3
142,孙策,166,吾粲,3
142,孙策,185,张纮,2
142,孙策,197,张温,3
142,孙策,206,陆逊,3
142,孙策,209,陆绩,3
142,孙策,278,骆统,3
142,孙策,305,顾雍,2
142,孙策,307,徐盛,3
142,孙策,370,程秉,3
142,孙策,396,圆泽,2
142,孙策,397,潘璋,2
142,孙策,400,薛综,3
148,严畯,166,吾粲,4
148,严畯,185,张纮,3
148,严畯,197,张温,4
148,严畯,206,陆逊,4
148,严畯,209,陆绩,4
148,严畯,278,骆统,4
148,严畯,305,顾雍,3
148,严畯,307,徐盛,4
148,严畯,370,程秉,4
148,严畯,396,圆泽,3
148,严畯,397,潘璋,3
148,严畯,400,薛综,4
166,吾粲,185,张纮,3
166,吾粲,197,张温,4
166,吾粲,206,陆逊,4
166,吾粲,209,陆绩,4
166,吾粲,278,骆统,4
166,吾粲,305,顾雍,3
166,吾粲,307,徐盛,4
166,吾粲,370,程秉,4
166,吾粲,396,圆泽,3
166,吾粲,397,潘璋,3
166,吾粲,400,薛综,4
185,张纮,197,张温,3
185,张纮,206,陆逊,3
185,张纮,209,陆绩,3
185,张纮,278,骆统,3
185,张纮,305,顾雍,2
185,张纮,307,徐盛,3
185,张纮,370,程秉,3
185,张纮,396,圆泽,2
185,张纮,397,潘璋,2
185,张纮,400,薛综,3
197,张温,206,陆逊,4
197,张温,209,陆绩,4
197,张温,278,骆统,4
197,张温,305,顾雍,3
197,张温,307,徐盛,4
197,张温,370,程秉,4
197,张温,396,圆泽,3
197,张温,397,潘璋,3
197,张温,400,薛综,4
206,陆逊,209,陆绩,4
206,陆逊,278,骆统,4
206,陆逊,305,顾雍,3
206,陆逊,307,徐盛,4
206,陆逊,370,程秉,4
206,陆逊,396,圆泽,3
206,陆逊,397,潘璋,3
206,陆逊,400,薛综,4
209,陆绩,278,骆统,4
209,陆绩,305,顾雍,3
209,陆绩,307,徐盛,4
209,陆绩,370,程秉,4
209,陆绩,396,圆泽,3
209,陆绩,397,潘璋,3
209,陆绩,400,薛综,4
278,骆统,305,顾雍,3
278,骆统,307,徐盛,4
278,骆统,370,程秉,4
278,骆统,396,圆泽,3
278,骆统,397,潘璋,3
278,骆统,400,薛综,4
305,顾雍,307,徐盛,3
305,顾雍,370,程秉,3
305,顾雍,396,圆泽,2
305,顾雍,397,潘璋,2
305,顾雍,400,薛综,3
307,徐盛,370,程秉,4
307,徐盛,396,圆泽,3
307,徐盛,397,潘璋,3
307,徐盛,400,薛综,4
370,程秉,396,圆泽,3
370,程秉,397,潘璋,3
370,程秉,400,薛综,4
396,圆泽,397,潘璋,2
396,圆泽,400,薛综,3
397,潘璋,400,薛综,3
