label1,node1,label2,node2,link_num
52,甘宁,99,刘表,6
52,甘宁,127,孙权,12
52,甘宁,191,张昭,5
52,甘宁,372,程普,6
99,刘表,127,孙权,4
99,刘表,191,张昭,3
99,刘表,372,程普,4
127,孙权,191,张昭,3
127,孙权,372,程普,4
191,张昭,372,程普,3
52,甘宁,232,周瑜,6
52,甘宁,312,凌统,10
127,孙权,232,周瑜,2
127,孙权,312,凌统,6
232,周瑜,312,凌统,6
99,刘表,101,刘备,41
99,刘表,118,关羽,3
99,刘表,181,张飞,5
99,刘表,321,诸葛亮,32
101,刘备,118,关羽,27
101,刘备,181,张飞,37
101,刘备,321,诸葛亮,108
118,关羽,181,张飞,16
118,关羽,321,诸葛亮,29
181,张飞,321,诸葛亮,34
99,刘表,348,曹操,8
101,刘备,348,曹操,44
181,张飞,348,曹操,12
321,诸葛亮,348,曹操,40
6,于禁,38,毛玠,2
6,于禁,63,司马防,2
6,于禁,67,司马朗,2
6,于禁,70,司马懿,3
6,于禁,99,刘表,3
6,于禁,101,刘备,30
6,于禁,160,李典,13
6,于禁,252,荀彧,2
6,于禁,260,胡烈,2
6,于禁,308,徐庶,10
6,于禁,321,诸葛亮,27
6,于禁,348,曹操,12
6,于禁,350,崔琰,2
6,于禁,365,韩浩,12
38,毛玠,63,司马防,2
38,毛玠,67,司马朗,2
38,毛玠,70,司马懿,3
38,毛玠,99,刘表,3
38,毛玠,101,刘备,17
38,毛玠,160,李典,2
38,毛玠,252,荀彧,2
38,毛玠,260,胡烈,2
38,毛玠,308,徐庶,3
38,毛玠,321,诸葛亮,14
38,毛玠,348,曹操,5
38,毛玠,350,崔琰,2
38,毛玠,365,韩浩,2
63,司马防,67,司马朗,2
63,司马防,70,司马懿,3
63,司马防,99,刘表,3
63,司马防,101,刘备,17
63,司马防,160,李典,2
63,司马防,252,荀彧,2
63,司马防,260,胡烈,2
63,司马防,308,徐庶,3
63,司马防,321,诸葛亮,14
63,司马防,348,曹操,5
63,司马防,350,崔琰,2
63,司马防,365,韩浩,2
67,司马朗,70,司马懿,3
67,司马朗,99,刘表,3
67,司马朗,101,刘备,17
67,司马朗,160,李典,2
67,司马朗,252,荀彧,2
67,司马朗,260,胡烈,2
67,司马朗,308,徐庶,3
67,司马朗,321,诸葛亮,14
67,司马朗,348,曹操,5
67,司马朗,350,崔琰,2
67,司马朗,365,韩浩,2
70,司马懿,99,刘表,4
70,司马懿,101,刘备,18
70,司马懿,160,李典,3
70,司马懿,252,荀彧,3
70,司马懿,260,胡烈,3
70,司马懿,308,徐庶,4
70,司马懿,321,诸葛亮,15
70,司马懿,348,曹操,6
70,司马懿,350,崔琰,3
70,司马懿,365,韩浩,3
99,刘表,160,李典,3
99,刘表,252,荀彧,3
99,刘表,260,胡烈,3
99,刘表,308,徐庶,4
99,刘表,350,崔琰,3
99,刘表,365,韩浩,3
101,刘备,160,李典,29
101,刘备,252,荀彧,17
101,刘备,260,胡烈,17
101,刘备,308,徐庶,26
101,刘备,350,崔琰,17
101,刘备,365,韩浩,28
160,李典,252,荀彧,2
160,李典,260,胡烈,2
160,李典,308,徐庶,9
160,李典,321,诸葛亮,26
160,李典,348,曹操,11
160,李典,350,崔琰,2
160,李典,365,韩浩,11
252,荀彧,260,胡烈,2
252,荀彧,308,徐庶,3
252,荀彧,321,诸葛亮,14
252,荀彧,348,曹操,5
252,荀彧,350,崔琰,2
252,荀彧,365,韩浩,2
260,胡烈,308,徐庶,3
260,胡烈,321,诸葛亮,14
260,胡烈,348,曹操,5
260,胡烈,350,崔琰,2
260,胡烈,365,韩浩,2
308,徐庶,321,诸葛亮,23
308,徐庶,348,曹操,8
308,徐庶,350,崔琰,3
308,徐庶,365,韩浩,8
321,诸葛亮,350,崔琰,14
321,诸葛亮,365,韩浩,25
348,曹操,350,崔琰,5
348,曹操,365,韩浩,10
350,崔琰,365,韩浩,2
101,刘备,137,孙乾,8
101,刘备,246,赵云,20
101,刘备,383,简雍,8
101,刘备,404,糜芳,16
118,关羽,137,孙乾,6
118,关羽,246,赵云,12
118,关羽,348,曹操,8
118,关羽,383,简雍,6
118,关羽,404,糜芳,8
137,孙乾,181,张飞,7
137,孙乾,246,赵云,2
137,孙乾,321,诸葛亮,12
137,孙乾,348,曹操,2
137,孙乾,383,简雍,2
137,孙乾,404,糜芳,2
181,张飞,246,赵云,14
181,张飞,383,简雍,7
181,张飞,404,糜芳,10
246,赵云,321,诸葛亮,24
246,赵云,348,曹操,8
246,赵云,383,简雍,2
246,赵云,404,糜芳,8
321,诸葛亮,383,简雍,12
321,诸葛亮,404,糜芳,20
348,曹操,383,简雍,2
348,曹操,404,糜芳,4
383,简雍,404,糜芳,2
6,于禁,118,关羽,7
6,于禁,181,张飞,8
6,于禁,246,赵云,11
6,于禁,404,糜芳,7
118,关羽,160,李典,6
118,关羽,308,徐庶,2
118,关羽,365,韩浩,5
160,李典,181,张飞,7
160,李典,246,赵云,10
160,李典,404,糜芳,6
181,张飞,308,徐庶,3
181,张飞,365,韩浩,6
246,赵云,308,徐庶,6
246,赵云,365,韩浩,9
308,徐庶,404,糜芳,2
365,韩浩,404,糜芳,5
