label1,node1,label2,node2,link_num
99,刘表,101,刘备,28
99,刘表,321,诸葛亮,6
99,刘表,348,曹操,20
101,刘备,321,诸葛亮,28
101,刘备,348,曹操,46
321,诸葛亮,348,曹操,17
6,于禁,101,刘备,4
6,于禁,123,许褚,3
6,于禁,127,孙权,3
6,于禁,160,李典,4
6,于禁,182,张辽,3
6,于禁,188,张郃,3
6,于禁,301,夏侯渊,3
6,于禁,321,诸葛亮,3
6,于禁,332,曹仁,3
6,于禁,340,曹洪,3
6,于禁,348,曹操,3
101,刘备,123,许褚,13
101,刘备,127,孙权,12
101,刘备,160,李典,4
101,刘备,182,张辽,3
101,刘备,188,张郃,3
101,刘备,301,夏侯渊,3
101,刘备,332,曹仁,16
101,刘备,340,曹洪,9
123,许褚,127,孙权,2
123,许褚,160,李典,3
123,许褚,182,张辽,2
123,许褚,188,张郃,2
123,许褚,301,夏侯渊,2
123,许褚,321,诸葛亮,13
123,许褚,332,曹仁,19
123,许褚,340,曹洪,12
123,许褚,348,曹操,10
127,孙权,160,李典,3
127,孙权,182,张辽,2
127,孙权,188,张郃,2
127,孙权,301,夏侯渊,2
127,孙权,321,诸葛亮,2
127,孙权,332,曹仁,2
127,孙权,340,曹洪,2
127,孙权,348,曹操,8
160,李典,182,张辽,3
160,李典,188,张郃,3
160,李典,301,夏侯渊,3
160,李典,321,诸葛亮,3
160,李典,332,曹仁,3
160,李典,340,曹洪,3
160,李典,348,曹操,3
182,张辽,188,张郃,2
182,张辽,301,夏侯渊,2
182,张辽,321,诸葛亮,2
182,张辽,332,曹仁,2
182,张辽,340,曹洪,2
182,张辽,348,曹操,2
188,张郃,301,夏侯渊,2
188,张郃,321,诸葛亮,2
188,张郃,332,曹仁,2
188,张郃,340,曹洪,2
188,张郃,348,曹操,2
301,夏侯渊,321,诸葛亮,2
301,夏侯渊,332,曹仁,2
301,夏侯渊,340,曹洪,2
301,夏侯渊,348,曹操,2
321,诸葛亮,332,曹仁,16
321,诸葛亮,340,曹洪,9
332,曹仁,340,曹洪,15
332,曹仁,348,曹操,13
340,曹洪,348,曹操,6
49,孔融,99,刘表,10
49,孔融,101,刘备,10
49,孔融,127,孙权,10
49,孔融,252,荀彧,10
49,孔融,269,郗虑,10
49,孔融,275,祢衡,10
49,孔融,310,脂习,10
49,孔融,348,曹操,10
99,刘表,127,孙权,7
99,刘表,252,荀彧,4
99,刘表,269,郗虑,4
99,刘表,275,祢衡,4
99,刘表,310,脂习,4
101,刘备,252,荀彧,4
101,刘备,269,郗虑,4
101,刘备,275,祢衡,4
101,刘备,310,脂习,4
127,孙权,252,荀彧,4
127,孙权,269,郗虑,4
127,孙权,275,祢衡,4
127,孙权,310,脂习,4
252,荀彧,269,郗虑,4
252,荀彧,275,祢衡,4
252,荀彧,310,脂习,4
252,荀彧,348,曹操,4
269,郗虑,275,祢衡,4
269,郗虑,310,脂习,4
269,郗虑,348,曹操,4
275,祢衡,310,脂习,4
275,祢衡,348,曹操,4
310,脂习,348,曹操,4
96,刘先,99,刘表,3
96,刘先,101,刘备,5
96,刘先,127,孙权,2
96,刘先,348,曹操,2
101,刘备,375,傅巽,6
101,刘备,379,蒯越,6
348,曹操,375,傅巽,10
348,曹操,379,蒯越,10
375,傅巽,379,蒯越,8
34,王粲,75,吕布,3
34,王粲,99,刘表,3
34,王粲,101,刘备,3
34,王粲,180,宋忠,5
34,王粲,283,袁绍,3
34,王粲,348,曹操,4
34,王粲,375,傅巽,4
34,王粲,379,蒯越,4
34,王粲,385,蔡邕,3
75,吕布,99,刘表,2
75,吕布,101,刘备,2
75,吕布,180,宋忠,4
75,吕布,283,袁绍,2
75,吕布,348,曹操,3
75,吕布,375,傅巽,3
75,吕布,379,蒯越,3
75,吕布,385,蔡邕,2
99,刘表,180,宋忠,4
99,刘表,283,袁绍,2
99,刘表,375,傅巽,3
99,刘表,379,蒯越,3
99,刘表,385,蔡邕,2
101,刘备,180,宋忠,19
101,刘备,283,袁绍,2
101,刘备,385,蔡邕,2
180,宋忠,283,袁绍,4
180,宋忠,348,曹操,14
180,宋忠,375,傅巽,5
180,宋忠,379,蒯越,5
180,宋忠,385,蔡邕,4
283,袁绍,348,曹操,3
283,袁绍,375,傅巽,3
283,袁绍,379,蒯越,3
283,袁绍,385,蔡邕,2
348,曹操,385,蔡邕,3
375,傅巽,385,蔡邕,3
379,蒯越,385,蔡邕,3
90,伊籍,101,刘备,18
90,伊籍,118,关羽,11
90,伊籍,180,宋忠,11
90,伊籍,181,张飞,8
90,伊籍,321,诸葛亮,12
90,伊籍,348,曹操,10
101,刘备,118,关羽,17
101,刘备,181,张飞,14
118,关羽,180,宋忠,10
118,关羽,181,张飞,9
118,关羽,321,诸葛亮,11
118,关羽,348,曹操,9
180,宋忠,181,张飞,7
180,宋忠,321,诸葛亮,8
181,张飞,321,诸葛亮,8
181,张飞,348,曹操,6
90,伊籍,123,许褚,8
90,伊籍,137,孙乾,2
90,伊籍,246,赵云,3
90,伊籍,332,曹仁,11
90,伊籍,340,曹洪,4
90,伊籍,404,糜芳,4
101,刘备,137,孙乾,4
101,刘备,246,赵云,5
101,刘备,404,糜芳,6
118,关羽,123,许褚,8
118,关羽,137,孙乾,2
118,关羽,246,赵云,3
118,关羽,332,曹仁,14
118,关羽,340,曹洪,4
118,关羽,404,糜芳,4
123,许褚,137,孙乾,8
123,许褚,181,张飞,8
123,许褚,246,赵云,9
123,许褚,404,糜芳,10
137,孙乾,181,张飞,2
137,孙乾,246,赵云,3
137,孙乾,321,诸葛亮,5
137,孙乾,332,曹仁,11
137,孙乾,340,曹洪,4
137,孙乾,348,曹操,2
137,孙乾,404,糜芳,4
181,张飞,246,赵云,3
181,张飞,332,曹仁,14
181,张飞,340,曹洪,4
181,张飞,404,糜芳,4
246,赵云,321,诸葛亮,6
246,赵云,332,曹仁,12
246,赵云,340,曹洪,5
246,赵云,348,曹操,3
246,赵云,404,糜芳,5
321,诸葛亮,404,糜芳,7
332,曹仁,404,糜芳,13
340,曹洪,404,糜芳,6
348,曹操,404,糜芳,4
