label1,node1,label2,node2,link_num
101,刘备,246,赵云,33
101,刘备,105,刘晔,7
101,刘备,123,许褚,7
101,刘备,181,张飞,42
101,刘备,308,徐庶,18
101,刘备,321,诸葛亮,45
101,刘备,332,曹仁,7
101,刘备,340,曹洪,6
101,刘备,348,曹操,46
101,刘备,404,糜芳,25
105,刘晔,123,许褚,4
105,刘晔,181,张飞,4
105,刘晔,308,徐庶,4
105,刘晔,321,诸葛亮,4
105,刘晔,332,曹仁,4
105,刘晔,340,曹洪,3
105,刘晔,348,曹操,3
105,刘晔,404,糜芳,3
123,许褚,181,张飞,4
123,许褚,308,徐庶,4
123,许褚,321,诸葛亮,4
123,许褚,332,曹仁,4
123,许褚,340,曹洪,3
123,许褚,348,曹操,3
123,许褚,404,糜芳,3
181,张飞,308,徐庶,4
181,张飞,321,诸葛亮,11
181,张飞,332,曹仁,6
181,张飞,340,曹洪,3
181,张飞,348,曹操,14
181,张飞,404,糜芳,11
308,徐庶,321,诸葛亮,11
308,徐庶,332,曹仁,4
308,徐庶,340,曹洪,3
308,徐庶,348,曹操,8
308,徐庶,404,糜芳,3
321,诸葛亮,332,曹仁,4
321,诸葛亮,340,曹洪,3
321,诸葛亮,348,曹操,20
321,诸葛亮,404,糜芳,3
332,曹仁,340,曹洪,3
332,曹仁,348,曹操,3
332,曹仁,404,糜芳,3
340,曹洪,348,曹操,7
340,曹洪,404,糜芳,2
348,曹操,404,糜芳,7
101,刘备,118,关羽,19
101,刘备,137,孙乾,14
101,刘备,383,简雍,29
118,关羽,137,孙乾,6
118,关羽,308,徐庶,3
118,关羽,321,诸葛亮,11
118,关羽,348,曹操,8
118,关羽,383,简雍,3
137,孙乾,308,徐庶,2
137,孙乾,321,诸葛亮,6
137,孙乾,348,曹操,6
137,孙乾,383,简雍,2
308,徐庶,383,简雍,2
321,诸葛亮,383,简雍,4
348,曹操,383,简雍,5
42,文聘,101,刘备,26
42,文聘,181,张飞,10
42,文聘,321,诸葛亮,6
42,文聘,403,魏延,8
101,刘备,403,魏延,14
181,张飞,403,魏延,7
321,诸葛亮,403,魏延,7
99,刘表,101,刘备,8
99,刘表,118,关羽,3
99,刘表,137,孙乾,2
99,刘表,181,张飞,2
99,刘表,246,赵云,2
99,刘表,321,诸葛亮,2
99,刘表,348,曹操,6
99,刘表,379,蒯越,2
101,刘备,379,蒯越,14
118,关羽,181,张飞,5
118,关羽,246,赵云,5
118,关羽,379,蒯越,3
137,孙乾,181,张飞,2
137,孙乾,246,赵云,2
137,孙乾,379,蒯越,2
181,张飞,246,赵云,19
181,张飞,379,蒯越,2
246,赵云,321,诸葛亮,5
246,赵云,348,曹操,33
246,赵云,379,蒯越,2
321,诸葛亮,379,蒯越,7
348,曹操,379,蒯越,12
99,刘表,250,荀攸,2
250,荀攸,348,曹操,8
6,于禁,34,王粲,6
6,于禁,42,文聘,6
6,于禁,101,刘备,8
6,于禁,250,荀攸,6
6,于禁,321,诸葛亮,7
6,于禁,348,曹操,10
6,于禁,375,傅巽,6
6,于禁,379,蒯越,8
34,王粲,42,文聘,2
34,王粲,101,刘备,4
34,王粲,250,荀攸,2
34,王粲,321,诸葛亮,3
34,王粲,348,曹操,6
34,王粲,375,傅巽,2
34,王粲,379,蒯越,4
42,文聘,250,荀攸,2
42,文聘,348,曹操,10
42,文聘,375,傅巽,2
42,文聘,379,蒯越,4
101,刘备,250,荀攸,4
101,刘备,375,傅巽,4
250,荀攸,321,诸葛亮,3
250,荀攸,375,傅巽,2
250,荀攸,379,蒯越,4
321,诸葛亮,375,傅巽,3
348,曹操,375,傅巽,6
375,傅巽,379,蒯越,4
383,简雍,404,糜芳,7
42,文聘,246,赵云,8
42,文聘,383,简雍,3
42,文聘,404,糜芳,5
181,张飞,383,简雍,8
246,赵云,383,简雍,16
246,赵云,404,糜芳,9
246,赵云,332,曹仁,4
332,曹仁,383,简雍,2
17,王双,188,张郃,5
17,王双,190,张南,2
17,王双,246,赵云,15
17,王双,283,袁绍,2
17,王双,340,曹洪,4
17,王双,348,曹操,3
188,张郃,190,张南,5
188,张郃,246,赵云,18
188,张郃,283,袁绍,5
188,张郃,340,曹洪,7
188,张郃,348,曹操,6
190,张南,246,赵云,15
190,张南,283,袁绍,2
190,张南,340,曹洪,4
190,张南,348,曹操,3
246,赵云,283,袁绍,15
246,赵云,340,曹洪,17
283,袁绍,340,曹洪,4
283,袁绍,348,曹操,3
