label1,node1,label2,node2,link_num
181,张飞,202,张翼,11
42,文聘,181,张飞,11
42,文聘,246,赵云,9
181,张飞,246,赵云,16
65,司马昭,101,刘备,5
65,司马昭,246,赵云,4
65,司马昭,348,曹操,2
101,刘备,246,赵云,11
101,刘备,348,曹操,65
246,赵云,348,曹操,14
42,文聘,60,乐进,2
42,文聘,118,关羽,2
42,文聘,123,许褚,2
42,文聘,160,李典,2
42,文聘,182,张辽,2
42,文聘,188,张郃,2
42,文聘,202,张翼,3
42,文聘,301,夏侯渊,2
42,文聘,321,诸葛亮,2
42,文聘,332,曹仁,2
42,文聘,348,曹操,7
60,乐进,118,关羽,2
60,乐进,123,许褚,2
60,乐进,160,李典,2
60,乐进,181,张飞,8
60,乐进,182,张辽,2
60,乐进,188,张郃,2
60,乐进,202,张翼,3
60,乐进,246,赵云,2
60,乐进,301,夏侯渊,2
60,乐进,321,诸葛亮,2
60,乐进,332,曹仁,2
60,乐进,348,曹操,7
118,关羽,123,许褚,2
118,关羽,160,李典,2
118,关羽,181,张飞,8
118,关羽,182,张辽,2
118,关羽,188,张郃,2
118,关羽,202,张翼,3
118,关羽,246,赵云,5
118,关羽,301,夏侯渊,2
118,关羽,321,诸葛亮,15
118,关羽,332,曹仁,2
118,关羽,348,曹操,26
123,许褚,160,李典,6
123,许褚,181,张飞,16
123,许褚,182,张辽,9
123,许褚,188,张郃,2
123,许褚,202,张翼,3
123,许褚,246,赵云,2
123,许褚,301,夏侯渊,2
123,许褚,321,诸葛亮,6
123,许褚,332,曹仁,2
123,许褚,348,曹操,15
160,李典,181,张飞,14
160,李典,182,张辽,7
160,李典,188,张郃,2
160,李典,202,张翼,3
160,李典,246,赵云,2
160,李典,301,夏侯渊,2
160,李典,321,诸葛亮,4
160,李典,332,曹仁,2
160,李典,348,曹操,13
181,张飞,182,张辽,17
181,张飞,188,张郃,8
181,张飞,301,夏侯渊,8
181,张飞,321,诸葛亮,14
181,张飞,332,曹仁,8
181,张飞,348,曹操,23
182,张辽,188,张郃,2
182,张辽,202,张翼,3
182,张辽,246,赵云,2
182,张辽,301,夏侯渊,2
182,张辽,321,诸葛亮,7
182,张辽,332,曹仁,2
182,张辽,348,曹操,16
188,张郃,202,张翼,3
188,张郃,246,赵云,2
188,张郃,301,夏侯渊,2
188,张郃,321,诸葛亮,2
188,张郃,332,曹仁,2
188,张郃,348,曹操,7
202,张翼,246,赵云,3
202,张翼,301,夏侯渊,3
202,张翼,321,诸葛亮,3
202,张翼,332,曹仁,3
202,张翼,348,曹操,8
246,赵云,301,夏侯渊,2
246,赵云,321,诸葛亮,4
246,赵云,332,曹仁,2
301,夏侯渊,321,诸葛亮,2
301,夏侯渊,332,曹仁,2
301,夏侯渊,348,曹操,7
321,诸葛亮,332,曹仁,2
321,诸葛亮,348,曹操,52
332,曹仁,348,曹操,7
101,刘备,123,许褚,8
101,刘备,160,李典,6
101,刘备,181,张飞,10
101,刘备,182,张辽,9
101,刘备,321,诸葛亮,60
101,刘备,118,关羽,27
101,刘备,137,孙乾,13
118,关羽,137,孙乾,7
137,孙乾,321,诸葛亮,5
137,孙乾,348,曹操,5
96,刘先,101,刘备,4
96,刘先,118,关羽,2
96,刘先,127,孙权,3
96,刘先,250,荀攸,2
96,刘先,348,曹操,5
96,刘先,367,韩嵩,2
101,刘备,127,孙权,18
101,刘备,250,荀攸,4
101,刘备,367,韩嵩,4
118,关羽,127,孙权,3
118,关羽,250,荀攸,2
118,关羽,367,韩嵩,2
127,孙权,250,荀攸,3
127,孙权,348,曹操,16
127,孙权,367,韩嵩,3
250,荀攸,348,曹操,5
250,荀攸,367,韩嵩,2
348,曹操,367,韩嵩,5
99,刘表,101,刘备,7
99,刘表,127,孙权,4
99,刘表,321,诸葛亮,5
99,刘表,348,曹操,6
99,刘表,377,鲁肃,4
101,刘备,377,鲁肃,22
127,孙权,321,诸葛亮,13
127,孙权,377,鲁肃,10
321,诸葛亮,377,鲁肃,28
348,曹操,377,鲁肃,16
101,刘备,142,孙策,6
127,孙权,142,孙策,2
142,孙策,321,诸葛亮,8
142,孙策,348,曹操,4
142,孙策,377,鲁肃,6
