label1,node1,label2,node2,link_num
321,诸葛亮,377,鲁肃,76
101,刘备,127,孙权,18
101,刘备,191,张昭,10
101,刘备,321,诸葛亮,51
101,刘备,348,曹操,24
101,刘备,377,鲁肃,19
127,孙权,191,张昭,23
127,孙权,321,诸葛亮,72
127,孙权,348,曹操,41
127,孙权,377,鲁肃,34
191,张昭,321,诸葛亮,29
191,张昭,348,曹操,29
191,张昭,377,鲁肃,23
321,诸葛亮,348,曹操,101
348,曹操,377,鲁肃,43
74,毕轨,99,刘表,3
74,毕轨,127,孙权,3
74,毕轨,191,张昭,6
74,毕轨,246,赵云,2
74,毕轨,283,袁绍,2
74,毕轨,305,顾雍,2
74,毕轨,321,诸葛亮,10
74,毕轨,326,诸葛瑾,2
74,毕轨,332,曹仁,2
74,毕轨,348,曹操,6
74,毕轨,377,鲁肃,4
99,刘表,127,孙权,11
99,刘表,191,张昭,12
99,刘表,246,赵云,3
99,刘表,283,袁绍,7
99,刘表,305,顾雍,5
99,刘表,321,诸葛亮,16
99,刘表,326,诸葛瑾,3
99,刘表,332,曹仁,3
99,刘表,348,曹操,17
99,刘表,377,鲁肃,8
127,孙权,246,赵云,3
127,孙权,283,袁绍,18
127,孙权,305,顾雍,10
127,孙权,326,诸葛瑾,9
127,孙权,332,曹仁,3
191,张昭,246,赵云,6
191,张昭,283,袁绍,13
191,张昭,305,顾雍,11
191,张昭,326,诸葛瑾,6
191,张昭,332,曹仁,6
246,赵云,283,袁绍,2
246,赵云,305,顾雍,2
246,赵云,321,诸葛亮,10
246,赵云,326,诸葛瑾,2
246,赵云,332,曹仁,2
246,赵云,348,曹操,6
246,赵云,377,鲁肃,4
283,袁绍,305,顾雍,6
283,袁绍,321,诸葛亮,61
283,袁绍,326,诸葛瑾,4
283,袁绍,332,曹仁,2
283,袁绍,348,曹操,29
283,袁绍,377,鲁肃,17
305,顾雍,321,诸葛亮,15
305,顾雍,326,诸葛瑾,2
305,顾雍,332,曹仁,2
305,顾雍,348,曹操,16
305,顾雍,377,鲁肃,7
321,诸葛亮,326,诸葛瑾,50
321,诸葛亮,332,曹仁,10
326,诸葛瑾,332,曹仁,2
326,诸葛瑾,348,曹操,15
326,诸葛瑾,377,鲁肃,12
332,曹仁,348,曹操,6
332,曹仁,377,鲁肃,4
283,袁绍,381,虞翻,3
321,诸葛亮,381,虞翻,5
348,曹操,381,虞翻,3
169,步骘,209,陆绩,5
169,步骘,281,袁术,4
169,步骘,321,诸葛亮,12
169,步骘,348,曹操,10
169,步骘,400,薛综,6
209,陆绩,281,袁术,3
209,陆绩,321,诸葛亮,11
209,陆绩,348,曹操,9
209,陆绩,400,薛综,5
281,袁术,321,诸葛亮,15
281,袁术,348,曹操,18
281,袁术,400,薛综,4
321,诸葛亮,400,薛综,12
348,曹操,400,薛综,10
101,刘备,197,张温,2
101,刘备,278,骆统,2
101,刘备,283,袁绍,6
101,刘备,326,诸葛瑾,2
101,刘备,331,黄盖,4
101,刘备,370,程秉,3
127,孙权,197,张温,6
127,孙权,278,骆统,6
127,孙权,331,黄盖,8
127,孙权,370,程秉,7
197,张温,278,骆统,2
197,张温,283,袁绍,2
197,张温,321,诸葛亮,40
197,张温,326,诸葛瑾,2
197,张温,331,黄盖,4
197,张温,348,曹操,9
197,张温,370,程秉,3
197,张温,377,鲁肃,8
278,骆统,283,袁绍,2
278,骆统,321,诸葛亮,40
278,骆统,326,诸葛瑾,2
278,骆统,331,黄盖,4
278,骆统,348,曹操,9
278,骆统,370,程秉,3
278,骆统,377,鲁肃,8
283,袁绍,331,黄盖,4
283,袁绍,370,程秉,3
321,诸葛亮,331,黄盖,42
321,诸葛亮,370,程秉,41
326,诸葛瑾,331,黄盖,4
326,诸葛瑾,370,程秉,3
331,黄盖,348,曹操,11
331,黄盖,370,程秉,5
331,黄盖,377,鲁肃,10
348,曹操,370,程秉,10
370,程秉,377,鲁肃,9
75,吕布,99,刘表,2
75,吕布,101,刘备,2
75,吕布,118,关羽,2
75,吕布,127,孙权,7
75,吕布,191,张昭,5
75,吕布,281,袁术,2
75,吕布,283,袁绍,4
75,吕布,305,顾雍,2
75,吕布,320,诸葛诞,2
75,吕布,321,诸葛亮,5
75,吕布,348,曹操,10
75,吕布,377,鲁肃,3
99,刘表,101,刘备,2
99,刘表,118,关羽,2
99,刘表,281,袁术,2
99,刘表,320,诸葛诞,2
101,刘备,118,关羽,2
101,刘备,281,袁术,2
101,刘备,305,顾雍,2
101,刘备,320,诸葛诞,2
118,关羽,127,孙权,7
118,关羽,191,张昭,5
118,关羽,281,袁术,2
118,关羽,283,袁绍,4
118,关羽,305,顾雍,2
118,关羽,320,诸葛诞,2
118,关羽,321,诸葛亮,5
118,关羽,348,曹操,10
118,关羽,377,鲁肃,3
127,孙权,281,袁术,7
127,孙权,320,诸葛诞,7
191,张昭,281,袁术,5
191,张昭,320,诸葛诞,5
281,袁术,283,袁绍,4
281,袁术,305,顾雍,2
281,袁术,320,诸葛诞,2
281,袁术,377,鲁肃,3
283,袁绍,320,诸葛诞,4
305,顾雍,320,诸葛诞,2
320,诸葛诞,321,诸葛亮,5
320,诸葛诞,348,曹操,10
320,诸葛诞,377,鲁肃,3
