label1,node1,label2,node2,link_num
127,孙权,232,周瑜,22
127,孙权,321,诸葛亮,20
127,孙权,348,曹操,11
232,周瑜,321,诸葛亮,59
232,周瑜,348,曹操,33
321,诸葛亮,348,曹操,49
127,孙权,142,孙策,8
127,孙权,191,张昭,10
127,孙权,377,鲁肃,13
142,孙策,191,张昭,8
142,孙策,232,周瑜,18
142,孙策,321,诸葛亮,18
142,孙策,348,曹操,10
142,孙策,377,鲁肃,14
191,张昭,232,周瑜,23
191,张昭,321,诸葛亮,21
191,张昭,348,曹操,12
191,张昭,377,鲁肃,17
232,周瑜,377,鲁肃,29
321,诸葛亮,377,鲁肃,41
348,曹操,377,鲁肃,23
101,刘备,169,步骘,2
101,刘备,185,张纮,2
101,刘备,191,张昭,8
101,刘备,232,周瑜,17
101,刘备,305,顾雍,5
101,刘备,321,诸葛亮,25
101,刘备,348,曹操,9
101,刘备,377,鲁肃,9
169,步骘,185,张纮,2
169,步骘,191,张昭,3
169,步骘,232,周瑜,2
169,步骘,305,顾雍,3
169,步骘,321,诸葛亮,2
169,步骘,348,曹操,2
169,步骘,377,鲁肃,3
185,张纮,191,张昭,3
185,张纮,232,周瑜,2
185,张纮,305,顾雍,3
185,张纮,321,诸葛亮,2
185,张纮,348,曹操,2
185,张纮,377,鲁肃,3
191,张昭,305,顾雍,9
232,周瑜,305,顾雍,13
305,顾雍,321,诸葛亮,16
305,顾雍,348,曹操,7
305,顾雍,377,鲁肃,10
331,黄盖,348,曹操,10
331,黄盖,363,韩当,5
331,黄盖,372,程普,12
348,曹操,363,韩当,5
348,曹操,372,程普,14
363,韩当,372,程普,7
52,甘宁,76,吕范,2
52,甘宁,81,吕蒙,2
52,甘宁,232,周瑜,3
52,甘宁,321,诸葛亮,2
52,甘宁,326,诸葛瑾,3
52,甘宁,348,曹操,2
76,吕范,81,吕蒙,4
76,吕范,232,周瑜,7
76,吕范,321,诸葛亮,11
76,吕范,326,诸葛瑾,5
76,吕范,348,曹操,4
81,吕蒙,232,周瑜,7
81,吕蒙,321,诸葛亮,11
81,吕蒙,326,诸葛瑾,5
81,吕蒙,348,曹操,4
232,周瑜,326,诸葛瑾,18
321,诸葛亮,326,诸葛瑾,25
326,诸葛瑾,348,曹操,9
75,吕布,99,刘表,4
75,吕布,232,周瑜,12
75,吕布,281,袁术,2
75,吕布,283,袁绍,2
75,吕布,321,诸葛亮,26
75,吕布,343,曹植,3
75,吕布,348,曹操,7
75,吕布,377,鲁肃,9
99,刘表,232,周瑜,12
99,刘表,281,袁术,2
99,刘表,283,袁绍,2
99,刘表,321,诸葛亮,26
99,刘表,343,曹植,3
99,刘表,348,曹操,7
99,刘表,377,鲁肃,9
232,周瑜,281,袁术,2
232,周瑜,283,袁绍,2
232,周瑜,343,曹植,3
281,袁术,283,袁绍,2
281,袁术,321,诸葛亮,13
281,袁术,343,曹植,3
281,袁术,348,曹操,3
281,袁术,377,鲁肃,3
283,袁绍,321,诸葛亮,13
283,袁绍,343,曹植,3
283,袁绍,348,曹操,3
283,袁绍,377,鲁肃,3
321,诸葛亮,343,曹植,14
343,曹植,348,曹操,4
343,曹植,377,鲁肃,4
15,马腾,75,吕布,2
15,马腾,99,刘表,2
15,马腾,101,刘备,2
15,马腾,127,孙权,5
15,马腾,142,孙策,3
15,马腾,191,张昭,5
15,马腾,232,周瑜,10
15,马腾,254,荀勖,2
15,马腾,305,顾雍,2
15,马腾,321,诸葛亮,13
15,马腾,326,诸葛瑾,2
15,马腾,331,黄盖,2
15,马腾,348,曹操,4
15,马腾,366,韩遂,2
15,马腾,372,程普,4
15,马腾,377,鲁肃,6
75,吕布,101,刘备,2
75,吕布,127,孙权,5
75,吕布,142,孙策,3
75,吕布,191,张昭,5
75,吕布,254,荀勖,2
75,吕布,305,顾雍,2
75,吕布,326,诸葛瑾,2
75,吕布,331,黄盖,2
75,吕布,366,韩遂,2
75,吕布,372,程普,4
99,刘表,101,刘备,2
99,刘表,127,孙权,5
99,刘表,142,孙策,3
99,刘表,191,张昭,5
99,刘表,254,荀勖,2
99,刘表,305,顾雍,2
99,刘表,326,诸葛瑾,2
99,刘表,331,黄盖,2
99,刘表,366,韩遂,2
99,刘表,372,程普,4
101,刘备,127,孙权,5
101,刘备,142,孙策,3
101,刘备,254,荀勖,2
101,刘备,326,诸葛瑾,5
101,刘备,331,黄盖,5
101,刘备,366,韩遂,2
101,刘备,372,程普,8
127,孙权,254,荀勖,5
127,孙权,305,顾雍,5
127,孙权,326,诸葛瑾,5
127,孙权,331,黄盖,5
127,孙权,366,韩遂,5
127,孙权,372,程普,7
142,孙策,254,荀勖,3
142,孙策,305,顾雍,3
142,孙策,326,诸葛瑾,3
142,孙策,331,黄盖,3
142,孙策,366,韩遂,3
142,孙策,372,程普,5
191,张昭,254,荀勖,5
191,张昭,326,诸葛瑾,5
191,张昭,331,黄盖,5
191,张昭,366,韩遂,5
191,张昭,372,程普,7
232,周瑜,254,荀勖,10
232,周瑜,331,黄盖,14
232,周瑜,366,韩遂,10
232,周瑜,372,程普,17
254,荀勖,305,顾雍,2
254,荀勖,321,诸葛亮,13
254,荀勖,326,诸葛瑾,2
254,荀勖,331,黄盖,2
254,荀勖,348,曹操,4
254,荀勖,366,韩遂,2
254,荀勖,372,程普,4
254,荀勖,377,鲁肃,6
305,顾雍,326,诸葛瑾,2
305,顾雍,331,黄盖,2
305,顾雍,366,韩遂,2
305,顾雍,372,程普,4
321,诸葛亮,331,黄盖,22
321,诸葛亮,366,韩遂,13
321,诸葛亮,372,程普,25
326,诸葛瑾,331,黄盖,4
326,诸葛瑾,366,韩遂,2
326,诸葛瑾,372,程普,7
326,诸葛瑾,377,鲁肃,6
331,黄盖,366,韩遂,2
331,黄盖,377,鲁肃,6
348,曹操,366,韩遂,4
366,韩遂,372,程普,4
366,韩遂,377,鲁肃,6
372,程普,377,鲁肃,8
37,太史慈,76,吕范,2
37,太史慈,81,吕蒙,2
37,太史慈,101,刘备,3
37,太史慈,206,陆逊,2
37,太史慈,230,周泰,2
37,太史慈,232,周瑜,4
37,太史慈,312,凌统,2
37,太史慈,321,诸葛亮,9
37,太史慈,326,诸葛瑾,2
37,太史慈,331,黄盖,2
37,太史慈,348,曹操,2
37,太史慈,354,董卓,2
37,太史慈,357,董袭,2
37,太史慈,360,蒋钦,2
37,太史慈,363,韩当,2
37,太史慈,372,程普,3
37,太史慈,397,潘璋,2
76,吕范,101,刘备,3
76,吕范,206,陆逊,2
76,吕范,230,周泰,2
76,吕范,312,凌统,2
76,吕范,331,黄盖,2
76,吕范,354,董卓,2
76,吕范,357,董袭,2
76,吕范,360,蒋钦,2
76,吕范,363,韩当,2
76,吕范,372,程普,3
76,吕范,397,潘璋,2
81,吕蒙,101,刘备,3
81,吕蒙,206,陆逊,2
81,吕蒙,230,周泰,2
81,吕蒙,312,凌统,2
81,吕蒙,331,黄盖,2
81,吕蒙,354,董卓,2
81,吕蒙,357,董袭,2
81,吕蒙,360,蒋钦,2
81,吕蒙,363,韩当,2
81,吕蒙,372,程普,3
81,吕蒙,397,潘璋,2
101,刘备,206,陆逊,3
101,刘备,230,周泰,3
101,刘备,312,凌统,3
101,刘备,354,董卓,3
101,刘备,357,董袭,3
101,刘备,360,蒋钦,3
101,刘备,363,韩当,3
101,刘备,397,潘璋,3
206,陆逊,230,周泰,2
206,陆逊,232,周瑜,4
206,陆逊,312,凌统,2
206,陆逊,321,诸葛亮,9
206,陆逊,326,诸葛瑾,2
206,陆逊,331,黄盖,2
206,陆逊,348,曹操,2
206,陆逊,354,董卓,2
206,陆逊,357,董袭,2
206,陆逊,360,蒋钦,2
206,陆逊,363,韩当,2
206,陆逊,372,程普,3
206,陆逊,397,潘璋,2
230,周泰,232,周瑜,4
230,周泰,312,凌统,2
230,周泰,321,诸葛亮,9
230,周泰,326,诸葛瑾,2
230,周泰,331,黄盖,2
230,周泰,348,曹操,2
230,周泰,354,董卓,2
230,周泰,357,董袭,2
230,周泰,360,蒋钦,2
230,周泰,363,韩当,2
230,周泰,372,程普,3
230,周泰,397,潘璋,2
232,周瑜,312,凌统,4
232,周瑜,354,董卓,4
232,周瑜,357,董袭,4
232,周瑜,360,蒋钦,4
232,周瑜,363,韩当,4
232,周瑜,397,潘璋,4
312,凌统,321,诸葛亮,9
312,凌统,326,诸葛瑾,2
312,凌统,331,黄盖,2
312,凌统,348,曹操,2
312,凌统,354,董卓,2
312,凌统,357,董袭,2
312,凌统,360,蒋钦,2
312,凌统,363,韩当,2
312,凌统,372,程普,3
312,凌统,397,潘璋,2
