label1,node1,label2,node2,link_num
348,曹操,359,蒋干,13
127,孙权,232,周瑜,3
127,孙权,321,诸葛亮,5
127,孙权,326,诸葛瑾,2
127,孙权,372,程普,2
127,孙权,377,鲁肃,2
232,周瑜,321,诸葛亮,56
232,周瑜,326,诸葛瑾,3
232,周瑜,372,程普,3
232,周瑜,377,鲁肃,31
321,诸葛亮,326,诸葛瑾,5
321,诸葛亮,372,程普,5
321,诸葛亮,377,鲁肃,41
326,诸葛瑾,372,程普,2
326,诸葛瑾,377,鲁肃,2
372,程普,377,鲁肃,2
120,许攸,232,周瑜,4
120,许攸,246,赵云,2
120,许攸,283,袁绍,2
120,许攸,321,诸葛亮,11
120,许攸,348,曹操,3
120,许攸,377,鲁肃,3
232,周瑜,246,赵云,14
232,周瑜,283,袁绍,4
232,周瑜,348,曹操,43
246,赵云,283,袁绍,2
246,赵云,321,诸葛亮,26
246,赵云,348,曹操,7
246,赵云,377,鲁肃,8
283,袁绍,321,诸葛亮,11
283,袁绍,348,曹操,3
283,袁绍,377,鲁肃,3
321,诸葛亮,348,曹操,31
348,曹操,377,鲁肃,14
101,刘备,118,关羽,53
101,刘备,181,张飞,35
101,刘备,232,周瑜,48
101,刘备,246,赵云,34
101,刘备,321,诸葛亮,51
101,刘备,348,曹操,38
101,刘备,377,鲁肃,39
101,刘备,383,简雍,16
118,关羽,181,张飞,16
118,关羽,232,周瑜,25
118,关羽,246,赵云,15
118,关羽,321,诸葛亮,30
118,关羽,348,曹操,17
118,关羽,377,鲁肃,18
118,关羽,383,简雍,6
181,张飞,232,周瑜,11
181,张飞,246,赵云,5
181,张飞,321,诸葛亮,16
181,张飞,348,曹操,5
181,张飞,377,鲁肃,6
181,张飞,383,简雍,3
232,周瑜,383,简雍,7
246,赵云,383,简雍,2
321,诸葛亮,383,简雍,5
348,曹操,383,简雍,2
377,鲁肃,383,简雍,2
52,甘宁,101,刘备,4
52,甘宁,118,关羽,2
52,甘宁,232,周瑜,8
52,甘宁,348,曹操,6
52,甘宁,360,蒋钦,6
52,甘宁,363,韩当,6
52,甘宁,377,鲁肃,2
101,刘备,360,蒋钦,4
101,刘备,363,韩当,4
118,关羽,360,蒋钦,2
118,关羽,363,韩当,2
232,周瑜,360,蒋钦,6
232,周瑜,363,韩当,6
348,曹操,360,蒋钦,4
348,曹操,363,韩当,4
360,蒋钦,363,韩当,4
360,蒋钦,377,鲁肃,2
363,韩当,377,鲁肃,2
232,周瑜,359,蒋干,33
37,太史慈,232,周瑜,4
37,太史慈,348,曹操,3
37,太史慈,359,蒋干,6
6,于禁,38,毛玠,2
6,于禁,232,周瑜,2
6,于禁,321,诸葛亮,3
6,于禁,377,鲁肃,2
38,毛玠,232,周瑜,2
38,毛玠,321,诸葛亮,3
38,毛玠,377,鲁肃,2
