label1,node1,label2,node2,link_num
321,诸葛亮,331,黄盖,24
6,于禁,38,毛玠,6
6,于禁,232,周瑜,13
6,于禁,321,诸葛亮,31
6,于禁,348,曹操,9
6,于禁,359,蒋干,2
6,于禁,377,鲁肃,13
38,毛玠,232,周瑜,13
38,毛玠,321,诸葛亮,31
38,毛玠,348,曹操,9
38,毛玠,359,蒋干,2
38,毛玠,377,鲁肃,13
232,周瑜,321,诸葛亮,88
232,周瑜,348,曹操,42
232,周瑜,359,蒋干,6
232,周瑜,377,鲁肃,50
321,诸葛亮,348,曹操,65
321,诸葛亮,359,蒋干,18
321,诸葛亮,377,鲁肃,77
348,曹操,359,蒋干,4
348,曹操,377,鲁肃,28
359,蒋干,377,鲁肃,8
6,于禁,182,张辽,3
6,于禁,306,徐晃,3
38,毛玠,182,张辽,3
38,毛玠,306,徐晃,3
182,张辽,232,周瑜,6
182,张辽,306,徐晃,2
182,张辽,321,诸葛亮,12
182,张辽,348,曹操,4
182,张辽,377,鲁肃,4
232,周瑜,306,徐晃,6
306,徐晃,321,诸葛亮,12
306,徐晃,348,曹操,4
306,徐晃,377,鲁肃,4
232,周瑜,250,荀攸,3
250,荀攸,321,诸葛亮,3
250,荀攸,348,曹操,2
52,甘宁,232,周瑜,15
52,甘宁,348,曹操,8
52,甘宁,191,张昭,3
52,甘宁,321,诸葛亮,10
52,甘宁,331,黄盖,16
52,甘宁,377,鲁肃,6
191,张昭,232,周瑜,10
191,张昭,321,诸葛亮,9
191,张昭,331,黄盖,15
191,张昭,348,曹操,3
191,张昭,377,鲁肃,5
232,周瑜,331,黄盖,25
331,黄盖,348,曹操,18
331,黄盖,377,鲁肃,18
