label1,node1,label2,node2,link_num
234,庞统,308,徐庶,15
234,庞统,348,曹操,10
308,徐庶,348,曹操,19
15,马腾,75,吕布,4
15,马腾,101,刘备,4
15,马腾,116,刘馥,5
15,马腾,142,孙策,4
15,马腾,232,周瑜,5
15,马腾,234,庞统,4
15,马腾,250,荀攸,4
15,马腾,281,袁术,4
15,马腾,283,袁绍,4
15,马腾,308,徐庶,10
15,马腾,321,诸葛亮,4
15,马腾,348,曹操,9
15,马腾,366,韩遂,6
15,马腾,377,鲁肃,4
15,马腾,387,臧霸,5
75,吕布,101,刘备,2
75,吕布,116,刘馥,3
75,吕布,142,孙策,2
75,吕布,232,周瑜,3
75,吕布,234,庞统,2
75,吕布,250,荀攸,2
75,吕布,281,袁术,2
75,吕布,283,袁绍,2
75,吕布,308,徐庶,8
75,吕布,321,诸葛亮,2
75,吕布,348,曹操,7
75,吕布,366,韩遂,4
75,吕布,377,鲁肃,2
75,吕布,387,臧霸,3
101,刘备,116,刘馥,3
101,刘备,142,孙策,2
101,刘备,232,周瑜,3
101,刘备,234,庞统,2
101,刘备,250,荀攸,2
101,刘备,281,袁术,2
101,刘备,283,袁绍,2
101,刘备,308,徐庶,8
101,刘备,321,诸葛亮,2
101,刘备,348,曹操,7
101,刘备,366,韩遂,4
101,刘备,377,鲁肃,2
101,刘备,387,臧霸,3
116,刘馥,142,孙策,3
116,刘馥,232,周瑜,4
116,刘馥,234,庞统,3
116,刘馥,250,荀攸,3
116,刘馥,281,袁术,3
116,刘馥,283,袁绍,3
116,刘馥,308,徐庶,9
116,刘馥,321,诸葛亮,3
116,刘馥,348,曹操,8
116,刘馥,366,韩遂,5
116,刘馥,377,鲁肃,3
116,刘馥,387,臧霸,4
142,孙策,232,周瑜,3
142,孙策,234,庞统,2
142,孙策,250,荀攸,2
142,孙策,281,袁术,2
142,孙策,283,袁绍,2
142,孙策,308,徐庶,8
142,孙策,321,诸葛亮,2
142,孙策,348,曹操,7
142,孙策,366,韩遂,4
142,孙策,377,鲁肃,2
142,孙策,387,臧霸,3
232,周瑜,234,庞统,3
232,周瑜,250,荀攸,3
232,周瑜,281,袁术,3
232,周瑜,283,袁绍,3
232,周瑜,308,徐庶,9
232,周瑜,321,诸葛亮,3
232,周瑜,348,曹操,16
232,周瑜,366,韩遂,5
232,周瑜,377,鲁肃,3
232,周瑜,387,臧霸,4
234,庞统,250,荀攸,2
234,庞统,281,袁术,2
234,庞统,283,袁绍,2
234,庞统,321,诸葛亮,2
234,庞统,366,韩遂,4
234,庞统,377,鲁肃,2
234,庞统,387,臧霸,3
250,荀攸,281,袁术,2
250,荀攸,283,袁绍,4
250,荀攸,308,徐庶,8
250,荀攸,321,诸葛亮,2
250,荀攸,348,曹操,7
250,荀攸,366,韩遂,4
250,荀攸,377,鲁肃,2
250,荀攸,387,臧霸,3
281,袁术,283,袁绍,2
281,袁术,308,徐庶,8
281,袁术,321,诸葛亮,2
281,袁术,348,曹操,7
281,袁术,366,韩遂,4
281,袁术,377,鲁肃,2
281,袁术,387,臧霸,3
283,袁绍,308,徐庶,8
283,袁绍,321,诸葛亮,2
283,袁绍,348,曹操,7
283,袁绍,366,韩遂,4
283,袁绍,377,鲁肃,2
283,袁绍,387,臧霸,3
308,徐庶,321,诸葛亮,8
308,徐庶,366,韩遂,10
308,徐庶,377,鲁肃,8
308,徐庶,387,臧霸,9
321,诸葛亮,348,曹操,7
321,诸葛亮,366,韩遂,4
321,诸葛亮,377,鲁肃,2
321,诸葛亮,387,臧霸,3
348,曹操,366,韩遂,9
348,曹操,377,鲁肃,7
348,曹操,387,臧霸,8
366,韩遂,377,鲁肃,4
366,韩遂,387,臧霸,5
377,鲁肃,387,臧霸,3
6,于禁,38,毛玠,4
6,于禁,42,文聘,3
6,于禁,60,乐进,3
6,于禁,79,吕虔,3
6,于禁,123,许褚,3
6,于禁,160,李典,3
6,于禁,182,张辽,3
6,于禁,188,张郃,3
6,于禁,301,夏侯渊,3
6,于禁,306,徐晃,3
6,于禁,340,曹洪,3
38,毛玠,42,文聘,3
38,毛玠,60,乐进,3
38,毛玠,79,吕虔,3
38,毛玠,123,许褚,3
38,毛玠,160,李典,3
38,毛玠,182,张辽,3
38,毛玠,188,张郃,3
38,毛玠,301,夏侯渊,3
38,毛玠,306,徐晃,3
38,毛玠,340,曹洪,3
42,文聘,60,乐进,2
42,文聘,79,吕虔,2
42,文聘,123,许褚,2
42,文聘,160,李典,2
42,文聘,182,张辽,2
42,文聘,188,张郃,2
42,文聘,301,夏侯渊,2
42,文聘,306,徐晃,2
42,文聘,340,曹洪,2
60,乐进,79,吕虔,2
60,乐进,123,许褚,2
60,乐进,160,李典,2
60,乐进,182,张辽,2
60,乐进,188,张郃,2
60,乐进,301,夏侯渊,2
60,乐进,306,徐晃,2
60,乐进,340,曹洪,2
79,吕虔,123,许褚,2
79,吕虔,160,李典,2
79,吕虔,182,张辽,2
79,吕虔,188,张郃,2
79,吕虔,301,夏侯渊,2
79,吕虔,306,徐晃,2
79,吕虔,340,曹洪,2
123,许褚,160,李典,2
123,许褚,182,张辽,2
123,许褚,188,张郃,2
123,许褚,301,夏侯渊,2
123,许褚,306,徐晃,2
123,许褚,340,曹洪,2
160,李典,182,张辽,2
160,李典,188,张郃,2
160,李典,301,夏侯渊,2
160,李典,306,徐晃,2
160,李典,340,曹洪,2
182,张辽,188,张郃,2
182,张辽,301,夏侯渊,2
182,张辽,306,徐晃,2
182,张辽,340,曹洪,2
188,张郃,301,夏侯渊,2
188,张郃,306,徐晃,2
188,张郃,340,曹洪,2
301,夏侯渊,306,徐晃,2
301,夏侯渊,340,曹洪,2
306,徐晃,340,曹洪,2
42,文聘,190,张南,14
42,文聘,250,荀攸,2
42,文聘,283,袁绍,2
42,文聘,371,程昱,4
190,张南,250,荀攸,5
190,张南,283,袁绍,5
190,张南,371,程昱,7
250,荀攸,371,程昱,4
283,袁绍,371,程昱,4
42,文聘,230,周泰,10
42,文聘,232,周瑜,10
42,文聘,348,曹操,4
42,文聘,363,韩当,11
190,张南,230,周泰,13
190,张南,232,周瑜,13
190,张南,348,曹操,7
190,张南,363,韩当,14
230,周泰,232,周瑜,14
230,周泰,348,曹操,8
230,周泰,363,韩当,15
232,周瑜,363,韩当,15
348,曹操,363,韩当,9
