label1,node1,label2,node2,link_num
232,周瑜,321,诸葛亮,52
232,周瑜,348,曹操,25
232,周瑜,377,鲁肃,22
321,诸葛亮,348,曹操,44
321,诸葛亮,377,鲁肃,41
348,曹操,377,鲁肃,8
260,胡烈,321,诸葛亮,2
260,胡烈,377,鲁肃,2
52,甘宁,127,孙权,5
52,甘宁,232,周瑜,11
52,甘宁,321,诸葛亮,5
52,甘宁,331,黄盖,12
52,甘宁,372,程普,6
52,甘宁,377,鲁肃,9
127,孙权,232,周瑜,8
127,孙权,321,诸葛亮,5
127,孙权,331,黄盖,5
127,孙权,372,程普,5
127,孙权,377,鲁肃,8
232,周瑜,331,黄盖,21
232,周瑜,372,程普,9
321,诸葛亮,331,黄盖,18
321,诸葛亮,372,程普,5
331,黄盖,372,程普,6
331,黄盖,377,鲁肃,9
372,程普,377,鲁肃,9
2,丁奉,307,徐盛,21
2,丁奉,321,诸葛亮,19
2,丁奉,377,鲁肃,12
307,徐盛,321,诸葛亮,22
307,徐盛,377,鲁肃,15
2,丁奉,232,周瑜,10
2,丁奉,246,赵云,11
232,周瑜,246,赵云,8
232,周瑜,307,徐盛,13
246,赵云,307,徐盛,14
246,赵云,321,诸葛亮,26
246,赵云,377,鲁肃,7
2,丁奉,37,太史慈,2
2,丁奉,52,甘宁,3
2,丁奉,81,吕蒙,2
2,丁奉,127,孙权,2
2,丁奉,206,陆逊,2
2,丁奉,210,陈武,2
2,丁奉,230,周泰,2
2,丁奉,312,凌统,2
2,丁奉,331,黄盖,3
2,丁奉,348,曹操,6
2,丁奉,357,董袭,3
2,丁奉,360,蒋钦,2
2,丁奉,363,韩当,2
2,丁奉,372,程普,3
2,丁奉,397,潘璋,2
37,太史慈,52,甘宁,3
37,太史慈,81,吕蒙,2
37,太史慈,127,孙权,2
37,太史慈,206,陆逊,2
37,太史慈,210,陈武,2
37,太史慈,230,周泰,2
37,太史慈,232,周瑜,3
37,太史慈,307,徐盛,2
37,太史慈,312,凌统,2
37,太史慈,331,黄盖,3
37,太史慈,348,曹操,6
37,太史慈,357,董袭,3
37,太史慈,360,蒋钦,2
37,太史慈,363,韩当,2
37,太史慈,372,程普,3
37,太史慈,377,鲁肃,2
37,太史慈,397,潘璋,2
52,甘宁,81,吕蒙,3
52,甘宁,206,陆逊,3
52,甘宁,210,陈武,3
52,甘宁,230,周泰,3
52,甘宁,307,徐盛,3
52,甘宁,312,凌统,3
52,甘宁,348,曹操,7
52,甘宁,357,董袭,4
52,甘宁,360,蒋钦,3
52,甘宁,363,韩当,3
52,甘宁,397,潘璋,3
81,吕蒙,127,孙权,2
81,吕蒙,206,陆逊,2
81,吕蒙,210,陈武,2
81,吕蒙,230,周泰,2
81,吕蒙,232,周瑜,3
81,吕蒙,307,徐盛,2
81,吕蒙,312,凌统,2
81,吕蒙,331,黄盖,3
81,吕蒙,348,曹操,6
81,吕蒙,357,董袭,3
81,吕蒙,360,蒋钦,2
81,吕蒙,363,韩当,2
81,吕蒙,372,程普,3
81,吕蒙,377,鲁肃,2
81,吕蒙,397,潘璋,2
127,孙权,206,陆逊,2
127,孙权,210,陈武,2
127,孙权,230,周泰,2
127,孙权,307,徐盛,2
127,孙权,312,凌统,2
127,孙权,348,曹操,6
127,孙权,357,董袭,3
127,孙权,360,蒋钦,2
127,孙权,363,韩当,2
127,孙权,397,潘璋,2
206,陆逊,210,陈武,2
206,陆逊,230,周泰,2
206,陆逊,232,周瑜,3
206,陆逊,307,徐盛,2
206,陆逊,312,凌统,2
206,陆逊,331,黄盖,3
206,陆逊,348,曹操,6
206,陆逊,357,董袭,3
206,陆逊,360,蒋钦,2
206,陆逊,363,韩当,2
206,陆逊,372,程普,3
206,陆逊,377,鲁肃,2
206,陆逊,397,潘璋,2
210,陈武,230,周泰,2
210,陈武,232,周瑜,3
210,陈武,307,徐盛,2
210,陈武,312,凌统,2
210,陈武,331,黄盖,3
210,陈武,348,曹操,6
210,陈武,357,董袭,3
210,陈武,360,蒋钦,2
210,陈武,363,韩当,2
210,陈武,372,程普,3
210,陈武,377,鲁肃,2
210,陈武,397,潘璋,2
230,周泰,232,周瑜,3
230,周泰,307,徐盛,2
230,周泰,312,凌统,2
230,周泰,331,黄盖,3
230,周泰,348,曹操,6
230,周泰,357,董袭,3
230,周泰,360,蒋钦,2
230,周泰,363,韩当,2
230,周泰,372,程普,3
230,周泰,377,鲁肃,2
230,周泰,397,潘璋,2
232,周瑜,312,凌统,3
232,周瑜,357,董袭,4
232,周瑜,360,蒋钦,3
232,周瑜,363,韩当,3
232,周瑜,397,潘璋,3
307,徐盛,312,凌统,2
307,徐盛,331,黄盖,3
307,徐盛,348,曹操,6
307,徐盛,357,董袭,3
307,徐盛,360,蒋钦,2
307,徐盛,363,韩当,2
307,徐盛,372,程普,3
307,徐盛,397,潘璋,2
312,凌统,331,黄盖,3
312,凌统,348,曹操,6
312,凌统,357,董袭,3
312,凌统,360,蒋钦,2
312,凌统,363,韩当,2
312,凌统,372,程普,3
312,凌统,377,鲁肃,2
312,凌统,397,潘璋,2
331,黄盖,348,曹操,28
331,黄盖,357,董袭,4
331,黄盖,360,蒋钦,3
331,黄盖,363,韩当,3
331,黄盖,397,潘璋,3
348,曹操,357,董袭,7
348,曹操,360,蒋钦,6
348,曹操,363,韩当,6
348,曹操,372,程普,7
348,曹操,397,潘璋,6
357,董袭,360,蒋钦,3
357,董袭,363,韩当,3
357,董袭,372,程普,4
357,董袭,377,鲁肃,3
357,董袭,397,潘璋,3
360,蒋钦,363,韩当,2
360,蒋钦,372,程普,3
360,蒋钦,377,鲁肃,2
360,蒋钦,397,潘璋,2
363,韩当,372,程普,3
363,韩当,377,鲁肃,2
363,韩当,397,潘璋,2
372,程普,397,潘璋,3
377,鲁肃,397,潘璋,2
101,刘备,246,赵云,12
101,刘备,321,诸葛亮,30
101,刘备,181,张飞,6
101,刘备,348,曹操,18
101,刘备,404,糜芳,4
181,张飞,246,赵云,5
181,张飞,321,诸葛亮,8
181,张飞,348,曹操,7
181,张飞,404,糜芳,4
246,赵云,348,曹操,6
246,赵云,404,糜芳,3
321,诸葛亮,404,糜芳,6
348,曹操,404,糜芳,5
101,刘备,118,关羽,16
101,刘备,137,孙乾,4
101,刘备,232,周瑜,6
101,刘备,331,黄盖,6
101,刘备,371,程昱,4
101,刘备,383,简雍,4
118,关羽,137,孙乾,14
118,关羽,232,周瑜,16
118,关羽,321,诸葛亮,23
118,关羽,331,黄盖,16
118,关羽,348,曹操,21
118,关羽,371,程昱,14
118,关羽,383,简雍,14
137,孙乾,232,周瑜,4
137,孙乾,321,诸葛亮,11
137,孙乾,331,黄盖,4
137,孙乾,348,曹操,9
137,孙乾,371,程昱,2
137,孙乾,383,简雍,2
232,周瑜,371,程昱,7
232,周瑜,383,简雍,4
321,诸葛亮,371,程昱,11
321,诸葛亮,383,简雍,11
331,黄盖,371,程昱,11
331,黄盖,383,简雍,4
348,曹操,371,程昱,9
348,曹操,383,简雍,9
371,程昱,383,简雍,2
42,文聘,52,甘宁,4
42,文聘,232,周瑜,4
42,文聘,331,黄盖,8
42,文聘,371,程昱,5
52,甘宁,371,程昱,3
182,张辽,331,黄盖,9
182,张辽,348,曹操,7
