label1,node1,label2,node2,link_num
211,陈宫,348,曹操,4
211,陈宫,354,董卓,3
348,曹操,354,董卓,21
60,乐进,131,孙和,2
60,乐进,160,李典,2
60,乐进,300,夏侯敦,2
60,乐进,301,夏侯渊,2
60,乐进,332,曹仁,4
60,乐进,340,曹洪,4
60,乐进,344,曹嵩,2
60,乐进,348,曹操,4
131,孙和,160,李典,2
131,孙和,300,夏侯敦,2
131,孙和,301,夏侯渊,2
131,孙和,332,曹仁,4
131,孙和,340,曹洪,4
131,孙和,344,曹嵩,2
131,孙和,348,曹操,4
160,李典,300,夏侯敦,2
160,李典,301,夏侯渊,2
160,李典,332,曹仁,4
160,李典,340,曹洪,4
160,李典,344,曹嵩,2
160,李典,348,曹操,4
300,夏侯敦,301,夏侯渊,2
300,夏侯敦,332,曹仁,4
300,夏侯敦,340,曹洪,4
300,夏侯敦,344,曹嵩,2
300,夏侯敦,348,曹操,4
301,夏侯渊,332,曹仁,4
301,夏侯渊,340,曹洪,4
301,夏侯渊,344,曹嵩,2
301,夏侯渊,348,曹操,4
332,曹仁,340,曹洪,6
332,曹仁,344,曹嵩,4
332,曹仁,348,曹操,6
340,曹洪,344,曹嵩,4
340,曹洪,348,曹操,6
344,曹嵩,348,曹操,4
15,马腾,19,王匡,2
15,马腾,40,公孙瓒,2
15,马腾,47,孔伷,2
15,马腾,49,孔融,2
15,马腾,100,刘岱,2
15,马腾,130,孙坚,2
15,马腾,201,张邈,2
15,马腾,281,袁术,2
15,马腾,283,袁绍,3
15,马腾,286,袁遗,2
15,马腾,328,陶谦,2
15,马腾,348,曹操,2
15,马腾,354,董卓,2
15,马腾,369,韩馥,2
19,王匡,40,公孙瓒,11
19,王匡,47,孔伷,2
19,王匡,49,孔融,2
19,王匡,100,刘岱,2
19,王匡,130,孙坚,2
19,王匡,201,张邈,2
19,王匡,281,袁术,4
19,王匡,283,袁绍,13
19,王匡,286,袁遗,9
19,王匡,328,陶谦,8
19,王匡,348,曹操,4
19,王匡,354,董卓,11
19,王匡,369,韩馥,2
40,公孙瓒,47,孔伷,2
40,公孙瓒,49,孔融,2
40,公孙瓒,100,刘岱,2
40,公孙瓒,130,孙坚,9
40,公孙瓒,201,张邈,2
40,公孙瓒,281,袁术,14
40,公孙瓒,283,袁绍,20
40,公孙瓒,286,袁遗,5
40,公孙瓒,328,陶谦,4
40,公孙瓒,348,曹操,17
40,公孙瓒,354,董卓,19
40,公孙瓒,369,韩馥,7
47,孔伷,49,孔融,2
47,孔伷,100,刘岱,2
47,孔伷,130,孙坚,2
47,孔伷,201,张邈,2
47,孔伷,281,袁术,2
47,孔伷,283,袁绍,3
47,孔伷,286,袁遗,2
47,孔伷,328,陶谦,2
47,孔伷,348,曹操,2
47,孔伷,354,董卓,2
47,孔伷,369,韩馥,2
49,孔融,100,刘岱,2
49,孔融,130,孙坚,2
49,孔融,201,张邈,2
49,孔融,281,袁术,2
49,孔融,283,袁绍,3
49,孔融,286,袁遗,2
49,孔融,328,陶谦,2
49,孔融,348,曹操,4
49,孔融,354,董卓,4
49,孔融,369,韩馥,2
100,刘岱,130,孙坚,2
100,刘岱,201,张邈,2
100,刘岱,281,袁术,2
100,刘岱,283,袁绍,3
100,刘岱,286,袁遗,2
100,刘岱,328,陶谦,2
100,刘岱,348,曹操,2
100,刘岱,354,董卓,2
100,刘岱,369,韩馥,2
130,孙坚,201,张邈,2
130,孙坚,281,袁术,14
130,孙坚,283,袁绍,13
130,孙坚,286,袁遗,2
130,孙坚,328,陶谦,2
130,孙坚,348,曹操,10
130,孙坚,354,董卓,15
130,孙坚,369,韩馥,6
201,张邈,281,袁术,2
201,张邈,283,袁绍,3
201,张邈,286,袁遗,2
201,张邈,328,陶谦,2
201,张邈,348,曹操,2
201,张邈,354,董卓,2
201,张邈,369,韩馥,2
281,袁术,283,袁绍,17
281,袁术,286,袁遗,2
281,袁术,328,陶谦,2
281,袁术,348,曹操,14
281,袁术,354,董卓,12
281,袁术,369,韩馥,8
283,袁绍,286,袁遗,6
283,袁绍,328,陶谦,5
283,袁绍,348,曹操,17
283,袁绍,354,董卓,19
283,袁绍,369,韩馥,7
286,袁遗,328,陶谦,5
286,袁遗,348,曹操,2
286,袁遗,354,董卓,5
286,袁遗,369,韩馥,2
328,陶谦,348,曹操,2
328,陶谦,354,董卓,4
328,陶谦,369,韩馥,2
348,曹操,369,韩馥,8
354,董卓,369,韩馥,5
19,王匡,101,刘备,8
19,王匡,118,关羽,4
