label1,node1,label2,node2,link_num
118,关羽,321,诸葛亮,17
118,关羽,348,曹操,31
321,诸葛亮,348,曹操,21
2,丁奉,37,太史慈,2
2,丁奉,38,毛玠,2
2,丁奉,42,文聘,2
2,丁奉,52,甘宁,5
2,丁奉,81,吕蒙,4
2,丁奉,127,孙权,2
2,丁奉,182,张辽,5
2,丁奉,188,张郃,3
2,丁奉,206,陆逊,3
2,丁奉,210,陈武,2
2,丁奉,230,周泰,2
2,丁奉,232,周瑜,3
2,丁奉,246,赵云,4
2,丁奉,283,袁绍,2
2,丁奉,306,徐晃,4
2,丁奉,307,徐盛,2
2,丁奉,312,凌统,2
2,丁奉,321,诸葛亮,2
2,丁奉,331,黄盖,6
2,丁奉,348,曹操,8
2,丁奉,357,董袭,2
2,丁奉,360,蒋钦,2
2,丁奉,363,韩当,6
2,丁奉,372,程普,2
2,丁奉,397,潘璋,2
37,太史慈,38,毛玠,2
37,太史慈,42,文聘,2
37,太史慈,52,甘宁,5
37,太史慈,81,吕蒙,4
37,太史慈,127,孙权,2
37,太史慈,182,张辽,5
37,太史慈,188,张郃,3
37,太史慈,206,陆逊,3
37,太史慈,210,陈武,2
37,太史慈,230,周泰,2
37,太史慈,232,周瑜,3
37,太史慈,246,赵云,4
37,太史慈,283,袁绍,2
37,太史慈,306,徐晃,4
37,太史慈,307,徐盛,2
37,太史慈,312,凌统,2
37,太史慈,321,诸葛亮,2
37,太史慈,331,黄盖,6
37,太史慈,348,曹操,8
37,太史慈,357,董袭,2
37,太史慈,360,蒋钦,2
37,太史慈,363,韩当,6
37,太史慈,372,程普,2
37,太史慈,397,潘璋,2
38,毛玠,42,文聘,2
38,毛玠,52,甘宁,5
38,毛玠,81,吕蒙,4
38,毛玠,127,孙权,2
38,毛玠,182,张辽,5
38,毛玠,188,张郃,3
38,毛玠,206,陆逊,3
38,毛玠,210,陈武,2
38,毛玠,230,周泰,2
38,毛玠,232,周瑜,3
38,毛玠,246,赵云,4
38,毛玠,283,袁绍,2
38,毛玠,306,徐晃,4
38,毛玠,307,徐盛,2
38,毛玠,312,凌统,2
38,毛玠,321,诸葛亮,2
38,毛玠,331,黄盖,6
38,毛玠,348,曹操,8
38,毛玠,357,董袭,2
38,毛玠,360,蒋钦,2
38,毛玠,363,韩当,6
38,毛玠,372,程普,2
38,毛玠,397,潘璋,2
42,文聘,52,甘宁,5
42,文聘,81,吕蒙,4
42,文聘,127,孙权,2
42,文聘,182,张辽,5
42,文聘,188,张郃,3
42,文聘,206,陆逊,3
42,文聘,210,陈武,2
42,文聘,230,周泰,2
42,文聘,232,周瑜,3
42,文聘,246,赵云,4
42,文聘,283,袁绍,2
42,文聘,306,徐晃,4
42,文聘,307,徐盛,2
